caseName,payloadLength,encodedLength,frameRate,sourceEbN0Db,sourceSnrIndex,repetition,warmupFrames,timedFrames,avgDecodeTimeUs,p50DecodeTimeUs,p95DecodeTimeUs,p99DecodeTimeUs,maxDecodeTimeUs,decodedBitErrors,decodedFrameErrors,configHash
BCH-S200,200,285,0.70175438596491224,4.5,45,1,500,5000,14.969199999999988,11.800000000000001,20.600000000000001,35.102000000000046,305.5,9817,2968,fea6a20bcee5f8a420a05a50740e1fe3f303866372bc06503bd894ce431945ec
BCH-S200,200,285,0.70175438596491224,4.5,45,2,500,5000,13.568099999999999,11.4,19.899999999999999,32.00400000000009,215,9817,2968,fea6a20bcee5f8a420a05a50740e1fe3f303866372bc06503bd894ce431945ec
BCH-S200,200,285,0.70175438596491224,4.5,45,3,500,5000,14.983380000000011,11.800000000000001,21.600000000000001,45.205000000000112,248.59999999999999,9817,2968,fea6a20bcee5f8a420a05a50740e1fe3f303866372bc06503bd894ce431945ec
BCH-S200,200,285,0.70175438596491224,4.7000000000000002,47,1,500,5000,13.750999999999971,11.4,20.199999999999999,28.410000000000217,135.80000000000001,7842,2534,1f51da1ee3e370afe4a5aafdc7a955c50640b97d24969465a8df13ecd3dac347
BCH-S200,200,285,0.70175438596491224,4.7000000000000002,47,2,500,5000,18.917720000000003,17,24.600000000000001,95.804000000000073,565.39999999999998,7842,2534,1f51da1ee3e370afe4a5aafdc7a955c50640b97d24969465a8df13ecd3dac347
BCH-S200,200,285,0.70175438596491224,4.7000000000000002,47,3,500,5000,24.031960000000062,19,44.210000000000043,134.91500000000033,1032.5,7842,2534,1f51da1ee3e370afe4a5aafdc7a955c50640b97d24969465a8df13ecd3dac347
BCH-S200,200,285,0.70175438596491224,4.9000000000000004,49,1,500,5000,19.804640000000056,17.699999999999999,26.100000000000001,81.102000000000046,1765.4000000000001,6284,2199,af1df5cdc60424f354a138a1f4d18a0e340e1035141fe42f0f9ab8f859dd4e48
BCH-S200,200,285,0.70175438596491224,4.9000000000000004,49,2,500,5000,17.844380000000022,15.6,23.899999999999999,70.102000000000046,756,6284,2199,af1df5cdc60424f354a138a1f4d18a0e340e1035141fe42f0f9ab8f859dd4e48
BCH-S200,200,285,0.70175438596491224,4.9000000000000004,49,3,500,5000,18.533879999999936,16.600000000000001,25.005000000000017,81.803000000000054,868.79999999999995,6284,2199,af1df5cdc60424f354a138a1f4d18a0e340e1035141fe42f0f9ab8f859dd4e48
BCH-S200,200,285,0.70175438596491224,5.0999999999999996,51,1,500,5000,15.422580000000014,13.149999999999999,22,45.401000000000018,427.39999999999998,4901,1788,f0723a27c020a0d6bdca731bbf57907e3b6fdf0e4e20f63e3f8ce75ee5e1c3d7
