caseId,targetLength,actualLength,actualRate,Zc,fillerLength,rankHp,algorithm,alpha,snrDb,esN0Db,ebN0Db,sigmaSquared,frames,bitErrors,frameErrors,BER,FER,avgIterations,medianIterations,p95Iterations,maxUsedIterations,earlyStopRate,maxIterationRate,avgDecodeTimeUs,medianDecodeTimeUs,p95DecodeTimeUs,maxDecodeTimeUs,avgFinalSyndromeWeight,validCodewordRate,nanInfCount,edgeCount,checkNodeUpdates,variableNodeUpdates,messageUpdates,tanhOperations,atanhOperations,absOperations,comparisonOperations,min1Min2Updates,signOperations,alphaMultiplications,decoderMemoryBytes,payloadSeed,noiseSeed,noiseGroupId,frameStart,frameEnd,runId,alphaCalibrationFrameRange,smokeEvaluationFrameRange,stopReason,correctValidFrames,wrongValidFrames,correctInvalidFrames,wrongInvalidFrames,sameDecodedPayloadRateVsBP,sameDecodedCodewordRateVsBP,avgNormalizedComplexity,status
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_SPA_BP,0,-2.5,-2.5,-0.45880017344075208,0.88913970501946138,500,20753,500,0.13835333333333333,1,32,32,32,32,0,1,1206.2665999999997,1017.75,1821.0999999999995,8166.3999999999996,24.530000000000001,0,0,672,1536000,10752000,10752000,21504000,10752000,0,0,0,0,0,9696,2026072001,2027381665,480,50000,50499,1313001,,50000:50499,MAX_FRAMES_REACHED,0,0,0,500,1,1,21504,PASS
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_NMS,0.80000000000000004,-2.5,-2.5,-0.45880017344075208,0.88913970501946138,500,21287,500,0.14191333333333334,1,32,32,32,32,0,1,300.65159999999975,245.94999999999999,453.78999999999991,2769,8.0239999999999991,0,0,672,1536000,10752000,10752000,0,0,10752000,21504000,6417974,10752000,10752000,9696,2026072001,2027381665,480,50000,50499,1313001,,50000:50499,MAX_FRAMES_REACHED,0,0,0,500,0,0,21504,PASS
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_NMS,0.90000000000000002,-2.5,-2.5,-0.45880017344075208,0.88913970501946138,500,21669,500,0.14446000000000001,1,31.012,32,32,32,0.034000000000000002,0.96599999999999997,264.61700000000025,230.44999999999999,396.20999999999998,1292.4000000000001,3.9620000000000002,0.034000000000000002,0,672,1488576,10420032,10420032,0,0,10420032,20840064,6223825,10420032,10420032,9696,2026072001,2027381665,480,50000,50499,1313001,,50000:50499,MAX_FRAMES_REACHED,0,17,0,483,0,0,20840.063999999998,PASS
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_NMS,1,-2.5,-2.5,-0.45880017344075208,0.88913970501946138,500,22059,500,0.14706,1,3.3860000000000001,3,5,32,0.996,0.0040000000000000001,39.178399999999989,28.550000000000001,61.709999999999994,1411.0999999999999,0.0040000000000000001,0.996,0,672,162528,1137696,1137696,0,0,1137696,2275392,680229,1137696,1137696,9696,2026072001,2027381665,480,50000,50499,1313001,,50000:50499,MAX_FRAMES_REACHED,0,498,0,2,0,0,2275.3919999999998,PASS
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_SPA_BP,0,-2,-2,0.041199826559247921,0.79244659623055669,500,18330,500,0.1222,1,32,32,32,32,0,1,1058.5292000000009,960.20000000000005,1527.8099999999995,2293.0999999999999,21.254000000000001,0,0,672,1536000,10752000,10752000,21504000,10752000,0,0,0,0,0,9696,2026072001,2027381665,480,50000,50499,1313001,,50000:50499,MAX_FRAMES_REACHED,0,0,0,500,1,1,21504,PASS
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_NMS,0.80000000000000004,-2,-2,0.041199826559247921,0.79244659623055669,500,18800,500,0.12533333333333332,1,31.942,32,32,32,0.002,0.998,255.01760000000002,232.80000000000001,384.62,659.79999999999995,7.7999999999999998,0.002,0,672,1533216,10732512,10732512,0,0,10732512,21465024,6410006,10732512,10732512,9696,2026072001,2027381665,480,50000,50499,1313001,,50000:50499,MAX_FRAMES_REACHED,0,1,0,499,0,0,21465.024000000001,PASS
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_NMS,0.90000000000000002,-2,-2,0.041199826559247921,0.79244659623055669,500,19134,500,0.12756000000000001,1,31.295999999999999,32,32,32,0.024,0.97599999999999998,238.38539999999989,221.90000000000001,358.91499999999996,675.79999999999995,3.956,0.024,0,672,1502208,10515456,10515456,0,0,10515456,21030912,6289303,10515456,10515456,9696,2026072001,2027381665,480,50000,50499,1313001,,50000:50499,MAX_FRAMES_REACHED,0,12,0,488,0,0,21030.912,PASS
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_NMS,1,-2,-2,0.041199826559247921,0.79244659623055669,500,19561,500,0.13040666666666667,1,3.4420000000000002,3,5,32,0.99399999999999999,0.0060000000000000001,31.018399999999978,25.399999999999999,48.964999999999939,280.10000000000002,0.0060000000000000001,0.99399999999999999,0,672,165216,1156512,1156512,0,0,1156512,2313024,692807,1156512,1156512,9696,2026072001,2027381665,480,50000,50499,1313001,,50000:50499,MAX_FRAMES_REACHED,0,497,0,3,0,0,2313.0239999999999,PASS
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_SPA_BP,0,-1.5,-1.5,0.54119982655924792,0.70626877231137719,500,15804,500,0.10536,1,32,32,32,32,0,1,1047.8065999999997,966.70000000000005,1528.8199999999999,2180.5999999999999,17.628,0,0,672,1536000,10752000,10752000,21504000,10752000,0,0,0,0,0,9696,2026072001,2027381665,480,50000,50499,1313001,,50000:50499,MAX_FRAMES_REACHED,0,0,0,500,1,1,21504,PASS
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_NMS,0.80000000000000004,-1.5,-1.5,0.54119982655924792,0.70626877231137719,500,16166,500,0.10777333333333333,1,31.940000000000001,32,32,32,0.002,0.998,256.04000000000013,233.80000000000001,375.70499999999998,696.10000000000002,7.4720000000000004,0.002,0,672,1533120,10731840,10731840,0,0,10731840,21463680,6420092,10731840,10731840,9696,2026072001,2027381665,480,50000,50499,1313001,,50000:50499,MAX_FRAMES_REACHED,0,1,0,499,0.002,0,21463.68,PASS
