caseId,targetLength,actualLength,actualRate,Zc,fillerLength,rankHp,algorithm,alpha,snrDb,esN0Db,ebN0Db,sigmaSquared,frames,bitErrors,frameErrors,BER,FER,avgIterations,medianIterations,p95Iterations,maxUsedIterations,earlyStopRate,maxIterationRate,avgDecodeTimeUs,medianDecodeTimeUs,p95DecodeTimeUs,maxDecodeTimeUs,avgFinalSyndromeWeight,validCodewordRate,nanInfCount,edgeCount,checkNodeUpdates,variableNodeUpdates,messageUpdates,tanhOperations,atanhOperations,absOperations,comparisonOperations,min1Min2Updates,signOperations,alphaMultiplications,decoderMemoryBytes,payloadSeed,noiseSeed,noiseGroupId,frameStart,frameEnd,runId,alphaCalibrationFrameRange,smokeEvaluationFrameRange,stopReason,correctValidFrames,wrongValidFrames,correctInvalidFrames,wrongInvalidFrames,sameDecodedPayloadRateVsBP,sameDecodedCodewordRateVsBP,avgNormalizedComplexity,status,series,avg_check_node_updates,avg_variable_node_updates,avg_edge_message_updates,avg_normalized_complexity,berCiLow,berCiHigh,ferCiLow,ferCiHigh,isPrimary
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_SPA_BP,0,2.5,2.5,4.5411998265592484,0.28117066259517454,500,1354,404,0.0090266666666666672,0.80800000000000005,13.526,2,32,32,0.61199999999999999,0.38800000000000001,466.60680000000036,97.900000000000006,1295.8499999999997,2331.9000000000001,0.496,0.61199999999999999,0,672,649248,4544736,4544736,9089472,4544736,0,0,0,0,0,9696,2026072001,2027381665,480,50000,50499,1313001,,50000:50499,MAX_FRAMES_REACHED,82,224,14,180,1,1,9089.4719999999998,PASS,N480 BP,1298.496,9089.472,9089.472,9089.472,0.00856045409351272,0.009518025980380276,0.771179624871567,0.8401237814041169,True
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_NMS,0.90000000000000002,2.5,2.5,4.5411998265592484,0.28117066259517454,500,1378,410,0.0091866666666666659,0.81999999999999995,13.922000000000001,2,32,32,0.59799999999999998,0.40200000000000002,109.65879999999993,24.899999999999999,317.53999999999996,451.89999999999998,0.57199999999999995,0.59799999999999998,0,672,668256,4677792,4677792,0,0,4677792,9355584,2839869,4677792,4677792,9696,2026072001,2027381665,480,50000,50499,1313001,,50000:50499,MAX_FRAMES_REACHED,73,226,17,184,0.76200000000000001,0.64000000000000001,9355.5840000000007,PASS,N480 NMS (α=0.90),1336.512,9355.584,9355.584,9355.584,0.008716267307484553,0.009682204571506156,0.7839253300173655,0.851195092087241,True
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_SPA_BP,0,3,3,5.0411998265592484,0.25059361681363618,500,807,316,0.0053800000000000002,0.63200000000000001,8.0440000000000005,2,32,32,0.78800000000000003,0.21199999999999999,317.22019999999981,69.5,1339.579999999999,3461.6999999999998,0.24199999999999999,0.78800000000000003,0,672,386112,2702784,2702784,5405568,2702784,0,0,0,0,0,9696,2026072001,2027381665,480,50000,50499,1313001,,50000:50499,MAX_FRAMES_REACHED,174,220,10,96,1,1,5405.5680000000002,PASS,N480 BP,772.224,5405.568,5405.568,5405.568,0.005022266971015315,0.005763066545025516,0.588871722496907,0.6731154516212433,True
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_NMS,0.90000000000000002,3,3,5.0411998265592484,0.25059361681363618,500,805,317,0.0053666666666666663,0.63400000000000001,9.6780000000000008,2,32,32,0.73399999999999999,0.26600000000000001,102.1295999999999,18.300000000000001,271.49499999999955,11632.1,0.32200000000000001,0.73399999999999999,0,672,464544,3251808,3251808,0,0,3251808,6503616,1977256,3251808,3251808,9696,2026072001,2027381665,480,50000,50499,1313001,,50000:50499,MAX_FRAMES_REACHED,171,196,12,121,0.84599999999999997,0.77600000000000002,6503.616,PASS,N480 NMS (α=0.90),929.088,6503.616,6503.616,6503.616,0.005009390221668438,0.005749277310614248,0.5909042816385175,0.6750523951177865,True
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_SPA_BP,0,3.5,3.5,5.5411998265592484,0.22334179607548157,500,417,210,0.0027799999999999999,0.41999999999999998,4.3600000000000003,2,32,32,0.90600000000000003,0.094,167.70760000000001,64.900000000000006,1036.5349999999989,1805.5999999999999,0.098000000000000004,0.90600000000000003,0,672,209280,1464960,1464960,2929920,1464960,0,0,0,0,0,9696,2026072001,2027381665,480,50000,50499,1313001,,50000:50499,MAX_FRAMES_REACHED,286,167,4,43,1,1,2929.9200000000001,PASS,N480 BP,418.56,2929.92,2929.92,2929.92,0.002525979832859482,0.003059486850343426,0.37750935127740226,0.4637105431964461,True
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_NMS,0.90000000000000002,3.5,3.5,5.5411998265592484,0.22334179607548157,500,411,212,0.0027399999999999998,0.42399999999999999,6.3460000000000001,2,32,32,0.83999999999999997,0.16,55.217599999999955,17.300000000000001,247.11499999999981,764.5,0.20200000000000001,0.83999999999999997,0,672,304608,2132256,2132256,0,0,2132256,4264512,1297104,2132256,2132256,9696,2026072001,2027381665,480,50000,50499,1313001,,50000:50499,MAX_FRAMES_REACHED,274,146,14,66,0.90600000000000003,0.86599999999999999,4264.5119999999997,PASS,N480 NMS (α=0.90),609.216,4264.512,4264.512,4264.512,0.0024878971476362684,0.00301757158429221,0.381424117793864,0.46773478195629203,True
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_SPA_BP,0,4,4,6.0411998265592484,0.19905358527674863,500,198,110,0.00132,0.22,2.2879999999999998,1,2,32,0.96799999999999997,0.032000000000000001,100.20759999999986,50.25,156.31,1725.5999999999999,0.032000000000000001,0.96799999999999997,0,672,109824,768768,768768,1537536,768768,0,0,0,0,0,9696,2026072001,2027381665,480,50000,50499,1313001,,50000:50499,MAX_FRAMES_REACHED,387,97,3,13,1,1,1537.5360000000001,PASS,N480 BP,219.648,1537.536,1537.536,1537.536,0.0011485902697865413,0.0015169511918996866,0.18590093257162363,0.25836869808684565,True
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_NMS,0.90000000000000002,4,4,6.0411998265592484,0.19905358527674863,500,206,122,0.0013733333333333334,0.24399999999999999,4.1799999999999997,1,32,32,0.90600000000000003,0.094,40.206200000000017,13.449999999999999,252.44499999999977,448.89999999999998,0.098000000000000004,0.90600000000000003,0,672,200640,1404480,1404480,0,0,1404480,2808960,861728,1404480,1404480,9696,2026072001,2027381665,480,50000,50499,1313001,,50000:50499,MAX_FRAMES_REACHED,365,88,13,34,0.95399999999999996,0.92600000000000005,2808.96,PASS,N480 NMS (α=0.90),401.28,2808.96,2808.96,2808.96,0.0011982608877892569,0.001573944508929544,0.208398855460222,0.2835048068560928,True
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_SPA_BP,0,4.5,4.5,6.5411998265592484,0.17740669461678774,500,105,67,0.00069999999999999999,0.13400000000000001,1.8680000000000001,1,2,32,0.97799999999999998,0.021999999999999999,76.014799999999966,37.349999999999994,127.41499999999989,1871.3,0.021999999999999999,0.97799999999999998,0,672,89664,627648,627648,1255296,627648,0,0,0,0,0,9696,2026072001,2027381665,480,50000,50499,1313001,,50000:50499,MAX_FRAMES_REACHED,430,59,3,8,1,1,1255.296,PASS,N480 BP,179.328,1255.296,1255.296,1255.296,0.0005783347670769332,0.000847238449855636,0.10691500187152081,0.16666601534633546,True
LDPC_BG2_K300_N480,480,480,0.625,48,84,96,DIRECT_LAYERED_NMS,0.90000000000000002,4.5,4.5,6.5411998265592484,0.17740669461678774,500,108,72,0.00072000000000000005,0.14399999999999999,3.1539999999999999,1,32,32,0.93600000000000005,0.064000000000000001,28.598599999999994,10.449999999999999,218.22499999999997,387.30000000000001,0.064000000000000001,0.93600000000000005,0,672,151392,1059744,1059744,0,0,1059744,2119488,649571,1059744,1059744,9696,2026072001,2027381665,480,50000,50499,1313001,,50000:50499,MAX_FRAMES_REACHED,420,48,8,24,0.96399999999999997,0.95199999999999996,2119.4879999999998,PASS,N480 NMS (α=0.90),302.784,2119.488,2119.488,2119.488,0.0005964455716777624,0.0008691266208920215,0.11593807411034973,0.17749045629827542,True
