channelType,profileId,caseName,snrDb,miscorrectionRate,decoderFailureRate
AWGN,AWGN,BCH-B200,2.565783148377649,0.00059999999999999995,0.55359999999999998
AWGN,AWGN,BCH-B200,2.765783148377649,0.0011999999999999999,0.4698
AWGN,AWGN,BCH-B200,2.965783148377649,0.00020000000000000001,0.35639999999999999
AWGN,AWGN,BCH-B200,3.1657831483776486,0,0.26219999999999999
AWGN,AWGN,BCH-B200,3.365783148377649,0.00040000000000000002,0.185
AWGN,AWGN,BCH-B200,3.565783148377649,0.00020000000000000001,0.13
AWGN,AWGN,BCH-B200,3.765783148377649,0,0.071199999999999999
AWGN,AWGN,BCH-B200,3.9657831483776493,0,0.041399999999999999
AWGN,AWGN,BCH-B200,4.165783148377649,0,0.021381227282446014
AWGN,AWGN,BCH-B200,4.365783148377649,0,0.012215232394796311
AWGN,AWGN,BCH-B200,4.565783148377649,2.6609190814507331e-05,0.0052952289720869586
AWGN,AWGN,BCH-B200,4.76578314837765,0,0.002
AWGN,AWGN,BCH-B200,4.96578314837765,0,0.00077999999999999999
AWGN,AWGN,BCH-B200,5.065783148377649,0,0.00044000000000000002
AWGN,AWGN,BCH-B300,2.8605664769316324,0,0.35980000000000001
AWGN,AWGN,BCH-B300,3.0605664769316325,0,0.2424
AWGN,AWGN,BCH-B300,3.2605664769316327,0,0.14799999999999999
AWGN,AWGN,BCH-B300,3.460566476931632,0,0.086199999999999999
AWGN,AWGN,BCH-B300,3.660566476931632,0,0.047600000000000003
AWGN,AWGN,BCH-B300,3.8605664769316324,0,0.020876826722338204
AWGN,AWGN,BCH-B300,4.0605664769316325,0,0.0081903435849133878
AWGN,AWGN,BCH-B300,4.260566476931633,0,0.0031800000000000001
AWGN,AWGN,BCH-B300,4.360566476931632,0,0.0017600000000000001
AWGN,AWGN,BCH-B300-426,2.4771165561694346,0,0.29720000000000002
AWGN,AWGN,BCH-B300-426,2.677116556169435,0,0.18759999999999999
AWGN,AWGN,BCH-B300-426,2.877116556169435,0,0.113
AWGN,AWGN,BCH-B300-426,3.0771165561694342,0,0.050200000000000002
AWGN,AWGN,BCH-B300-426,3.2771165561694344,0,0.022660321776569226
AWGN,AWGN,BCH-B300-426,3.4771165561694346,0,0.0087554174145252368
AWGN,AWGN,BCH-B300-426,3.677116556169435,0,0.0025400000000000002
AWGN,AWGN,BCH-B300-426,3.877116556169435,0,0.00080000000000000004
AWGN,AWGN,BCH-B300-426,3.9771165561694346,0,0.00066
AWGN,AWGN,BCH-S200,2.9618513565547095,0.59360000000000002,0
AWGN,AWGN,BCH-S200,3.1618513565547097,0.50680000000000003,0
AWGN,AWGN,BCH-S200,3.36185135655471,0.43980000000000002,0
AWGN,AWGN,BCH-S200,3.561851356554709,0.35759999999999997,0
AWGN,AWGN,BCH-S200,3.7618513565547094,0.30880000000000002,0
AWGN,AWGN,BCH-S200,3.9618513565547095,0.24260000000000001,0
AWGN,AWGN,BCH-S200,4.16185135655471,0.19919999999999999,0
AWGN,AWGN,BCH-S200,4.36185135655471,0.1618,0
AWGN,AWGN,BCH-S200,4.561851356554709,0.1182,0
AWGN,AWGN,BCH-S200,4.761851356554709,0.085400000000000004,0
AWGN,AWGN,BCH-S200,4.9618513565547095,0.065600000000000006,0
AWGN,AWGN,BCH-S200,5.16185135655471,0.041399999999999999,0
AWGN,AWGN,BCH-S200,5.36185135655471,0.03717472118959108,0
AWGN,AWGN,BCH-S200,5.561851356554709,0.024603272235207283,0
AWGN,AWGN,BCH-S200,5.761851356554709,0.017053206002728513,0
AWGN,AWGN,BCH-S200,5.9618513565547095,0.011385631333257429,0
AWGN,AWGN,BCH-S200,6.16185135655471,0.0086258949365996714,0
AWGN,AWGN,BCH-S200,6.36185135655471,0.0044008273555428421,0
AWGN,AWGN,BCH-S200,6.561851356554709,0.00332,0
AWGN,AWGN,BCH-S200,6.76185135655471,0.0022599999999999999,0
AWGN,AWGN,BCH-S200,6.9618513565547095,0.0014,0
AWGN,AWGN,BCH-S300,3.53871964321762,0.51500000000000001,0
AWGN,AWGN,BCH-S300,3.73871964321762,0.42280000000000001,0
AWGN,AWGN,BCH-S300,3.9387196432176204,0.35680000000000001,0
AWGN,AWGN,BCH-S300,4.13871964321762,0.2994,0
AWGN,AWGN,BCH-S300,4.33871964321762,0.22320000000000001,0
AWGN,AWGN,BCH-S300,4.53871964321762,0.17760000000000001,0
AWGN,AWGN,BCH-S300,4.73871964321762,0.13739999999999999,0
AWGN,AWGN,BCH-S300,4.93871964321762,0.1022,0
AWGN,AWGN,BCH-S300,5.13871964321762,0.074800000000000005,0
AWGN,AWGN,BCH-S300,5.33871964321762,0.057599999999999998,0
AWGN,AWGN,BCH-S300,5.53871964321762,0.0402,0
AWGN,AWGN,BCH-S300,5.73871964321762,0.024962556165751371,0
AWGN,AWGN,BCH-S300,5.93871964321762,0.016627868307283005,0
AWGN,AWGN,BCH-S300,6.13871964321762,0.012337301832089321,0
AWGN,AWGN,BCH-S300,6.33871964321762,0.0084012433840208352,0
AWGN,AWGN,BCH-S300,6.53871964321762,0.0055680837439795097,0
AWGN,AWGN,BCH-S300,6.738719643217619,0.00314,0
AWGN,AWGN,BCH-S300,6.93871964321762,0.0020400000000000001,0
AWGN,AWGN,BCH-S300,7.13871964321762,0.00116,0
AWGN,AWGN,BCH-S300,7.338719643217621,0.00072000000000000005,0
AWGN,AWGN,BCH-S300,7.53871964321762,0.00046000000000000001,0
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-S200,6.4618513565547095,0.5242,0
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-S200,6.661851356554709,0.47999999999999998,0
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-S200,6.86185135655471,0.43259999999999998,0
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-S200,7.061851356554709,0.39400000000000002,0
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-S200,7.26185135655471,0.35220000000000001,0
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-S200,7.4618513565547095,0.30959999999999999,0
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-S200,7.661851356554709,0.28720000000000001,0
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-S200,7.86185135655471,0.24959999999999999,0
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-S200,8.061851356554708,0.22939999999999999,0
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-S200,8.261851356554711,0.2092,0
MULTIPATH_MMSE,FIXED_MULTIPATH_MMSE,BCH-S200,8.46185135655471,0.1928,0
