caseName,sourcePayloadEbN0Db,targetFER,maximumToleratedParameter,parameter,status
BCH-S200,0.0,0.1,12.0,burstLength,VALID
BCH-S200,0.0,0.01,12.0,burstLength,VALID
BCH-S200,0.0,0.5,12.0,burstLength,VALID
BCH-B200,0.0,0.1,48.0,burstLength,VALID
BCH-B200,0.0,0.01,48.0,burstLength,VALID
BCH-B200,0.0,0.5,48.0,burstLength,VALID
BCH-S300,0.0,0.1,12.0,burstLength,VALID
BCH-S300,0.0,0.01,12.0,burstLength,VALID
BCH-S300,0.0,0.5,12.0,burstLength,VALID
BCH-B300,0.0,0.1,64.0,burstLength,VALID
BCH-B300,0.0,0.01,64.0,burstLength,VALID
BCH-B300,0.0,0.5,64.0,burstLength,VALID
BCH-B300-426,0.0,0.1,64.0,burstLength,VALID
BCH-B300-426,0.0,0.01,64.0,burstLength,VALID
BCH-B300-426,0.0,0.5,64.0,burstLength,VALID
BCH-S200,7.5,0.1,12.0,burstLength,VALID
BCH-S200,7.5,0.01,,burstLength,TARGET_NOT_BRACKETED_NO_EXTRAPOLATION
BCH-S200,7.5,0.5,12.0,burstLength,VALID
BCH-S200,8.5,0.1,12.0,burstLength,VALID
BCH-S200,8.5,0.01,12.0,burstLength,VALID
BCH-S200,8.5,0.5,12.0,burstLength,VALID
BCH-B200,5.3,0.1,2.0,burstLength,VALID
BCH-B200,5.3,0.01,,burstLength,TARGET_NOT_BRACKETED_NO_EXTRAPOLATION
BCH-B200,5.3,0.5,4.0,burstLength,VALID
BCH-B200,6.0,0.1,3.0,burstLength,VALID
BCH-B200,6.0,0.01,1.0,burstLength,VALID
BCH-B200,6.0,0.5,5.0,burstLength,VALID
BCH-S300,7.8,0.1,12.0,burstLength,VALID
BCH-S300,7.8,0.01,,burstLength,TARGET_NOT_BRACKETED_NO_EXTRAPOLATION
BCH-S300,7.8,0.5,12.0,burstLength,VALID
BCH-S300,9.0,0.1,12.0,burstLength,VALID
BCH-S300,9.0,0.01,12.0,burstLength,VALID
BCH-S300,9.0,0.5,12.0,burstLength,VALID
BCH-B300,5.2,0.1,3.0,burstLength,VALID
BCH-B300,5.2,0.01,,burstLength,TARGET_NOT_BRACKETED_NO_EXTRAPOLATION
BCH-B300,5.2,0.5,6.0,burstLength,VALID
BCH-B300,5.5,0.1,4.0,burstLength,VALID
BCH-B300,5.5,0.01,1.0,burstLength,VALID
BCH-B300,5.5,0.5,6.0,burstLength,VALID
BCH-B300-426,5.0,0.1,3.0,burstLength,VALID
BCH-B300-426,5.0,0.01,,burstLength,TARGET_NOT_BRACKETED_NO_EXTRAPOLATION
BCH-B300-426,5.0,0.5,7.0,burstLength,VALID
BCH-B300-426,5.5,0.1,6.0,burstLength,VALID
BCH-B300-426,5.5,0.01,3.0,burstLength,VALID
BCH-B300-426,5.5,0.5,8.0,burstLength,VALID
