channelType,profileId,caseName,snrDb,avgDecodeTimeUs,avgTotalReceiverTimeUs
AWGN,AWGN,BCH-B200,2.565783148377649,49.02721999999995,49.02721999999995
AWGN,AWGN,BCH-B200,2.765783148377649,50.190680000000029,50.190680000000029
AWGN,AWGN,BCH-B200,2.965783148377649,50.602340000000076,50.602340000000076
AWGN,AWGN,BCH-B200,3.1657831483776486,52.290019999999878,52.290019999999878
AWGN,AWGN,BCH-B200,3.365783148377649,48.212239999999923,48.212239999999923
AWGN,AWGN,BCH-B200,3.565783148377649,49.633220000000087,49.633220000000087
AWGN,AWGN,BCH-B200,3.765783148377649,47.845359999999978,47.845359999999978
AWGN,AWGN,BCH-B200,3.9657831483776493,44.348739999999935,44.348739999999935
AWGN,AWGN,BCH-B200,4.165783148377649,44.397787042976248,44.397787042976248
AWGN,AWGN,BCH-B200,4.365783148377649,43.74611250229021,43.74611250229021
AWGN,AWGN,BCH-B200,4.565783148377649,46.547547963066357,46.547547963066357
AWGN,AWGN,BCH-B200,4.76578314837765,48.808570000000131,48.808570000000131
AWGN,AWGN,BCH-B200,4.96578314837765,48.54762800000028,48.54762800000028
AWGN,AWGN,BCH-B200,5.065783148377649,47.522343999999485,47.522343999999485
AWGN,AWGN,BCH-B300,2.8605664769316324,154.68108000000058,154.68108000000058
AWGN,AWGN,BCH-B300,3.0605664769316325,161.75601999999992,161.75601999999992
AWGN,AWGN,BCH-B300,3.2605664769316327,135.6986999999998,135.6986999999998
AWGN,AWGN,BCH-B300,3.460566476931632,126.25744000000017,126.25744000000017
AWGN,AWGN,BCH-B300,3.660566476931632,126.19012000000023,126.19012000000023
AWGN,AWGN,BCH-B300,3.8605664769316324,116.77448851774514,116.77448851774514
AWGN,AWGN,BCH-B300,4.0605664769316325,128.12779393095488,128.12779393095488
AWGN,AWGN,BCH-B300,4.260566476931633,128.10267600000034,128.10267600000034
AWGN,AWGN,BCH-B300,4.360566476931632,122.70082600000011,122.70082600000011
