caseName,ebn0Db,FER,frameRate
BCH-S300,5.0,0.515,0.7142857142857143
BCH-S300,5.2,0.4228,0.7142857142857143
BCH-S300,5.4,0.3568,0.7142857142857143
BCH-S300,5.6,0.2994,0.7142857142857143
BCH-S300,5.8,0.2232,0.7142857142857143
BCH-S300,6.0,0.1776,0.7142857142857143
BCH-S300,6.2,0.1374,0.7142857142857143
BCH-S300,6.4,0.1022,0.7142857142857143
BCH-S300,6.6,0.0748,0.7142857142857143
BCH-S300,6.8,0.0576,0.7142857142857143
BCH-S300,7.0,0.0402,0.7142857142857143
BCH-S300,7.2,0.02496255616575137,0.7142857142857143
BCH-S300,7.4,0.016627868307283005,0.7142857142857143
BCH-S300,7.6,0.012337301832089321,0.7142857142857143
BCH-S300,7.8,0.008401243384020835,0.7142857142857143
BCH-S300,8.0,0.00556808374397951,0.7142857142857143
BCH-S300,8.2,0.00314,0.7142857142857143
BCH-S300,8.4,0.00204,0.7142857142857143
BCH-S300,8.6,0.00116,0.7142857142857143
BCH-S300,8.8,0.00072,0.7142857142857143
BCH-S300,9.0,0.00046,0.7142857142857143
BCH-B300,4.0,0.3598,0.76923076923076927
BCH-B300,4.2,0.2424,0.76923076923076927
BCH-B300,4.4,0.148,0.76923076923076927
BCH-B300,4.6,0.0862,0.76923076923076927
BCH-B300,4.8,0.0476,0.76923076923076927
BCH-B300,5.0,0.020876826722338204,0.76923076923076927
BCH-B300,5.2,0.008190343584913388,0.76923076923076927
BCH-B300,5.4,0.00318,0.76923076923076927
BCH-B300,5.5,0.00176,0.76923076923076927
