caseName,ebn0Db,FER,frameRate
BCH-S200,4.5,0.5936,0.70175438596491224
BCH-S200,4.7,0.5068,0.70175438596491224
BCH-S200,4.9,0.4398,0.70175438596491224
BCH-S200,5.1,0.3576,0.70175438596491224
BCH-S200,5.3,0.3088,0.70175438596491224
BCH-S200,5.5,0.2426,0.70175438596491224
BCH-S200,5.7,0.1992,0.70175438596491224
BCH-S200,5.9,0.1618,0.70175438596491224
BCH-S200,6.1,0.1182,0.70175438596491224
BCH-S200,6.3,0.0854,0.70175438596491224
BCH-S200,6.5,0.0656,0.70175438596491224
BCH-S200,6.7,0.0414,0.70175438596491224
BCH-S200,6.9,0.03717472118959108,0.70175438596491224
BCH-S200,7.1,0.024603272235207283,0.70175438596491224
BCH-S200,7.3,0.017053206002728513,0.70175438596491224
BCH-S200,7.5,0.011385631333257429,0.70175438596491224
BCH-S200,7.7,0.008625894936599671,0.70175438596491224
BCH-S200,7.9,0.004400827355542842,0.70175438596491224
BCH-S200,8.1,0.00332,0.70175438596491224
BCH-S200,8.3,0.00226,0.70175438596491224
BCH-S200,8.5,0.0014,0.70175438596491224
BCH-B200,3.5,0.5542,0.80645161290322576
BCH-B200,3.7,0.471,0.80645161290322576
BCH-B200,3.9,0.3566,0.80645161290322576
BCH-B200,4.1,0.2622,0.80645161290322576
BCH-B200,4.3,0.1854,0.80645161290322576
BCH-B200,4.5,0.1302,0.80645161290322576
BCH-B200,4.7,0.0712,0.80645161290322576
BCH-B200,4.9,0.0414,0.80645161290322576
BCH-B200,5.1,0.021381227282446014,0.80645161290322576
BCH-B200,5.3,0.012215232394796311,0.80645161290322576
BCH-B200,5.5,0.005321838162901466,0.80645161290322576
BCH-B200,5.7,0.002,0.80645161290322576
BCH-B200,5.9,0.00078,0.80645161290322576
BCH-B200,6.0,0.00044,0.80645161290322576
