filename,caseName,ebn0Db,metric,rawValue,plottedValue,zeroHandlingPolicy
bch_200bit_rate_performance_comparison.png,BCH-S200,4.5,FER,0.5936,0.5936,NO_ZERO_OBSERVATIONS
bch_200bit_rate_performance_comparison.png,BCH-S200,4.7,FER,0.5068,0.5068,NO_ZERO_OBSERVATIONS
bch_200bit_rate_performance_comparison.png,BCH-S200,4.9,FER,0.4398,0.4398,NO_ZERO_OBSERVATIONS
bch_200bit_rate_performance_comparison.png,BCH-S200,5.1,FER,0.3576,0.3576,NO_ZERO_OBSERVATIONS
bch_200bit_rate_performance_comparison.png,BCH-S200,5.3,FER,0.3088,0.3088,NO_ZERO_OBSERVATIONS
bch_200bit_rate_performance_comparison.png,BCH-S200,5.5,FER,0.2426,0.2426,NO_ZERO_OBSERVATIONS
bch_200bit_rate_performance_comparison.png,BCH-S200,5.7,FER,0.1992,0.1992,NO_ZERO_OBSERVATIONS
bch_200bit_rate_performance_comparison.png,BCH-S200,5.9,FER,0.1618,0.1618,NO_ZERO_OBSERVATIONS
bch_200bit_rate_performance_comparison.png,BCH-S200,6.1,FER,0.1182,0.1182,NO_ZERO_OBSERVATIONS
bch_200bit_rate_performance_comparison.png,BCH-S200,6.3,FER,0.0854,0.0854,NO_ZERO_OBSERVATIONS
bch_200bit_rate_performance_comparison.png,BCH-S200,6.5,FER,0.0656,0.0656,NO_ZERO_OBSERVATIONS
bch_200bit_rate_performance_comparison.png,BCH-S200,6.7,FER,0.0414,0.0414,NO_ZERO_OBSERVATIONS
bch_200bit_rate_performance_comparison.png,BCH-S200,6.9,FER,0.03717472118959108,0.03717472118959108,NO_ZERO_OBSERVATIONS
bch_200bit_rate_performance_comparison.png,BCH-S200,7.1,FER,0.024603272235207283,0.024603272235207283,NO_ZERO_OBSERVATIONS
bch_200bit_rate_performance_comparison.png,BCH-S200,7.3,FER,0.017053206002728513,0.017053206002728513,NO_ZERO_OBSERVATIONS
bch_200bit_rate_performance_comparison.png,BCH-S200,7.5,FER,0.011385631333257429,0.011385631333257429,NO_ZERO_OBSERVATIONS
bch_200bit_rate_performance_comparison.png,BCH-S200,7.7,FER,0.008625894936599671,0.008625894936599671,NO_ZERO_OBSERVATIONS
bch_200bit_rate_performance_comparison.png,BCH-S200,7.9,FER,0.004400827355542842,0.004400827355542842,NO_ZERO_OBSERVATIONS
bch_200bit_rate_performance_comparison.png,BCH-S200,8.1,FER,0.00332,0.00332,NO_ZERO_OBSERVATIONS
bch_200bit_rate_performance_comparison.png,BCH-S200,8.3,FER,0.00226,0.00226,NO_ZERO_OBSERVATIONS
bch_200bit_rate_performance_comparison.png,BCH-S200,8.5,FER,0.0014,0.0014,NO_ZERO_OBSERVATIONS
