index,tx_bit,bpsk,burst_mask,standard_noise,received,hard_bit,llr
0,0,1,0,1.6307029208475581,1.9159248694397992,0,12.146145131368343
1,1,-1,0,1.4263197791315037,-0.19887200741541355,1,-1.2607635628950602
2,0,1,0,-0.58307991923652591,0.6724986555968715,0,4.2633541647789297
3,0,1,0,0.93456190245600634,1.5249199455934794,0,9.667340963277109
4,0,1,0,-0.56906141725069759,0.68037249603522543,0,4.3132709492160188
5,1,-1,0,-1.6793292158904967,-1.9432370379342276,1,-12.319292611041023
6,0,1,0,-2.427112994781361,-0.36324840315201401,1,-2.3028396853119881
7,1,-1,0,1.1941441992231308,-0.32927919869226396,1,-2.087489441705678
8,0,1,0,-0.40315424767062269,0.77355838580954206,0,4.9040296785630035
9,0,1,0,-0.61356424700267576,0.65537637441848329,0,4.1548062172628004
10,0,1,0,-1.1461766720556934,0.35622135381844111,0,2.2582911947045159
11,1,-1,0,0.9448094142920932,-0.46932428441276086,1,-2.9753154536898725
12,0,1,1,-0.52770090077906628,-1.2963963407866577,1,-8.2185989409770865
13,0,1,1,-0.71027259285157951,-1.3989422742531938,1,-8.8686963484398191
14,1,-1,1,0.026359932036038192,1.0148057116964024,0,6.4334346565531346
15,0,1,1,-0.35601262355283247,-1.1999633480616247,1,-7.6072549661828592
16,1,-1,1,-0.16628561440457476,0.90660154727381836,0,5.7474664821959482
17,1,-1,1,0.46705291685619671,1.2623318916180317,0,8.0026448866079143
18,1,-1,1,1.0126621548919004,1.5687868956069018,0,9.9454386850783276
19,1,-1,1,-0.22397585029210079,0.87419839088174545,0,5.5420443142757518
20,1,-1,0,0.48308467788307896,-0.72866347091078176,1,-4.6194150985663383
21,0,1,0,0.7092222729004497,1.3983523359193564,0,8.8649563914427372
22,0,1,0,-0.20885338109153706,0.88269230197435244,0,5.5958920817479223
23,0,1,0,0.41141915680070074,1.2310838060447313,0,7.8045453741976498
24,0,1,0,0.25220515321317205,1.1416572994845415,0,7.2376195283063538
25,1,-1,0,-0.23975457116164153,-1.1346641202891119,1,-7.1932857599043656
26,1,-1,0,-0.35042076254216126,-1.1968225401924255,1,-7.5873435861399701
27,0,1,0,-1.3224843832571587,0.25719374106387494,0,1.630498437422967
28,0,1,0,-1.7905936369455286,-0.0057314684189397891,1,-0.036335061119934134
29,0,1,0,-0.39504068803293912,0.77811556845564589,0,4.9329202695734509
30,1,-1,0,1.8112779178554739,0.017349309443012384,0,0.10998720972052656
31,0,1,0,-0.86690881951935994,0.51307909173193444,0,3.2527022387202962
