check,status,detail
mapping_BCH_NONE_0,PASS,indices
mapping_hash_BCH_NONE_0,PASS,2960bac5a9698f429c205bcbf19e4d157d3998e2efd872093f3a1e4c7ea85c84
mapping_permutation_1,PASS,unique/range
mapping_BCH_BCH_CODEBLOCK_4,PASS,indices
mapping_hash_BCH_BCH_CODEBLOCK_4,PASS,15304f5069758774584a5aaf6fb7c2f0e8e18ecd9e6fe424430cd3db3533171c
mapping_permutation_2,PASS,unique/range
mapping_BCH_BCH_CODEBLOCK_8,PASS,indices
mapping_hash_BCH_BCH_CODEBLOCK_8,PASS,e50c50705aa13aa4a40dfc376a7164f7d33908a2118f52f6a40f399c8595d574
mapping_permutation_3,PASS,unique/range
mapping_BCH_BCH_CODEBLOCK_16,PASS,indices
mapping_hash_BCH_BCH_CODEBLOCK_16,PASS,6ac120f435f35743bbc4d2cbf21de4cf2239ef2628876b41988b9b4782b5cd2c
mapping_permutation_4,PASS,unique/range
mapping_BCH_BCH_CODEBLOCK_19,PASS,indices
mapping_hash_BCH_BCH_CODEBLOCK_19,PASS,df44ec62eb0e5d19c68e38cc1e90d8bcfe3dc86f8d43caee9ec245092b1d89f0
mapping_permutation_5,PASS,unique/range
mapping_BCH_ROW_COLUMN_4,PASS,indices
mapping_hash_BCH_ROW_COLUMN_4,PASS,e48caea4539b269d7cb36a0b995fa531196c889fe9b45a66a958d5e9111777ba
mapping_permutation_6,PASS,unique/range
mapping_BCH_ROW_COLUMN_8,PASS,indices
mapping_hash_BCH_ROW_COLUMN_8,PASS,379fa0b70c19dc47f0e562b6c23355c6553b9cccc843adc423f6e81ae3a50535
mapping_permutation_7,PASS,unique/range
mapping_BCH_ROW_COLUMN_15,PASS,indices
mapping_hash_BCH_ROW_COLUMN_15,PASS,9b5dd0f5c3e63e89963f9310d2fd77e38b8566ecbbe84414f3b5b7205e755b64
mapping_permutation_8,PASS,unique/range
mapping_BCH_ROW_COLUMN_19,PASS,indices
mapping_hash_BCH_ROW_COLUMN_19,PASS,df44ec62eb0e5d19c68e38cc1e90d8bcfe3dc86f8d43caee9ec245092b1d89f0
mapping_permutation_9,PASS,unique/range
mapping_BCH_GLOBAL_PSEUDORANDOM_285,PASS,indices
mapping_hash_BCH_GLOBAL_PSEUDORANDOM_285,PASS,34d8473db8f03d7c9baee43fda538eef07106f9a38e4358b42f391a5661af5e9
mapping_permutation_10,PASS,unique/range
mapping_CC_NONE_0,PASS,indices
mapping_hash_CC_NONE_0,PASS,930c628ef19cfe636f19e9bd17a208f84b3824a7793f7cb8944fa2ef6689ab1b
mapping_permutation_11,PASS,unique/range
cc_pair_NONE_0,PASS,mother pair
mapping_CC_SHORT_DEPTH_BLOCK_4,PASS,indices
mapping_hash_CC_SHORT_DEPTH_BLOCK_4,PASS,df9a7c2fa40f63c8ca9fdb6420e59376d3c45ca3d18bc3363a14bba3422d58ad
mapping_permutation_12,PASS,unique/range
cc_pair_SHORT_DEPTH_BLOCK_4,PASS,mother pair
mapping_CC_SHORT_DEPTH_BLOCK_8,PASS,indices
mapping_hash_CC_SHORT_DEPTH_BLOCK_8,PASS,b7d385c52389b6b9c08ec711d00560da23211bef91faf1c565065d7b79b1e1c3
mapping_permutation_13,PASS,unique/range
cc_pair_SHORT_DEPTH_BLOCK_8,PASS,mother pair
mapping_CC_SHORT_DEPTH_BLOCK_16,PASS,indices
mapping_hash_CC_SHORT_DEPTH_BLOCK_16,PASS,47501f16671af7f35e1a78086a23e32c474416bf869619f297754ae6eeec45b6
mapping_permutation_14,PASS,unique/range
cc_pair_SHORT_DEPTH_BLOCK_16,PASS,mother pair
mapping_CC_PSEUDORANDOM_32,PASS,indices
mapping_hash_CC_PSEUDORANDOM_32,PASS,a3db3821470e5cb3390e78b58321eb9e5537172706f3f9a669b3b01adf39ac31
mapping_permutation_15,PASS,unique/range
cc_pair_PSEUDORANDOM_32,PASS,mother pair
mapping_CC_PSEUDORANDOM_64,PASS,indices
mapping_hash_CC_PSEUDORANDOM_64,PASS,5eb08fb5c35c0440564a4c5cb5802aa6eb73fb98418ca44d9d63c76670cd9d63
mapping_permutation_16,PASS,unique/range
cc_pair_PSEUDORANDOM_64,PASS,mother pair
mapping_CC_PSEUDORANDOM_128,PASS,indices
mapping_hash_CC_PSEUDORANDOM_128,PASS,df42d59b270213241d518cbef367df079ed36681f26f5709d3c18cc77508e730
mapping_permutation_17,PASS,unique/range
cc_pair_PSEUDORANDOM_128,PASS,mother pair
channel_received,PASS,max abs
channel_hard,PASS,hard bits
channel_llr,PASS,max abs
bch_padded_bits,PASS,padded
bch_encoded_bits,PASS,encoded
bch_decoded_payload,PASS,payload
bch_syndrome_lookup,PASS,15 single-bit patterns
cc_state_numbering,PASS,states 0..63
cc_generator_output_order,PASS,171 then 133
cc_encoded_bits,PASS,convenc
cc_noiseless_payload,PASS,explicit Viterbi
cc_tie_break_payload,PASS,lower predecessor then input 0
cc_tie_count,PASS,exact ties
cc_traceback_final_state,PASS,terminated state 0
