actualLength,esN0Db,bpAvgDelayUs,nmsAvgDelayUs,delayReduction
480,-5.0,1791.5815,339.3368,0.8105937128732351
480,-4.5,1808.272,366.0401,0.7975746458497395
480,-4.0,1828.4806999999998,431.179,0.7641872840112559
480,-3.5,1975.4386000000002,338.7566,0.8285157534129384
480,-3.0,1888.7721000000001,335.08590000000004,0.822590613234916
480,-2.5,2030.6538999999998,416.25109999999995,0.7950162260540804
480,-2.0,2268.4638999999997,364.7348,0.8392150741301195
480,-1.5,2208.0631000000003,433.9293,0.8034796650512388
480,-1.0,2167.9903,372.66929999999996,0.8281037973278755
480,-0.5,2253.1713,329.348,0.8538291340742713
480,0.0,2178.1121000000003,283.78909999999996,0.86970868028326
480,0.5,2213.2286,265.86990000000003,0.8798723728764394
480,1.0,2020.8106,245.264,0.8786308820826653
480,1.5,1743.2963,284.78229999999996,0.8366414820016541
480,2.0,1345.0462,172.30679999999998,0.8718952553451323
480,2.5,873.2074,140.6828,0.838889592552697
480,3.0,450.1135,88.4932,0.8033980318297496
480,3.5,221.10739999999998,50.866,0.7699489026599743
480,4.0,128.522,40.1529,0.6875795583635486
480,4.5,113.6548122866894,33.58491467576792,0.7045007246059111
480,5.0,85.6098248738498,29.01849213416444,0.6610378285795516
480,5.5,72.83491707195411,22.359982541464024,0.6930046268965414
480,6.0,75.52085985073944,22.324934755734628,0.7043871746182715
480,6.5,73.36731,21.40804,0.7082073746468284
480,7.0,73.439408,20.716124,0.7179154276407022
480,7.5,72.500258,20.412942,0.7184431812642653
480,8.0,72.967912,20.358248,0.7209972515041954
480,8.5,71.920524,19.949778000000002,0.7226135616030829
480,9.0,66.20207599999999,18.357522,0.7227047381414443
480,9.5,64.72539400000001,17.719766,0.7262316240207051
480,10.0,65.71205599999999,18.152288000000002,0.7237601574968222
560,-5.0,2171.8693,468.75640000000004,0.7841691486683844
560,-4.5,2315.7922999999996,492.7996,0.7872004324394721
560,-4.0,2362.5528,493.0763,0.7912951194148973
560,-3.5,2070.4678,434.4758,0.7901557319558411
560,-3.0,2202.1946000000003,448.1708,0.7964890114615667
560,-2.5,2247.0137,437.0684,0.8054892144182298
560,-2.0,2252.4512,428.228,0.8098835615173372
560,-1.5,2148.5082,410.6692,0.8088584441986305
560,-1.0,2102.0011,393.07590000000005,0.8129991939585569
560,-0.5,2076.4807,376.4276,0.8187184691868313
560,0.0,2146.5536,371.4565,0.8269521431936291
560,0.5,2198.8428,339.6576,0.8455289300353804
560,1.0,2116.4814,312.981,0.8521220172310515
560,1.5,1896.3573999999999,238.2156,0.8743825399157353
560,2.0,1506.4432,195.79420000000002,0.8700288202037754
560,2.5,803.8155,126.4194,0.8427258494020083
560,3.0,473.27770000000004,98.7114,0.7914302744456374
560,3.5,228.5395,59.5751,0.7393225241150874
560,4.0,144.5213,44.621199999999995,0.6912482796653504
560,4.5,82.5822563559322,29.58580508474576,0.6417413813782227
560,5.0,76.297016107737,24.732637972009506,0.6758374149641029
560,5.5,69.08819858676699,23.115885105992476,0.6654148526254954
560,6.0,69.27753011324982,21.284133018528152,0.6927700369263394
560,6.5,70.700448,21.273324,0.699106234800662
560,7.0,70.75361,20.64955,0.708148460552048
560,7.5,70.559146,20.335696000000002,0.7117922033806928
560,8.0,70.9893,20.534622,0.7107363785809975
560,8.5,69.59843599999999,19.941314,0.7134804293590735
560,9.0,68.627128,19.5121,0.7156794904778763
560,9.5,71.90053,20.06224,0.7209722932501332
560,10.0,74.91227599999999,21.034467999999997,0.7192120020489032
640,-5.0,7258.0238,1796.3176,0.7525059645023484
640,-4.5,7455.915400000001,1798.753,0.7587482014616207
640,-4.0,7465.2020999999995,1779.3644,0.7616455152634113
640,-3.5,7633.5026,1801.5378999999998,0.7639959014358626
640,-3.0,7182.232,1686.9538,0.7651212325082231
640,-2.5,6835.8691,1627.0228,0.7619874260026425
640,-2.0,5296.3665,1329.0442,0.7490649108214094
640,-1.5,2825.8347999999996,784.7021,0.7223114033417665
640,-1.0,1333.8056363971266,359.6671210167618,0.7303451783362575
640,-0.5,914.4721588304827,234.31401346102817,0.7437712988871176
640,0.0,707.2416240000001,178.72070399999998,0.7472989457419154
640,0.5,576.634358,146.73553800000002,0.74553105279932
640,1.0,492.97263799999996,125.56158,0.7452970604831013
640,1.5,443.15632200000005,111.31722199999999,0.7488082275400778
640,2.0,403.77984,102.62811199999999,0.7458315105578327
640,2.5,347.81519799999995,89.85705,0.7416528935000706
640,3.0,286.851756,75.79031,0.7357857903439154
640,3.5,245.11945,64.01063400000001,0.7388594254760281
640,4.0,227.46559,59.674362,0.7376554317512376
640,4.5,214.21691600000003,56.012624,0.7385238054682852
640,5.0,209.743922,54.520176,0.7400631423302937
640,5.5,210.051678,54.69897,0.7395927967783242
640,6.0,209.979292,55.67862,0.7348375667444388
640,6.5,208.82893199999998,55.275204,0.7353086879743272
640,7.0,206.96297199999998,54.891816,0.734774701631169
640,7.5,197.94408199999998,53.206362,0.7312050885158566
640,8.0,195.20699,52.974442,0.7286242567440847
640,8.5,180.40496399999998,49.23689400000001,0.7270757250338189
640,9.0,177.183122,48.708614000000004,0.7250945042045257
640,9.5,175.204506,48.543085999999995,0.7229347172155494
640,10.0,171.93593399999997,48.07338,0.7203994599523331
