channel,group,scheme,targetFer,awgnLeftEsN0,awgnRightEsN0,awgnLeftFer,awgnRightFer,channelLeftEsN0,channelRightEsN0,channelLeftFer,channelRightFer,awgnInterpolatedEsN0,channelInterpolatedEsN0,channelLossDb,coveredByData,reasonIfUnavailable
CFO_30_DEG,RATE_NEAR_1_2,CC_R12_BLOCK_FLOAT,0.1,-1.0,-0.5,0.17641743844590016,0.06298238255033557,-0.5,0.0,0.17793401838831802,0.06624,-0.7244252720960742,-0.2084171057518418,0.5160081663442324,True,
CFO_30_DEG,RATE_NEAR_1_2,CC_R12_BLOCK_FLOAT,0.01,0.0,0.5,0.01926,0.00502,0.5,1.0,0.02164,0.00636,0.24373236760663416,0.8152098229411406,0.5714774553345064,True,
CFO_30_DEG,RATE_NEAR_1_2,LDPC_BG2_N640_NMS,0.1,-1.5,-1.0,0.235,0.0451773209848656,-1.0,-0.5,0.17699115044247787,0.02704164413196322,-1.2409277278773017,-0.848053718208971,0.39287400966833064,True,
CFO_30_DEG,RATE_NEAR_1_2,LDPC_BG2_N640_NMS,0.01,-1.0,-0.5,0.0451773209848656,0.0041946308724832215,-0.5,0.0,0.02704164413196322,0.00238,-0.6827632641260875,-0.29533346844478003,0.3874297956813074,True,
CFO_30_DEG,RATE_NEAR_2_3,CC_R23_BLOCK_FLOAT,0.1,0.5,1.0,0.246,0.08254230293025175,1.0,1.5,0.254,0.08912655971479501,0.9121540109667321,1.4450418469054809,0.5328878359387488,True,
CFO_30_DEG,RATE_NEAR_2_3,CC_R23_BLOCK_FLOAT,0.01,1.5,2.0,0.02670583522499666,0.006741042839327244,2.0,2.5,0.029612081729345572,0.00908388972157878,1.8567662599206183,2.4593449106747647,0.6025786507541464,True,
CFO_30_DEG,RATE_NEAR_2_3,LDPC_BG2_N480_NMS,0.1,4.5,5.0,0.12816,0.06208,5.0,5.5,0.11426,0.0539,4.671143945624201,5.088711694701115,0.4175677490769143,True,
CFO_30_DEG,RATE_NEAR_2_3,LDPC_BG2_N480_NMS,0.01,6.0,6.5,0.01064,0.00338,6.0,6.5,0.02318,0.00918,6.027048473340943,6.453815534985607,0.4267670616446635,True,
FIXED_MULTIPATH_REAL_MMSE,RATE_NEAR_1_2,CC_R12_BLOCK_FLOAT,0.1,-1.0,-0.5,0.17641743844590016,0.06298238255033557,1.5,2.0,0.12452,0.07176,-0.7244252720960742,1.6989480954215581,2.423373367517632,True,
FIXED_MULTIPATH_REAL_MMSE,RATE_NEAR_1_2,CC_R12_BLOCK_FLOAT,0.01,0.0,0.5,0.01926,0.00502,3.5,4.0,0.01476,0.00874,0.24373236760663416,3.871496019599974,3.62776365199334,True,
FIXED_MULTIPATH_REAL_MMSE,RATE_NEAR_1_2,LDPC_BG2_N640_NMS,0.1,-1.5,-1.0,0.235,0.0451773209848656,0.0,0.5,0.208,0.05820721769499418,-1.2409277278773017,0.2875348956716598,1.5284626235489616,True,
FIXED_MULTIPATH_REAL_MMSE,RATE_NEAR_1_2,LDPC_BG2_N640_NMS,0.01,-1.0,-0.5,0.0451773209848656,0.0041946308724832215,1.0,1.5,0.011442956860052637,0.00208,-0.6827632641260875,1.039527510400254,1.7222907745263414,True,
