channel,group,scheme,meanAvgDecodeTimeUs,meanP95DecodeTimeUs,meanAvgTotalReceiverAlgorithmTimeUs,meanP95TotalReceiverAlgorithmTimeUs
AWGN,RATE_NEAR_1_2,CC_R12_BLOCK_FLOAT,323.19084169850504,448.5451612903225,366.3522042460043,507.10000000000014
AWGN,RATE_NEAR_1_2,LDPC_BG2_N640_NMS,364.7323182108504,569.958064516129,408.03050705795096,629.4
AWGN,RATE_NEAR_2_3,CC_R23_BLOCK_FLOAT,307.74541368523774,419.11290322580635,339.1142489227363,460.49677419354833
AWGN,RATE_NEAR_2_3,LDPC_BG2_N480_NMS,113.37670862496834,232.29354838709673,144.8520078649945,274.7322580645161
CFO_30_DEG,RATE_NEAR_1_2,CC_R12_BLOCK_FLOAT,317.52132335846943,441.8548387096774,364.4291099744517,505.1258064516129
CFO_30_DEG,RATE_NEAR_1_2,LDPC_BG2_N640_NMS,417.07498709978375,633.6999999999999,464.4576436790105,698.0580645161289
CFO_30_DEG,RATE_NEAR_2_3,CC_R23_BLOCK_FLOAT,313.72871310253817,434.8774193548386,349.1850805348591,483.0161290322581
CFO_30_DEG,RATE_NEAR_2_3,LDPC_BG2_N480_NMS,122.11106036384363,253.61612903225813,157.66105255474716,301.98709677419345
FIXED_MULTIPATH_REAL_MMSE,RATE_NEAR_1_2,CC_R12_BLOCK_FLOAT,327.09377601198236,461.1645161290322,676.2010152756803,990.0129032258068
FIXED_MULTIPATH_REAL_MMSE,RATE_NEAR_1_2,LDPC_BG2_N640_NMS,496.86715055889016,782.5838709677421,904.6480649141855,1380.5838709677416
FIXED_MULTIPATH_REAL_MMSE,RATE_NEAR_2_3,CC_R23_BLOCK_FLOAT,317.12034259747975,441.05483870967737,496.2534915220271,713.7322580645161
FIXED_MULTIPATH_REAL_MMSE,RATE_NEAR_2_3,LDPC_BG2_N480_NMS,148.7861080168049,317.2,348.48338497574906,597.2838709677418
KNOWN_BLOCKAGE_5_PERCENT,RATE_NEAR_1_2,CC_R12_BLOCK_FLOAT,313.5560594399175,436.11290322580646,356.0077275803331,491.72258064516126
KNOWN_BLOCKAGE_5_PERCENT,RATE_NEAR_1_2,LDPC_BG2_N640_NMS,382.0812551209191,592.9322580645161,424.86579472497283,648.6322580645159
KNOWN_BLOCKAGE_5_PERCENT,RATE_NEAR_2_3,CC_R23_BLOCK_FLOAT,313.343982970602,434.29999999999995,345.89554088079825,477.46451612903235
KNOWN_BLOCKAGE_5_PERCENT,RATE_NEAR_2_3,LDPC_BG2_N480_NMS,123.95970089062511,274.02258064516127,156.70317745418046,320.81612903225806
LINEAR_TIME_VARYING_FREQUENCY,RATE_NEAR_1_2,CC_R12_BLOCK_FLOAT,332.09735731553997,466.21935483870965,381.3247843759582,534.0645161290323
LINEAR_TIME_VARYING_FREQUENCY,RATE_NEAR_1_2,LDPC_BG2_N640_NMS,435.2718235619156,681.4064516129033,484.98476489454816,748.7419354838711
LINEAR_TIME_VARYING_FREQUENCY,RATE_NEAR_2_3,CC_R23_BLOCK_FLOAT,341.459094141009,483.0677419354838,380.350877943252,539.5741935483869
LINEAR_TIME_VARYING_FREQUENCY,RATE_NEAR_2_3,LDPC_BG2_N480_NMS,148.98091133296725,298.9806451612904,188.01011653087974,351.74838709677414
UNKNOWN_BURST_5_PERCENT_ISR_10DB,RATE_NEAR_1_2,CC_R12_BLOCK_FLOAT,323.5871764953592,449.51290322580644,407.16734610306537,558.7032258064517
UNKNOWN_BURST_5_PERCENT_ISR_10DB,RATE_NEAR_1_2,LDPC_BG2_N640_NMS,596.1014220605236,1407.8806451612902,681.4220077305306,1497.2774193548387
UNKNOWN_BURST_5_PERCENT_ISR_10DB,RATE_NEAR_2_3,CC_R23_BLOCK_FLOAT,318.7928516129033,442.2225806451612,382.0024064516129,528.3516129032257
UNKNOWN_BURST_5_PERCENT_ISR_10DB,RATE_NEAR_2_3,LDPC_BG2_N480_NMS,208.96608387096776,422.0419354838709,273.0525548387097,503.9870967741935
