方案,payload,组织方式,母码,子块数,filler,shortening,编码长度,发送长度,实际码率,纠错能力,译码方式,正式状态
BCH-S200,200,分组,BCH(15|11|1),19,9,0,285,285,0.7017543859649123,t=1/子块,syndrome查表,正式主方案
BCH-B200,200,整块缩短,BCH(255|207|6),1,0,7,248,248,0.8064516129032258,t=6,Berlekamp-Massey+Chien,正式主方案
BCH-S300,300,分组,BCH(15|11|1),28,8,0,420,420,0.7142857142857143,t=1/子块,syndrome查表,正式主方案
BCH-B300,300,整块缩短,BCH(511|421|10),1,0,121,390,390,0.7692307692307693,t=10,Berlekamp-Massey+Chien,正式主基线
BCH-B300-426,300,整块缩短,BCH(511|385|14),1,0,85,426,426,0.7042253521126760,t=14,Berlekamp-Massey+Chien,正式增强候选
