caseId,algorithm,alpha,snrPoints,sumFER,sumBER,meanIterations,meanDecodeTimeUs
LDPC_BG2_K300_N480,DIRECT_LAYERED_NMS,0.65000000000000002,3,1.0843410852713178,0.007100645994832041,12.189198966408268,87.64401291989664
LDPC_BG2_K300_N480,DIRECT_LAYERED_NMS,0.75,3,0.981860465116279,0.0064490956072351426,9.00890180878553,62.39742635658913
LDPC_BG2_K300_N480,DIRECT_LAYERED_NMS,0.84999999999999998,3,0.8646511627906976,0.005870671834625324,5.9167054263565895,41.61821059431526
LDPC_BG2_K300_N480,DIRECT_LAYERED_NMS,0.94999999999999996,3,0.7993798449612403,0.005886434108527131,2.9637726098191215,22.265551679586565
LDPC_BG2_K300_N480,DIRECT_LAYERED_SPA_BP,0,3,0.7927131782945736,0.005791989664082687,2.9948837209302326,99.68733074935403
LDPC_BG2_K300_N560,DIRECT_LAYERED_NMS,0.65000000000000002,3,1.2983333333333333,0.009061111111111112,15.897777777777776,136.85572222222228
LDPC_BG2_K300_N560,DIRECT_LAYERED_NMS,0.75,3,1.17,0.008227777777777777,12.482222222222221,104.92744444444445
LDPC_BG2_K300_N560,DIRECT_LAYERED_NMS,0.84999999999999998,3,1.0683333333333334,0.0077666666666666665,8.127777777777778,69.0955
LDPC_BG2_K300_N560,DIRECT_LAYERED_NMS,0.94999999999999996,3,1.0050000000000001,0.007833333333333333,3.6105555555555555,33.324444444444445
LDPC_BG2_K300_N560,DIRECT_LAYERED_SPA_BP,0,3,0.9933333333333334,0.00758888888888889,4.08,156.82999999999998
LDPC_BG2_K300_N640,DIRECT_LAYERED_NMS,0.65000000000000002,3,1.3674396135265703,0.09045241545893719,19.36317230273752,602.9159114331723
LDPC_BG2_K300_N640,DIRECT_LAYERED_NMS,0.75,3,0.9943478260869565,0.07547584541062802,15.990458937198069,518.3183534621577
LDPC_BG2_K300_N640,DIRECT_LAYERED_NMS,0.84999999999999998,3,0.9438647342995169,0.08328357487922704,15.738913043478261,515.6384541062799
LDPC_BG2_K300_N640,DIRECT_LAYERED_NMS,0.94999999999999996,3,1.1133333333333333,0.11504847020933978,17.644677938808375,577.0502866344609
LDPC_BG2_K300_N640,DIRECT_LAYERED_SPA_BP,0,3,0.8049033816425121,0.0586378421900161,13.995362318840579,1756.3350080515302
