targetPointIndex,metric,algorithm,targetErrorRate,commonValidRangeMax,commonValidRangeMin,targetPointGenerationMethod
0,FER,BP,1.0,1.0,0.00012,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
1,FER,BP,0.6864873706728227,1.0,0.00012,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
2,FER,BP,0.4712649100932855,1.0,0.00012,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
3,FER,BP,0.3235174090203038,1.0,0.00012,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
4,FER,BP,0.22209061548523248,1.0,0.00012,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
5,FER,BP,0.15246240267556616,1.0,0.00012,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
6,FER,BP,0.10466351393921054,1.0,0.00012,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
7,FER,BP,0.07185018048950696,1.0,0.00012,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
8,FER,BP,0.04932424148660939,1.0,0.00012,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
9,FER,BP,0.03386046884857384,1.0,0.00012,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
10,FER,BP,0.02324478422960648,1.0,0.00012,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
11,FER,BP,0.01595725080763965,1.0,0.00012,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
12,FER,BP,0.01095445115010332,1.0,0.00012,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
13,FER,BP,0.007520092367198304,1.0,0.00012,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
14,FER,BP,0.005162448436374727,1.0,0.00012,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
15,FER,BP,0.003543955653320912,1.0,0.00012,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
16,FER,BP,0.0024328807982293586,1.0,0.00012,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
17,FER,BP,0.0016701419423368706,1.0,0.00012,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
18,FER,BP,0.0011465313506452395,1.0,0.00012,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
19,FER,BP,0.0007870792922984107,1.0,0.00012,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
20,FER,BP,0.0005403199938809621,1.0,0.00012,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
21,FER,BP,0.0003709228519212974,1.0,0.00012,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
22,FER,BP,0.0002546338533379162,1.0,0.00012,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
23,FER,BP,0.00017480292446223528,1.0,0.00012,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
24,FER,BP,0.00011999999999999995,1.0,0.00012,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
