targetPointIndex,metric,algorithm,targetErrorRate,commonValidRangeMax,commonValidRangeMin,targetPointGenerationMethod
0,BER,NMS,0.22006666666666666,0.22006666666666666,1e-06,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
1,BER,NMS,0.13180984142665422,0.22006666666666666,1e-06,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
2,BER,NMS,0.07894805042526387,0.22006666666666666,1e-06,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
3,BER,NMS,0.047286261772936364,0.22006666666666666,1e-06,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
4,BER,NMS,0.0283223023293699,0.22006666666666666,1e-06,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
5,BER,NMS,0.016963760279636506,0.22006666666666666,1e-06,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
6,BER,NMS,0.010160514476485891,0.22006666666666666,1e-06,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
7,BER,NMS,0.006085682226410927,0.22006666666666666,1e-06,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
8,BER,NMS,0.003645044573930167,0.22006666666666666,1e-06,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
9,BER,NMS,0.002183214543848023,0.22006666666666666,1e-06,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
10,BER,NMS,0.0013076453930247203,0.22006666666666666,1e-06,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
11,BER,NMS,0.0007832196238876845,0.22006666666666666,1e-06,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
12,BER,NMS,0.0004691126375047531,0.22006666666666666,1e-06,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
13,BER,NMS,0.00028097695710727543,0.22006666666666666,1e-06,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
14,BER,NMS,0.00016829231215171388,0.22006666666666666,1e-06,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
15,BER,NMS,0.00010079937736159818,0.22006666666666666,1e-06,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
16,BER,NMS,6.037420454076528e-05,0.22006666666666666,1e-06,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
17,BER,NMS,3.6161379855098454e-05,0.22006666666666666,1e-06,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
18,BER,NMS,2.165900822994338e-05,0.22006666666666666,1e-06,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
19,BER,NMS,1.2972752682130106e-05,0.22006666666666666,1e-06,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
20,BER,NMS,7.770083946828721e-06,0.22006666666666666,1e-06,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
21,BER,NMS,4.6539239604814486e-06,0.22006666666666666,1e-06,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
22,BER,NMS,2.787487030791125e-06,0.22006666666666666,1e-06,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
23,BER,NMS,1.6695769017302316e-06,0.22006666666666666,1e-06,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
24,BER,NMS,9.99999999999998e-07,0.22006666666666666,1e-06,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
