metric,algorithm,targetPointIndex,targetErrorRate,actualLength,actualRate,leftEbN0Db,leftErrorRate,rightEbN0Db,rightErrorRate,interpolationFraction,estimatedRequiredEbN0Db,leftFrames,rightFrames,leftErrors,rightErrors,interpolationValid,confidenceLevel,invalidReason,commonValidRangeMax,commonValidRangeMin,targetPointGenerationMethod
BER,BP,0,0.2034433333333333,480,0.625,-2.958800173440752,0.21126666666666666,-2.458800173440752,0.19722666666666666,0.5487134660797384,-2.684443440400883,1000,1000,63380,59168,true,HIGH,,0.20344333333333334,2.266666666666667e-06,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
BER,BP,0,0.2034433333333333,560,0.5357142857142857,-2.28933227713462,0.21184,-1.78933227713462,0.19755333333333333,0.5792353627245151,-1.9997145957723625,1000,1000,63552,59266,true,HIGH,,0.20344333333333334,2.266666666666667e-06,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
BER,BP,0,0.2034433333333333,640,0.46875,-1.7094128073577526,0.20344333333333334,-1.2094128073577526,0.18643,-0.0,-1.7094128073577526,1000,1000,61033,55929,true,LOW,,0.20344333333333334,2.266666666666667e-06,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
BER,BP,1,0.1264928966052788,480,0.625,-0.4588001734407521,0.13722666666666666,0.04119982655924792,0.12126,0.658446588017558,-0.1295768794319731,1000,1000,41168,36378,true,HIGH,,0.20344333333333334,2.266666666666667e-06,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
BER,BP,1,0.1264928966052788,560,0.5357142857142857,0.21066772286537994,0.13723666666666667,0.7106677228653799,0.12122333333333334,0.6570422241120502,0.539188834921405,1000,1000,41171,36367,true,HIGH,,0.20344333333333334,2.266666666666667e-06,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
BER,BP,1,0.1264928966052788,640,0.46875,-0.20941280735775258,0.14634666666666668,0.2905871926422474,0.12124666666666667,0.7748666200229821,0.17802050265373848,1000,1000,43904,36374,true,HIGH,,0.20344333333333334,2.266666666666667e-06,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
BER,BP,2,0.0786482045365315,480,0.625,1.041199826559248,0.0889,1.541199826559248,0.07317333333333334,0.6293746552835752,1.3558871542010356,1000,1000,26670,21952,true,HIGH,,0.20344333333333334,2.266666666666667e-06,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
BER,BP,2,0.0786482045365315,560,0.5357142857142857,1.71066772286538,0.08903666666666667,2.21066772286538,0.07369666666666666,0.6561056101539061,2.038720527942333,1000,1000,26711,22109,true,HIGH,,0.20344333333333334,2.266666666666667e-06,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
BER,BP,2,0.0786482045365315,640,0.46875,0.7905871926422474,0.08710666666666667,1.2905871926422474,0.04579333333333333,0.15886381120114104,0.870019098242818,1000,1000,26132,13738,true,HIGH,,0.20344333333333334,2.266666666666667e-06,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
BER,BP,3,0.048900295928253394,480,0.625,2.041199826559248,0.05827333333333334,2.541199826559248,0.04454333333333333,0.6526714850823433,2.3675355691004194,1000,1000,17482,13363,true,HIGH,,0.20344333333333334,2.266666666666667e-06,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
BER,BP,3,0.048900295928253394,560,0.5357142857142857,2.71066772286538,0.058276666666666664,3.21066772286538,0.04473,0.6630635098220387,3.0421994777763994,1000,1000,17483,13419,true,HIGH,,0.20344333333333334,2.266666666666667e-06,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
BER,BP,3,0.048900295928253394,640,0.46875,0.7905871926422474,0.08710666666666667,1.2905871926422474,0.04579333333333333,0.8979075449490379,1.2395409651167664,1000,1000,26132,13738,true,HIGH,,0.20344333333333334,2.266666666666667e-06,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
BER,BP,4,0.0304042407066018,480,0.625,3.041199826559248,0.032736666666666664,3.541199826559248,0.022776666666666667,0.20375409434537786,3.143076873731937,1000,1000,9821,6833,true,HIGH,,0.20344333333333334,2.266666666666667e-06,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
BER,BP,4,0.0304042407066018,560,0.5357142857142857,3.71066772286538,0.032716666666666665,4.21066772286538,0.022433333333333333,0.1942629474884013,3.8077991966095808,1000,1000,9815,6730,true,HIGH,,0.20344333333333334,2.266666666666667e-06,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
BER,BP,4,0.0304042407066018,640,0.46875,1.2905871926422474,0.04579333333333333,1.7905871926422474,0.0137,0.33939001978001426,1.4602822025322546,1000,1000,13738,4110,true,HIGH,,0.20344333333333334,2.266666666666667e-06,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
