metric,algorithm,targetPointIndex,targetErrorRate,referenceLength,candidateLength,referenceRequiredEbN0Db,candidateRequiredEbN0Db,relativeCodingGainDb,gainDirection,confidenceLevel,interpretation
BER,NMS,9,0.002183214543848023,480,560,5.723078157354637,6.3515020160104045,-0.6284238586557676,REFERENCE_MINUS_CANDIDATE_EBN0,HIGH,CURRENT_RESOLUTION_NO_CLEAR_CANDIDATE_ADVANTAGE
BER,NMS,9,0.002183214543848023,480,640,5.723078157354637,2.310429720763094,3.412648436591543,REFERENCE_MINUS_CANDIDATE_EBN0,MEDIUM,POSITIVE_CANDIDATE_REQUIRES_LOWER_EBN0
BER,NMS,9,0.002183214543848023,560,640,6.3515020160104045,2.310429720763094,4.041072295247311,REFERENCE_MINUS_CANDIDATE_EBN0,MEDIUM,POSITIVE_CANDIDATE_REQUIRES_LOWER_EBN0
BER,NMS,10,0.0013076453930247203,480,560,6.107636875261738,6.710143831296693,-0.6025069560349552,REFERENCE_MINUS_CANDIDATE_EBN0,LOW,CURRENT_RESOLUTION_NO_CLEAR_CANDIDATE_ADVANTAGE
BER,NMS,10,0.0013076453930247203,480,640,6.107636875261738,2.408829066611798,3.69880780864994,REFERENCE_MINUS_CANDIDATE_EBN0,HIGH,POSITIVE_CANDIDATE_REQUIRES_LOWER_EBN0
BER,NMS,10,0.0013076453930247203,560,640,6.710143831296693,2.408829066611798,4.301314764684895,REFERENCE_MINUS_CANDIDATE_EBN0,LOW,POSITIVE_CANDIDATE_REQUIRES_LOWER_EBN0
BER,NMS,11,0.0007832196238876845,480,560,6.469534398309488,7.011372086978783,-0.541837688669295,REFERENCE_MINUS_CANDIDATE_EBN0,HIGH,CURRENT_RESOLUTION_NO_CLEAR_CANDIDATE_ADVANTAGE
BER,NMS,11,0.0007832196238876845,480,640,6.469534398309488,2.5072284124605027,3.9623059858489853,REFERENCE_MINUS_CANDIDATE_EBN0,HIGH,POSITIVE_CANDIDATE_REQUIRES_LOWER_EBN0
BER,NMS,11,0.0007832196238876845,560,640,7.011372086978783,2.5072284124605027,4.50414367451828,REFERENCE_MINUS_CANDIDATE_EBN0,HIGH,POSITIVE_CANDIDATE_REQUIRES_LOWER_EBN0
BER,NMS,12,0.0004691126375047531,480,560,6.778689409188636,7.321032067495704,-0.5423426583070681,REFERENCE_MINUS_CANDIDATE_EBN0,HIGH,CURRENT_RESOLUTION_NO_CLEAR_CANDIDATE_ADVANTAGE
BER,NMS,12,0.0004691126375047531,480,640,6.778689409188636,2.605627758309207,4.173061650879429,REFERENCE_MINUS_CANDIDATE_EBN0,HIGH,POSITIVE_CANDIDATE_REQUIRES_LOWER_EBN0
BER,NMS,12,0.0004691126375047531,560,640,7.321032067495704,2.605627758309207,4.715404309186496,REFERENCE_MINUS_CANDIDATE_EBN0,HIGH,POSITIVE_CANDIDATE_REQUIRES_LOWER_EBN0
BER,NMS,13,0.00028097695710727543,480,560,7.072764836385257,7.647355452323037,-0.5745906159377796,REFERENCE_MINUS_CANDIDATE_EBN0,MEDIUM,CURRENT_RESOLUTION_NO_CLEAR_CANDIDATE_ADVANTAGE
BER,NMS,13,0.00028097695710727543,480,640,7.072764836385257,2.704027104157911,4.368737732227347,REFERENCE_MINUS_CANDIDATE_EBN0,MEDIUM,POSITIVE_CANDIDATE_REQUIRES_LOWER_EBN0
BER,NMS,13,0.00028097695710727543,560,640,7.647355452323037,2.704027104157911,4.943328348165126,REFERENCE_MINUS_CANDIDATE_EBN0,HIGH,POSITIVE_CANDIDATE_REQUIRES_LOWER_EBN0
BER,NMS,14,0.00016829231215171388,480,560,7.350785970560762,7.891289979505055,-0.5405040089442936,REFERENCE_MINUS_CANDIDATE_EBN0,HIGH,CURRENT_RESOLUTION_NO_CLEAR_CANDIDATE_ADVANTAGE
BER,NMS,14,0.00016829231215171388,480,640,7.350785970560762,2.8026650393683323,4.548120931192429,REFERENCE_MINUS_CANDIDATE_EBN0,MEDIUM,POSITIVE_CANDIDATE_REQUIRES_LOWER_EBN0
BER,NMS,14,0.00016829231215171388,560,640,7.891289979505055,2.8026650393683323,5.088624940136723,REFERENCE_MINUS_CANDIDATE_EBN0,MEDIUM,POSITIVE_CANDIDATE_REQUIRES_LOWER_EBN0
BER,NMS,15,0.00010079937736159818,480,560,7.621236139632229,8.115391787225407,-0.4941556475931783,REFERENCE_MINUS_CANDIDATE_EBN0,HIGH,CURRENT_RESOLUTION_NO_CLEAR_CANDIDATE_ADVANTAGE
