targetPointIndex,metric,algorithm,targetErrorRate,commonValidRangeMax,commonValidRangeMin,targetPointGenerationMethod
0,FER,NMS,1.0,1.0,6e-05,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
1,FER,NMS,0.6669444078072024,1.0,6e-05,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
2,FER,NMS,0.4448148431053,1.0,6e-05,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
3,FER,NMS,0.296666772118718,1.0,6e-05,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
4,FER,NMS,0.19786024464679264,1.0,6e-05,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
5,FER,NMS,0.13196178369454334,1.0,6e-05,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
6,FER,NMS,0.08801117367933935,1.0,6e-05,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
7,FER,NMS,0.05869856010998384,1.0,6e-05,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
8,FER,NMS,0.039148676411688635,1.0,6e-05,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
9,FER,NMS,0.02610999080582948,1.0,6e-05,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
10,FER,NMS,0.017413912355845447,1.0,6e-05,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
11,FER,NMS,0.011614111463775863,1.0,6e-05,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
12,FER,NMS,0.0077459666924148355,1.0,6e-05,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
13,FER,NMS,0.005166129168566925,1.0,6e-05,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
14,FER,NMS,0.003445520958985386,1.0,6e-05,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
15,FER,NMS,0.0022979709355778117,1.0,6e-05,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
16,FER,NMS,0.0015326188647871062,1.0,6e-05,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
17,FER,NMS,0.0010221715811695841,1.0,6e-05,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
18,FER,NMS,0.0006817316198804999,1.0,6e-05,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
19,FER,NMS,0.0004546770915046447,1.0,6e-05,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
20,FER,NMS,0.00030324434353706667,1.0,6e-05,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
21,FER,NMS,0.00020224711912121275,1.0,6e-05,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
22,FER,NMS,0.00013488758509300991,1.0,6e-05,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
23,FER,NMS,8.99625205604011e-05,1.0,6e-05,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
24,FER,NMS,6.000000000000003e-05,1.0,6e-05,LOGSPACE_WITHIN_COMMON_VALID_NONZERO_INTERPOLATION_RANGE
