plotId,caseId,configurationId,legendLabel,xRaw,xDisplay,derivedEbN0Db,actualRate,yRaw,yPlot,yIsZero,framesProcessed,payloadBitsProcessed,plotSurrogateUsed
stage16_burst_interleaving_comparison_k200_s15_ber_vs_snr,K200_S15,NONE_L0,无突发,13.5,13.5,15.03814864344529,0.70175438596491224,0,4.9999999999999998e-08,true,50000,10000000,true
stage16_burst_interleaving_comparison_k200_s15_ber_vs_snr,K200_S15,NONE_L0,无突发,14,14,15.53814864344529,0.70175438596491224,0,4.9999999999999998e-08,true,50000,10000000,true
stage16_burst_interleaving_comparison_k200_s15_ber_vs_snr,K200_S15,NONE_L0,无突发,14.5,14.5,16.03814864344529,0.70175438596491224,0,4.9999999999999998e-08,true,50000,10000000,true
stage16_burst_interleaving_comparison_k200_s15_ber_vs_snr,K200_S15,NONE_L0,无突发,15,15,16.53814864344529,0.70175438596491224,0,4.9999999999999998e-08,true,50000,10000000,true
stage16_burst_interleaving_comparison_k200_s15_ber_vs_snr,K200_S15,NONE_L0,无突发,15.5,15.5,17.03814864344529,0.70175438596491224,0,4.9999999999999998e-08,true,50000,10000000,true
stage16_burst_interleaving_comparison_k200_s15_ber_vs_snr,K200_S15,NONE_L0,无突发,16,16,17.53814864344529,0.70175438596491224,0,4.9999999999999998e-08,true,50000,10000000,true
stage16_burst_interleaving_comparison_k200_s15_ber_vs_snr,K200_S15,NONE_L0,无突发,16.5,16.5,18.03814864344529,0.70175438596491224,0,4.9999999999999998e-08,true,50000,10000000,true
stage16_burst_interleaving_comparison_k200_s15_ber_vs_snr,K200_S15,NONE_L0,无突发,17,17,18.53814864344529,0.70175438596491224,0,4.9999999999999998e-08,true,50000,10000000,true
stage16_burst_interleaving_comparison_k200_s15_ber_vs_snr,K200_S15,NONE_L0,无突发,17.5,17.5,19.03814864344529,0.70175438596491224,0,4.9999999999999998e-08,true,50000,10000000,true
stage16_burst_interleaving_comparison_k200_s15_ber_vs_snr,K200_S15,NONE_L0,无突发,18,18,19.53814864344529,0.70175438596491224,0,4.9999999999999998e-08,true,50000,10000000,true
stage16_burst_interleaving_comparison_k200_s15_ber_vs_snr,K200_S15,NONE_LREP,无交织突发,0,0,1.5381486434452905,0.70175438596491224,0.110995,0.110995,false,1000,200000,false
stage16_burst_interleaving_comparison_k200_s15_ber_vs_snr,K200_S15,NONE_LREP,无交织突发,0.5,0.5,2.0381486434452905,0.70175438596491224,0.095835000000000004,0.095835000000000004,false,1000,200000,false
stage16_burst_interleaving_comparison_k200_s15_ber_vs_snr,K200_S15,NONE_LREP,无交织突发,1,1,2.5381486434452905,0.70175438596491224,0.082475000000000007,0.082475000000000007,false,1000,200000,false
stage16_burst_interleaving_comparison_k200_s15_ber_vs_snr,K200_S15,NONE_LREP,无交织突发,1.5,1.5,3.0381486434452905,0.70175438596491224,0.072535000000000002,0.072535000000000002,false,1000,200000,false
