plotId,caseId,configurationId,legendLabel,xRaw,xDisplay,derivedEbN0Db,actualRate,yRaw,yPlot,yIsZero,framesProcessed,payloadBitsProcessed,plotSurrogateUsed
stage16_burst_interleaving_comparison_k200_m255k207_ber_vs_snr,K200_M255K207,NONE_L0,无突发,0,0,0.93421685162235091,0.80645161290322576,0.078475000000000003,0.078475000000000003,false,1000,200000,false
stage16_burst_interleaving_comparison_k200_m255k207_ber_vs_snr,K200_M255K207,NONE_L0,无突发,0.5,0.5,1.434216851622351,0.80645161290322576,0.067589999999999997,0.067589999999999997,false,1000,200000,false
stage16_burst_interleaving_comparison_k200_m255k207_ber_vs_snr,K200_M255K207,NONE_L0,无突发,1,1,1.934216851622351,0.80645161290322576,0.055504999999999999,0.055504999999999999,false,1000,200000,false
stage16_burst_interleaving_comparison_k200_m255k207_ber_vs_snr,K200_M255K207,NONE_L0,无突发,1.5,1.5,2.434216851622351,0.80645161290322576,0.04546,0.04546,false,1000,200000,false
stage16_burst_interleaving_comparison_k200_m255k207_ber_vs_snr,K200_M255K207,NONE_L0,无突发,2,2,2.934216851622351,0.80645161290322576,0.032870000000000003,0.032870000000000003,false,1000,200000,false
stage16_burst_interleaving_comparison_k200_m255k207_ber_vs_snr,K200_M255K207,NONE_L0,无突发,2.5,2.5,3.434216851622351,0.80645161290322576,0.022370000000000001,0.022370000000000001,false,1000,200000,false
stage16_burst_interleaving_comparison_k200_m255k207_ber_vs_snr,K200_M255K207,NONE_L0,无突发,3,3,3.934216851622351,0.80645161290322576,0.011135000000000001,0.011135000000000001,false,1000,200000,false
stage16_burst_interleaving_comparison_k200_m255k207_ber_vs_snr,K200_M255K207,NONE_L0,无突发,3.5,3.5,4.4342168516223506,0.80645161290322576,0.0043267259056732742,0.0043267259056732742,false,1463,292600,false
stage16_burst_interleaving_comparison_k200_m255k207_ber_vs_snr,K200_M255K207,NONE_L0,无突发,4,4,4.9342168516223506,0.80645161290322576,0.0010595850328072353,0.0010595850328072353,false,5639,1127800,false
stage16_burst_interleaving_comparison_k200_m255k207_ber_vs_snr,K200_M255K207,NONE_L0,无突发,4.5,4.5,5.4342168516223506,0.80645161290322576,0.00020115724982981619,0.00020115724982981619,false,29380,5876000,false
