caseId,algorithm,decoder,payloadBits,actualLength,actualRate,Zc,fillerBits,parityLength,rankHp,rateMatching,rateRecover,interleaving,maxIterations,earlyStopPolicy,alpha,esN0Db,ebN0Db,frames,bitErrors,frameErrors,BER,FER,avgIterations,medianIterations,p95Iterations,maxIterationsUsed,earlyStopRate,maxIterationRate,correctValid,wrongValid,correctInvalid,wrongInvalid,avgDecodeTimeUs,medianDecodeTimeUs,p95DecodeTimeUs,maxDecodeTimeUs,edgeMessageUpdates,checkNodeUpdates,variableNodeUpdates,tanhCount,atanhCount,atanhClampCount,absCount,comparisonCount,min1Min2Count,signCount,alphaScaleCount,decoderMemoryBytes,payloadHash,codewordHash,llrHash,configHash,sourceRunId,sourceFile,sourceSha256
LDPC_BG2_K300_N560,BP,DIRECT_LAYERED_SPA_BP,300,560,0.5357142857142857,56,148,112,112,false,false,false,32,SYNDROME_AFTER_FULL_ITERATION,0.0,-5.0,-2.28933227713462,1000,63552,1000,0.21184,1.0,32.0,32.0,32.0,32,0.0,1.0,0,0,0,1000,2171.8693,2039.6,3695.219999999999,17262.7,25088000,3584000,25088000,50176000,25088000,0,0,0,0,0,0,11312,14894215742951263112,9310751698180970364,9976599957625462209,7c571bfd784eb622ed7b51fbd286473bdf226b970668e6c605e5c4ebd0e1547e,140001,Task/LDPC/block/stages/stage23_s4_final_reintegration/results/s4_revised_formal_point_results.csv,6c72c89fbac5e846fc7a68483dc18fa5e2238cd9740e48b2d29163ea0c6e5e3e
LDPC_BG2_K300_N560,NMS,DIRECT_LAYERED_NMS,300,560,0.5357142857142857,56,148,112,112,false,false,false,32,SYNDROME_AFTER_FULL_ITERATION,0.95,-5.0,-2.28933227713462,1000,66438,1000,0.22146,1.0,28.464,32.0,32.0,32,0.123,0.877,0,123,0,877,468.75640000000004,488.3,854.2049999999998,9468.0,22315776,3187968,22315776,0,0,0,22315776,44631552,13327038,22315776,22315776,11312,14894215742951263112,9310751698180970364,9976599957625462209,7c571bfd784eb622ed7b51fbd286473bdf226b970668e6c605e5c4ebd0e1547e,140001,Task/LDPC/block/stages/stage23_s4_final_reintegration/results/s4_revised_formal_point_results.csv,6c72c89fbac5e846fc7a68483dc18fa5e2238cd9740e48b2d29163ea0c6e5e3e
LDPC_BG2_K300_N560,BP,DIRECT_LAYERED_SPA_BP,300,560,0.5357142857142857,56,148,112,112,false,false,false,32,SYNDROME_AFTER_FULL_ITERATION,0.0,-4.5,-1.78933227713462,1000,59266,1000,0.19755333333333333,1.0,32.0,32.0,32.0,32,0.0,1.0,0,0,0,1000,2315.7922999999996,2132.6,3596.2049999999995,27179.9,25088000,3584000,25088000,50176000,25088000,0,0,0,0,0,0,11312,14894215742951263112,9310751698180970364,9593830165433146620,7c571bfd784eb622ed7b51fbd286473bdf226b970668e6c605e5c4ebd0e1547e,140001,Task/LDPC/block/stages/stage23_s4_final_reintegration/results/s4_revised_formal_point_results.csv,6c72c89fbac5e846fc7a68483dc18fa5e2238cd9740e48b2d29163ea0c6e5e3e
LDPC_BG2_K300_N560,NMS,DIRECT_LAYERED_NMS,300,560,0.5357142857142857,56,148,112,112,false,false,false,32,SYNDROME_AFTER_FULL_ITERATION,0.95,-4.5,-1.78933227713462,1000,62131,1000,0.20710333333333333,1.0,28.114,32.0,32.0,32,0.135,0.865,0,135,0,865,492.7996,510.6,873.725,8418.4,22041376,3148768,22041376,0,0,0,22041376,44082752,13176657,22041376,22041376,11312,14894215742951263112,9310751698180970364,9593830165433146620,7c571bfd784eb622ed7b51fbd286473bdf226b970668e6c605e5c4ebd0e1547e,140001,Task/LDPC/block/stages/stage23_s4_final_reintegration/results/s4_revised_formal_point_results.csv,6c72c89fbac5e846fc7a68483dc18fa5e2238cd9740e48b2d29163ea0c6e5e3e
LDPC_BG2_K300_N560,BP,DIRECT_LAYERED_SPA_BP,300,560,0.5357142857142857,56,148,112,112,false,false,false,32,SYNDROME_AFTER_FULL_ITERATION,0.0,-4.0,-1.28933227713462,1000,54970,1000,0.18323333333333333,1.0,32.0,32.0,32.0,32,0.0,1.0,0,0,0,1000,2362.5528,2185.8500000000004,3727.315,34024.9,25088000,3584000,25088000,50176000,25088000,0,0,0,0,0,0,11312,14894215742951263112,9310751698180970364,17286745870199084197,7c571bfd784eb622ed7b51fbd286473bdf226b970668e6c605e5c4ebd0e1547e,140001,Task/LDPC/block/stages/stage23_s4_final_reintegration/results/s4_revised_formal_point_results.csv,6c72c89fbac5e846fc7a68483dc18fa5e2238cd9740e48b2d29163ea0c6e5e3e
LDPC_BG2_K300_N560,NMS,DIRECT_LAYERED_NMS,300,560,0.5357142857142857,56,148,112,112,false,false,false,32,SYNDROME_AFTER_FULL_ITERATION,0.95,-4.0,-1.28933227713462,1000,57563,1000,0.19187666666666667,1.0,28.19,32.0,32.0,32,0.132,0.868,0,132,0,868,493.0763,508.85,908.0399999999996,6807.3,22100960,3157280,22100960,0,0,0,22100960,44201920,13221693,22100960,22100960,11312,14894215742951263112,9310751698180970364,17286745870199084197,7c571bfd784eb622ed7b51fbd286473bdf226b970668e6c605e5c4ebd0e1547e,140001,Task/LDPC/block/stages/stage23_s4_final_reintegration/results/s4_revised_formal_point_results.csv,6c72c89fbac5e846fc7a68483dc18fa5e2238cd9740e48b2d29163ea0c6e5e3e
LDPC_BG2_K300_N560,BP,DIRECT_LAYERED_SPA_BP,300,560,0.5357142857142857,56,148,112,112,false,false,false,32,SYNDROME_AFTER_FULL_ITERATION,0.0,-3.5,-0.7893322771346201,1000,50434,1000,0.16811333333333334,1.0,32.0,32.0,32.0,32,0.0,1.0,0,0,0,1000,2070.4678,2117.15,3174.139999999999,6284.0,25088000,3584000,25088000,50176000,25088000,0,0,0,0,0,0,11312,14894215742951263112,9310751698180970364,4395511174343942536,7c571bfd784eb622ed7b51fbd286473bdf226b970668e6c605e5c4ebd0e1547e,140001,Task/LDPC/block/stages/stage23_s4_final_reintegration/results/s4_revised_formal_point_results.csv,6c72c89fbac5e846fc7a68483dc18fa5e2238cd9740e48b2d29163ea0c6e5e3e
LDPC_BG2_K300_N560,NMS,DIRECT_LAYERED_NMS,300,560,0.5357142857142857,56,148,112,112,false,false,false,32,SYNDROME_AFTER_FULL_ITERATION,0.95,-3.5,-0.7893322771346201,1000,52921,1000,0.17640333333333333,1.0,28.469,32.0,32.0,32,0.123,0.877,0,123,0,877,434.4758,485.1,672.4249999999998,4297.1,22319696,3188528,22319696,0,0,0,22319696,44639392,13353624,22319696,22319696,11312,14894215742951263112,9310751698180970364,4395511174343942536,7c571bfd784eb622ed7b51fbd286473bdf226b970668e6c605e5c4ebd0e1547e,140001,Task/LDPC/block/stages/stage23_s4_final_reintegration/results/s4_revised_formal_point_results.csv,6c72c89fbac5e846fc7a68483dc18fa5e2238cd9740e48b2d29163ea0c6e5e3e
LDPC_BG2_K300_N560,BP,DIRECT_LAYERED_SPA_BP,300,560,0.5357142857142857,56,148,112,112,false,false,false,32,SYNDROME_AFTER_FULL_ITERATION,0.0,-3.0,-0.28933227713462006,1000,45849,1000,0.15283,1.0,32.0,32.0,32.0,32,0.0,1.0,0,0,0,1000,2202.1946000000003,2165.9,3509.845,8181.5,25088000,3584000,25088000,50176000,25088000,0,0,0,0,0,0,11312,14894215742951263112,9310751698180970364,8286502632057559239,7c571bfd784eb622ed7b51fbd286473bdf226b970668e6c605e5c4ebd0e1547e,140001,Task/LDPC/block/stages/stage23_s4_final_reintegration/results/s4_revised_formal_point_results.csv,6c72c89fbac5e846fc7a68483dc18fa5e2238cd9740e48b2d29163ea0c6e5e3e
LDPC_BG2_K300_N560,NMS,DIRECT_LAYERED_NMS,300,560,0.5357142857142857,56,148,112,112,false,false,false,32,SYNDROME_AFTER_FULL_ITERATION,0.95,-3.0,-0.28933227713462006,1000,48020,1000,0.16006666666666666,1.0,28.165,32.0,32.0,32,0.133,0.867,0,133,0,867,448.1708,492.5,730.665,4685.5,22081360,3154480,22081360,0,0,0,22081360,44162720,13219920,22081360,22081360,11312,14894215742951263112,9310751698180970364,8286502632057559239,7c571bfd784eb622ed7b51fbd286473bdf226b970668e6c605e5c4ebd0e1547e,140001,Task/LDPC/block/stages/stage23_s4_final_reintegration/results/s4_revised_formal_point_results.csv,6c72c89fbac5e846fc7a68483dc18fa5e2238cd9740e48b2d29163ea0c6e5e3e
