scheme,configuration,payloadBits,encodedBits,actualRate,decoder,interleaver,selectedEsN0Db,noBurstFerAtSelectedSnr,noBurstBerAtSelectedSnr,burst2FerAtSelectedSnr,burst5FerAtSelectedSnr,burst10FerAtSelectedSnr,decodeTimeMeanNs,interleaverBufferBits,comparisonRole,notes
CC,CC_NO_BURST_AWGN,300,612,0.49019607843137253,TERMINATED_FLOAT_SOFT_VITERBI,NONE,0.5,0.0048944032498837581,7.2926608423267997e-05,N/A,N/A,N/A,423737.96343880479,0,NO_BURST_AWGN_REFERENCE,CC no-burst reference
LDPC,LDPC_BG2_K300_N640_DIRECT_LAYERED_NMS_A0P80,300,640,0.46875,DIRECT_LAYERED_NMS_ALPHA_0P80_MAXITER32,NONE,0.5,6e-05,1e-06,N/A,N/A,N/A,146735.53800000003,0,NO_INTERLEAVING_NEAR_RATE_REFERENCE,AWGN only; no inference about burst tolerance; excluded from interleaver ranking
CC,CC_NONE,300,612,0.49019607843137253,TERMINATED_FLOAT_SOFT_VITERBI,NONE,0.5,N/A,N/A,1,1,1,297964.23333333334,0,BASELINE,CC burst configuration; ranking remains CC-only
CC,CC_PSEUDO_128_RECOMMENDED,300,612,0.49019607843137253,TERMINATED_FLOAT_SOFT_VITERBI,PSEUDORANDOM,0.5,N/A,N/A,0.85316666666666663,1,1,299150.06666666665,256,RECOMMENDED_ENGINEERING_CONFIGURATION,CC burst configuration; ranking remains CC-only
CC,CC_SHORT_D8_RECOMMENDED,300,612,0.49019607843137253,TERMINATED_FLOAT_SOFT_VITERBI,SHORT_DEPTH_BLOCK,0.5,N/A,N/A,0.95616666666666672,1,1,305479.66666666669,128,RECOMMENDED_ENGINEERING_CONFIGURATION,CC burst configuration; ranking remains CC-only
CC,CC_SHORT_D16_CONTROL_128,300,612,0.49019607843137253,TERMINATED_FLOAT_SOFT_VITERBI,SHORT_DEPTH_BLOCK,0.5,N/A,N/A,0.96833333333333327,1,1,302850.03333333333,256,CONTROLLED_EQUAL_SPAN_128,CC burst configuration; ranking remains CC-only
