scheme,configurationId,comparisonRole,channelCondition,interleaver,payloadBits,encodedBits,actualRate,baseGraph,liftingSize,algorithm,alpha,maxIterations,EsN0Db,frames,bitErrors,frameErrors,BER,FER,avgDecodeTimeUs,medianDecodeTimeUs,p95DecodeTimeUs,maxDecodeTimeUs,avgIterations,edgeCount,avgEdgeMessageUpdates,avgTheoreticalOperationCount,decoderMemoryBytes,sourceCsvAbsolutePath,sourceRowNumber,sourceConfigurationId,sourceStage,sourceSha256,interpolated,synthetic
LDPC,LDPC_BG2_K300_N640_DIRECT_LAYERED_NMS_A0P80,NO_INTERLEAVING_NEAR_RATE_REFERENCE,NO_BURST_AWGN,NONE,300,640,0.46875,2,40,DIRECT_LAYERED_NMS,0.8,32,0.0,50000,209,23,1.3933333333333333e-05,0.00046,178.72070399999998,163.1,298.4049999999995,4971.9,3.40752,2240,7632.8448,50598.15468,23680,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design_LDPC\Task\LDPC\block\stages\stage23_s4_final_reintegration\results\s4_revised_formal_point_results.csv,146,LDPC_BG2_K300_N640,stage23_s4_final_reintegration,6c72c89fbac5e846fc7a68483dc18fa5e2238cd9740e48b2d29163ea0c6e5e3e,false,false
LDPC,LDPC_BG2_K300_N640_DIRECT_LAYERED_NMS_A0P80,NO_INTERLEAVING_NEAR_RATE_REFERENCE,NO_BURST_AWGN,NONE,300,640,0.46875,2,40,DIRECT_LAYERED_NMS,0.8,32,0.5,50000,15,3,1e-06,6e-05,146.73553800000002,136.4,233.7,3920.5,2.7858,2240,6240.192,41373.5473,23680,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design_LDPC\Task\LDPC\block\stages\stage23_s4_final_reintegration\results\s4_revised_formal_point_results.csv,148,LDPC_BG2_K300_N640,stage23_s4_final_reintegration,6c72c89fbac5e846fc7a68483dc18fa5e2238cd9740e48b2d29163ea0c6e5e3e,false,false
LDPC,LDPC_BG2_K300_N640_DIRECT_LAYERED_NMS_A0P80,NO_INTERLEAVING_NEAR_RATE_REFERENCE,NO_BURST_AWGN,NONE,300,640,0.46875,2,40,DIRECT_LAYERED_NMS,0.8,32,1.0,50000,0,0,0.0,0.0,125.56158,111.5,195.2,3400.7,2.35694,2240,5279.5456,35011.96034,23680,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design_LDPC\Task\LDPC\block\stages\stage23_s4_final_reintegration\results\s4_revised_formal_point_results.csv,150,LDPC_BG2_K300_N640,stage23_s4_final_reintegration,6c72c89fbac5e846fc7a68483dc18fa5e2238cd9740e48b2d29163ea0c6e5e3e,false,false
LDPC,LDPC_BG2_K300_N640_DIRECT_LAYERED_NMS_A0P80,NO_INTERLEAVING_NEAR_RATE_REFERENCE,NO_BURST_AWGN,NONE,300,640,0.46875,2,40,DIRECT_LAYERED_NMS,0.8,32,1.5,50000,0,0,0.0,0.0,111.31722199999999,108.3,168.30499999999958,4040.6,2.09274,2240,4687.7376,31096.688,23680,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design_LDPC\Task\LDPC\block\stages\stage23_s4_final_reintegration\results\s4_revised_formal_point_results.csv,152,LDPC_BG2_K300_N640,stage23_s4_final_reintegration,6c72c89fbac5e846fc7a68483dc18fa5e2238cd9740e48b2d29163ea0c6e5e3e,false,false
LDPC,LDPC_BG2_K300_N640_DIRECT_LAYERED_NMS_A0P80,NO_INTERLEAVING_NEAR_RATE_REFERENCE,NO_BURST_AWGN,NONE,300,640,0.46875,2,40,DIRECT_LAYERED_NMS,0.8,32,2.0,50000,0,0,0.0,0.0,102.62811199999999,106.1,153.4,11624.0,1.89284,2240,4239.9616,28134.9561,23680,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design_LDPC\Task\LDPC\block\stages\stage23_s4_final_reintegration\results\s4_revised_formal_point_results.csv,154,LDPC_BG2_K300_N640,stage23_s4_final_reintegration,6c72c89fbac5e846fc7a68483dc18fa5e2238cd9740e48b2d29163ea0c6e5e3e,false,false
LDPC,LDPC_BG2_K300_N640_DIRECT_LAYERED_NMS_A0P80,NO_INTERLEAVING_NEAR_RATE_REFERENCE,NO_BURST_AWGN,NONE,300,640,0.46875,2,40,DIRECT_LAYERED_NMS,0.8,32,2.5,50000,0,0,0.0,0.0,89.85705,77.8,134.6,9701.3,1.63738,2240,3667.7312,24343.619,23680,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design_LDPC\Task\LDPC\block\stages\stage23_s4_final_reintegration\results\s4_revised_formal_point_results.csv,156,LDPC_BG2_K300_N640,stage23_s4_final_reintegration,6c72c89fbac5e846fc7a68483dc18fa5e2238cd9740e48b2d29163ea0c6e5e3e,false,false
LDPC,LDPC_BG2_K300_N640_DIRECT_LAYERED_NMS_A0P80,NO_INTERLEAVING_NEAR_RATE_REFERENCE,NO_BURST_AWGN,NONE,300,640,0.46875,2,40,DIRECT_LAYERED_NMS,0.8,32,3.0,50000,0,0,0.0,0.0,75.79031,59.6,126.0,5929.8,1.3592,2240,3044.608,20212.69012,23680,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design_LDPC\Task\LDPC\block\stages\stage23_s4_final_reintegration\results\s4_revised_formal_point_results.csv,158,LDPC_BG2_K300_N640,stage23_s4_final_reintegration,6c72c89fbac5e846fc7a68483dc18fa5e2238cd9740e48b2d29163ea0c6e5e3e,false,false
LDPC,LDPC_BG2_K300_N640_DIRECT_LAYERED_NMS_A0P80,NO_INTERLEAVING_NEAR_RATE_REFERENCE,NO_BURST_AWGN,NONE,300,640,0.46875,2,40,DIRECT_LAYERED_NMS,0.8,32,3.5,50000,0,0,0.0,0.0,64.01063400000001,56.8,111.8,3372.2,1.15952,2240,2597.3248,17249.45608,23680,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design_LDPC\Task\LDPC\block\stages\stage23_s4_final_reintegration\results\s4_revised_formal_point_results.csv,160,LDPC_BG2_K300_N640,stage23_s4_final_reintegration,6c72c89fbac5e846fc7a68483dc18fa5e2238cd9740e48b2d29163ea0c6e5e3e,false,false
LDPC,LDPC_BG2_K300_N640_DIRECT_LAYERED_NMS_A0P80,NO_INTERLEAVING_NEAR_RATE_REFERENCE,NO_BURST_AWGN,NONE,300,640,0.46875,2,40,DIRECT_LAYERED_NMS,0.8,32,4.0,50000,0,0,0.0,0.0,59.674362,55.7,104.7,3341.4,1.05736,2240,2368.4864,15737.2111,23680,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design_LDPC\Task\LDPC\block\stages\stage23_s4_final_reintegration\results\s4_revised_formal_point_results.csv,162,LDPC_BG2_K300_N640,stage23_s4_final_reintegration,6c72c89fbac5e846fc7a68483dc18fa5e2238cd9740e48b2d29163ea0c6e5e3e,false,false
LDPC,LDPC_BG2_K300_N640_DIRECT_LAYERED_NMS_A0P80,NO_INTERLEAVING_NEAR_RATE_REFERENCE,NO_BURST_AWGN,NONE,300,640,0.46875,2,40,DIRECT_LAYERED_NMS,0.8,32,4.5,50000,0,0,0.0,0.0,56.012624,55.0,79.5,6246.6,1.01698,2240,2278.0352,15143.7436,23680,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design_LDPC\Task\LDPC\block\stages\stage23_s4_final_reintegration\results\s4_revised_formal_point_results.csv,164,LDPC_BG2_K300_N640,stage23_s4_final_reintegration,6c72c89fbac5e846fc7a68483dc18fa5e2238cd9740e48b2d29163ea0c6e5e3e,false,false
