step,sourceBranch,mergeCommit,sourceAttestation,integrationCanonicalCheck,originalBranchLocalChecker,decision
1,origin/stage07-bch-s2-awgn-dense-formal,eb695b86f122566b367bde320d460688ae4d8775,PASS,PASS,NOT_APPLICABLE_IN_INTEGRATION_CONTEXT,CONTINUE
2,origin/stage07-08-bch-s2-multipath,7ffff868de786a1fca2bcad1530c9431b2b6eb87,TRACKED_SOURCE_BRANCH_MERGED,PASS_STAGE08_COMMON_SNR_RESULTS_CHECK;PASS_STAGE08_COMMON_SNR_PLOT_CHECK;PASS_STAGE08_MULTIPATH_COMMON_SNR_COMPARISON,PASS,CONTINUE
3,origin/stage09-12-bch-s2-cfo-blockage,f2263c06ac5a663d3b46efb0ea8f46b446b07b67,TRACKED_SOURCE_BRANCH_MERGED,PASS_STAGE09_CFO_VALIDATION;PASS_STAGE10_CFO_FORMAL;PASS_STAGE11_BLOCKAGE_VALIDATION;PASS_STAGE12_BLOCKAGE_FORMAL;PASS_STAGE12_BLOCKAGE_FORMAL_EXPERIMENT_C_FIXED_LENGTH,PASS,CONTINUE
4,origin/stage10-12-bch-s2-dense-snr-rerun,b0fce2e163b8ce4964d4e8c1e411130a2c45f9ca,TRACKED_SOURCE_BRANCH_MERGED,PASS_STAGE10_CFO_FORMAL;PASS_STAGE12_BLOCKAGE_FORMAL_DENSE_SNR,PASS,CONTINUE
