organization,rateCase,snrDb,esN0Db,ebN0Db,actualRate,sigmaSquared,slotBits,slotCount,frames,bitErrors,frameErrors,BER,FER,berCiLow,berCiHigh,ferCiLow,ferCiHigh,boundaryBER,nonBoundaryBER,boundaryToNonBoundaryRatio,firstOutputDelaySymbols,avgDecisionDelaySymbols,medianDecisionDelaySymbols,p95DecisionDelaySymbols,maxDecisionDelaySymbols,fullFrameLastDecisionSymbol,steadyOutputIntervalMean,steadyOutputIntervalP95,outputBatchCount,slotTriggerCount,windowTriggerCount,peakRxBufferSymbols,avgRxBufferSymbols,avgDecodeTimeUs,medianDecodeTimeUs,p95DecodeTimeUs,maxDecodeTimeUs,timingBatchCount,normalizedGoodput,transmittedBits,totalMemoryBytes,ACSCount,tracebackOperations,schemeExecutionDigest,payloadSeed,noiseSeed,frameIndex,caseId,sourceNoiseId,boundaryStatus,gridLayer,stopReason
A_BLOCK_300,R12,-5.0,-5.0,-1.9036983257410125,0.4901960784313725,1.5811388300841895,300,1,1000,117052,1000,0.3901733333333333,1.0,0.3884292518143857,0.3919202274470488,0.9961732415144448,1.0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,610,311.0,310,580,610,611,0.0,0,1,1,0,612,612.0,436.7818,431.1,617.9,1791.1,5,0.0,612,59776,39168000,306000,9450510713562636091,2026072001,2026072904,0-999,CC-O-R12-A_BLOCK_300,STAGE14-1200,NOT_APPLICABLE,coarse,TARGET_ERRORS_REACHED
B_CONT_50x6,R12,-5.0,-5.0,-1.9036983257410125,0.4901960784313725,1.5811388300841895,50,6,1000,117398,1000,0.3913266666666666,1.0,0.3895816463022762,0.3930744700896531,0.9961732415144448,1.0,0.41615999999999997,0.37891000000000002,1.0983083054023381,298,231.0,264,342,360,611,104.0,112,9,4,9,362,277.0,1534.6474999999982,1535.6,2052.5,9674.3,5,0.0,612,26112,143998000,866000,5485007781413027035,2026072001,2026072904,0-999,CC-O-R12-B_CONT_50x6,STAGE14-1200,APPLICABLE,coarse,TARGET_ERRORS_REACHED
C_CONT_100x3,R12,-5.0,-5.0,-1.9036983257410125,0.4901960784313725,1.5811388300841895,100,3,1000,117398,1000,0.3913266666666666,1.0,0.3895816463022762,0.3930744700896531,0.9961732415144448,1.0,0.4204,0.38685384615384616,1.0867153168558987,398,258.0,280,430,460,611,212.0,212,9,2,9,462,354.0,1522.5475000000004,1519.1,2094.1,12597.2,5,0.0,612,26112,143998000,866000,4706013249362863171,2026072001,2026072904,0-999,CC-O-R12-C_CONT_100x3,STAGE14-1200,APPLICABLE,coarse,TARGET_ERRORS_REACHED
D_CONT_150x2,R12,-5.0,-5.0,-1.9036983257410125,0.4901960784313725,1.5811388300841895,150,2,1000,117398,1000,0.3913266666666666,1.0,0.3895816463022762,0.3930744700896531,0.9961732415144448,1.0,0.41615000000000002,0.38955357142857144,1.0682741233096493,298,285.0,280,530,560,611,312.0,312,9,2,9,562,431.0,1521.4218999999991,1515.8,2101.4,7363.399999999999,5,0.0,612,26112,143998000,866000,152492224671326351,2026072001,2026072904,0-999,CC-O-R12-D_CONT_150x2,STAGE14-1200,APPLICABLE,coarse,TARGET_ERRORS_REACHED
A_BLOCK_300,R12,-4.5,-4.5,-1.4036983257410125,0.4901960784313725,1.4091914656322269,300,1,1000,104079,1000,0.34693,1.0,0.3452286811179388,0.3486352389125436,0.9961732415144448,1.0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,610,311.0,310,580,610,611,0.0,0,1,1,0,612,612.0,443.90790000000015,436.7,605.4,2718.6,5,0.0,612,59776,39168000,306000,9450510713562636091,2026072001,2026072904,0-999,CC-O-R12-A_BLOCK_300,STAGE14-1200,NOT_APPLICABLE,coarse,TARGET_ERRORS_REACHED
B_CONT_50x6,R12,-4.5,-4.5,-1.4036983257410125,0.4901960784313725,1.4091914656322269,50,6,1000,104058,1000,0.34686,1.0,0.3451587625847058,0.3485651592384344,0.9961732415144448,1.0,0.36925000000000002,0.33566499999999999,1.1000551144742527,298,231.0,264,342,360,611,104.0,112,9,4,9,362,277.0,1551.163600000002,1530.8,2124.1,13174.4,5,0.0,612,26112,143998000,866000,5485007781413027035,2026072001,2026072904,0-999,CC-O-R12-B_CONT_50x6,STAGE14-1200,APPLICABLE,coarse,TARGET_ERRORS_REACHED
C_CONT_100x3,R12,-4.5,-4.5,-1.4036983257410125,0.4901960784313725,1.4091914656322269,100,3,1000,104058,1000,0.34686,1.0,0.3451587625847058,0.3485651592384344,0.9961732415144448,1.0,0.37240000000000001,0.34293076923076921,1.0859334694152218,398,258.0,280,430,460,611,212.0,212,9,2,9,462,354.0,1513.9255999999998,1524.6,2113.3,3758.9,5,0.0,612,26112,143998000,866000,4706013249362863171,2026072001,2026072904,0-999,CC-O-R12-C_CONT_100x3,STAGE14-1200,APPLICABLE,coarse,TARGET_ERRORS_REACHED
D_CONT_150x2,R12,-4.5,-4.5,-1.4036983257410125,0.4901960784313725,1.4091914656322269,150,2,1000,104058,1000,0.34686,1.0,0.3451587625847058,0.3485651592384344,0.9961732415144448,1.0,0.37080000000000002,0.34515000000000001,1.0743155149934811,298,285.0,280,530,560,611,312.0,312,9,2,9,562,431.0,1503.116300000002,1516.7,2072.4,3407.1,5,0.0,612,26112,143998000,866000,152492224671326351,2026072001,2026072904,0-999,CC-O-R12-D_CONT_150x2,STAGE14-1200,APPLICABLE,coarse,TARGET_ERRORS_REACHED
A_BLOCK_300,R12,-4.0,-4.0,-0.9036983257410122,0.4901960784313725,1.2559432157547905,300,1,1000,86580,1000,0.2886,1.0,0.2869813061162624,0.2902241077103788,0.9961732415144448,1.0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,610,311.0,310,580,610,611,0.0,0,1,1,0,612,612.0,446.9946000000002,434.7,659.5,3312.1,5,0.0,612,59776,39168000,306000,9450510713562636091,2026072001,2026072904,0-999,CC-O-R12-A_BLOCK_300,STAGE14-1200,NOT_APPLICABLE,coarse,TARGET_ERRORS_REACHED
B_CONT_50x6,R12,-4.0,-4.0,-0.9036983257410122,0.4901960784313725,1.2559432157547905,50,6,1000,86494,1000,0.2883133333333333,1.0,0.2866951220966754,0.2899369657379931,0.9961732415144448,1.0,0.30737999999999999,0.27877999999999997,1.1025898558002727,298,231.0,264,342,360,611,104.0,112,9,4,9,362,277.0,1544.9835000000005,1540.1,2178.5,4620.2,5,0.0,612,26112,143998000,866000,5485007781413027035,2026072001,2026072904,0-999,CC-O-R12-B_CONT_50x6,STAGE14-1200,APPLICABLE,coarse,TARGET_ERRORS_REACHED
