scheme,rank,method,parameter,fairnessGroupId,spanBits,bufferBits,meanFer,overallMeanFer,worstPositionFer,worstPosition,bufferFraction,deinterleaveTimeMeanNs,decodeTimeMeanNs,score,paretoOptimal
BCH,1,BCH_CODEBLOCK,19,FULL_FRAME_285,285,285,0.42833333333333323,0.6188888888888886,0.45,TAIL,1.0,230.11111111111111,6697.277777777777,0.17791560227942615,True
BCH,2,ROW_COLUMN,15,FULL_FRAME_285,285,285,0.3941666666666666,0.5961111111111111,0.44000000000000006,MIDDLE,1.0,276.6111111111111,7200.777777777777,0.2549749163879598,True
BCH,3,ROW_COLUMN,19,FULL_FRAME_285,285,285,0.42833333333333323,0.6188888888888886,0.45,TAIL,1.0,296.55555555555554,7238.111111111111,0.3279156022794262,False
BCH,4,ROW_COLUMN,8,FULL_FRAME_285,285,285,0.6891666666666666,0.7927777777777777,0.71,HEAD,1.0,277.3888888888889,6504.111111111111,0.5961466662635851,False
BCH,5,BCH_CODEBLOCK,8,LOCAL_SPAN_120,120,120,0.7391666666666666,0.826111111111111,1.0,TAIL,0.42105263157894735,245.5,6218.222222222223,0.625684116944752,True
BCH,6,BCH_CODEBLOCK,16,LOCAL_SPAN_240,240,240,0.5358333333333333,0.6905555555555555,1.0,TAIL,0.8421052631578947,282.27777777777777,6575.0,0.6376184236554823,True
BCH,7,NONE,0,IDENTITY,1,0,0.9291666666666667,0.9527777777777777,1.0,HEAD,0.0,252.22222222222223,5797.666666666667,0.7031488501331812,True
BCH,8,BCH_CODEBLOCK,4,LOCAL_SPAN_60,60,60,0.9983333333333334,0.9988888888888889,1.0,HEAD,0.21052631578947367,251.72222222222223,6326.166666666667,0.7792661601317358,True
BCH,9,GLOBAL_PSEUDORANDOM,285,FULL_FRAME_285,285,285,0.8008333333333334,0.8672222222222223,0.99,THREE_QUARTER,1.0,260.8888888888889,6560.333333333333,0.782625150251937,False
BCH,10,ROW_COLUMN,4,FULL_FRAME_285,285,285,1.0,1.0,1.0,HEAD,1.0,244.44444444444446,6171.777777777777,0.8823578595317726,False
CC,1,PSEUDORANDOM,128,TRELLIS_SPAN_128,256,256,0.556923076923077,0.84,0.8999999999999999,TAIL,0.41830065359477125,318.72222222222223,266870.72222222225,0.16302585874179853,True
CC,2,SHORT_DEPTH_BLOCK,8,TRELLIS_SPAN_64,128,128,0.7107692307692308,0.8955555555555554,0.9133333333333334,THREE_QUARTER,0.20915032679738563,327.1666666666667,267652.55555555556,0.27571443886959196,True
CC,3,PSEUDORANDOM,64,TRELLIS_SPAN_64,128,128,0.8784615384615383,0.9561111111111111,0.9933333333333333,THREE_QUARTER,0.20915032679738563,311.77777777777777,269838.1111111111,0.651067048329688,True
CC,4,NONE,0,IDENTITY,2,0,1.0,1.0,1.0,HEAD,0.0,307.5,275704.22222222225,0.7013315322269393,True
CC,5,SHORT_DEPTH_BLOCK,16,TRELLIS_SPAN_128,256,256,0.8215384615384616,0.9355555555555554,1.0,TAIL,0.41830065359477125,319.8333333333333,264080.77777777775,0.7030726017410694,False
CC,6,SHORT_DEPTH_BLOCK,4,TRELLIS_SPAN_32,64,64,0.9984615384615385,0.9994444444444446,1.0,HEAD,0.10457516339869281,306.22222222222223,270184.0,0.7361111111111112,True
CC,7,PSEUDORANDOM,32,TRELLIS_SPAN_32,64,64,0.9923076923076923,0.9972222222222222,1.0,HEAD,0.10457516339869281,450.1666666666667,266424.22222222225,0.8805555555555555,True
