messageIndex,errorPosition,receivedBits,syndromeBefore,syndromeAfter,lookupHit,correctedPosition,status,correctedCodeword,decodedMessage
1,10,000000000000011,0011,0000,true,10,CORRECTED_SINGLE_ERROR,000000000010011,00000000001
1,11,000000000011011,1000,0000,true,11,CORRECTED_SINGLE_ERROR,000000000010011,00000000001
1,12,000000000010111,0100,0000,true,12,CORRECTED_SINGLE_ERROR,000000000010011,00000000001
1,13,000000000010001,0010,0000,true,13,CORRECTED_SINGLE_ERROR,000000000010011,00000000001
1,14,000000000010010,0001,0000,true,14,CORRECTED_SINGLE_ERROR,000000000010011,00000000001
2,0,100000000100110,1001,0000,true,0,CORRECTED_SINGLE_ERROR,000000000100110,00000000010
2,1,010000000100110,1101,0000,true,1,CORRECTED_SINGLE_ERROR,000000000100110,00000000010
2,2,001000000100110,1111,0000,true,2,CORRECTED_SINGLE_ERROR,000000000100110,00000000010
2,3,000100000100110,1110,0000,true,3,CORRECTED_SINGLE_ERROR,000000000100110,00000000010
2,4,000010000100110,0111,0000,true,4,CORRECTED_SINGLE_ERROR,000000000100110,00000000010
2,5,000001000100110,1010,0000,true,5,CORRECTED_SINGLE_ERROR,000000000100110,00000000010
2,6,000000100100110,0101,0000,true,6,CORRECTED_SINGLE_ERROR,000000000100110,00000000010
2,7,000000010100110,1011,0000,true,7,CORRECTED_SINGLE_ERROR,000000000100110,00000000010
2,8,000000001100110,1100,0000,true,8,CORRECTED_SINGLE_ERROR,000000000100110,00000000010
2,9,000000000000110,0110,0000,true,9,CORRECTED_SINGLE_ERROR,000000000100110,00000000010
2,10,000000000110110,0011,0000,true,10,CORRECTED_SINGLE_ERROR,000000000100110,00000000010
2,11,000000000101110,1000,0000,true,11,CORRECTED_SINGLE_ERROR,000000000100110,00000000010
2,12,000000000100010,0100,0000,true,12,CORRECTED_SINGLE_ERROR,000000000100110,00000000010
2,13,000000000100100,0010,0000,true,13,CORRECTED_SINGLE_ERROR,000000000100110,00000000010
2,14,000000000100111,0001,0000,true,14,CORRECTED_SINGLE_ERROR,000000000100110,00000000010
3,0,100000000110101,1001,0000,true,0,CORRECTED_SINGLE_ERROR,000000000110101,00000000011
3,1,010000000110101,1101,0000,true,1,CORRECTED_SINGLE_ERROR,000000000110101,00000000011
3,2,001000000110101,1111,0000,true,2,CORRECTED_SINGLE_ERROR,000000000110101,00000000011
3,3,000100000110101,1110,0000,true,3,CORRECTED_SINGLE_ERROR,000000000110101,00000000011
3,4,000010000110101,0111,0000,true,4,CORRECTED_SINGLE_ERROR,000000000110101,00000000011
3,5,000001000110101,1010,0000,true,5,CORRECTED_SINGLE_ERROR,000000000110101,00000000011
3,6,000000100110101,0101,0000,true,6,CORRECTED_SINGLE_ERROR,000000000110101,00000000011
3,7,000000010110101,1011,0000,true,7,CORRECTED_SINGLE_ERROR,000000000110101,00000000011
