messageIndex,messageBits,receivedBits,syndromeBefore,syndromeAfter,lookupHit,correctedPosition,status,correctedCodeword,decodedMessage
0,00000000000,000000000000000,0000,0000,false,-1,NO_ERROR,000000000000000,00000000000
1,00000000001,000000000010011,0000,0000,false,-1,NO_ERROR,000000000010011,00000000001
2,00000000010,000000000100110,0000,0000,false,-1,NO_ERROR,000000000100110,00000000010
3,00000000011,000000000110101,0000,0000,false,-1,NO_ERROR,000000000110101,00000000011
4,00000000100,000000001001100,0000,0000,false,-1,NO_ERROR,000000001001100,00000000100
5,00000000101,000000001011111,0000,0000,false,-1,NO_ERROR,000000001011111,00000000101
6,00000000110,000000001101010,0000,0000,false,-1,NO_ERROR,000000001101010,00000000110
7,00000000111,000000001111001,0000,0000,false,-1,NO_ERROR,000000001111001,00000000111
8,00000001000,000000010001011,0000,0000,false,-1,NO_ERROR,000000010001011,00000001000
9,00000001001,000000010011000,0000,0000,false,-1,NO_ERROR,000000010011000,00000001001
10,00000001010,000000010101101,0000,0000,false,-1,NO_ERROR,000000010101101,00000001010
11,00000001011,000000010111110,0000,0000,false,-1,NO_ERROR,000000010111110,00000001011
12,00000001100,000000011000111,0000,0000,false,-1,NO_ERROR,000000011000111,00000001100
13,00000001101,000000011010100,0000,0000,false,-1,NO_ERROR,000000011010100,00000001101
14,00000001110,000000011100001,0000,0000,false,-1,NO_ERROR,000000011100001,00000001110
15,00000001111,000000011110010,0000,0000,false,-1,NO_ERROR,000000011110010,00000001111
16,00000010000,000000100000101,0000,0000,false,-1,NO_ERROR,000000100000101,00000010000
17,00000010001,000000100010110,0000,0000,false,-1,NO_ERROR,000000100010110,00000010001
18,00000010010,000000100100011,0000,0000,false,-1,NO_ERROR,000000100100011,00000010010
19,00000010011,000000100110000,0000,0000,false,-1,NO_ERROR,000000100110000,00000010011
20,00000010100,000000101001001,0000,0000,false,-1,NO_ERROR,000000101001001,00000010100
21,00000010101,000000101011010,0000,0000,false,-1,NO_ERROR,000000101011010,00000010101
22,00000010110,000000101101111,0000,0000,false,-1,NO_ERROR,000000101101111,00000010110
23,00000010111,000000101111100,0000,0000,false,-1,NO_ERROR,000000101111100,00000010111
24,00000011000,000000110001110,0000,0000,false,-1,NO_ERROR,000000110001110,00000011000
25,00000011001,000000110011101,0000,0000,false,-1,NO_ERROR,000000110011101,00000011001
26,00000011010,000000110101000,0000,0000,false,-1,NO_ERROR,000000110101000,00000011010
27,00000011011,000000110111011,0000,0000,false,-1,NO_ERROR,000000110111011,00000011011
28,00000011100,000000111000010,0000,0000,false,-1,NO_ERROR,000000111000010,00000011100
29,00000011101,000000111010001,0000,0000,false,-1,NO_ERROR,000000111010001,00000011101
30,00000011110,000000111100100,0000,0000,false,-1,NO_ERROR,000000111100100,00000011110
31,00000011111,000000111110111,0000,0000,false,-1,NO_ERROR,000000111110111,00000011111
32,00000100000,000001000001010,0000,0000,false,-1,NO_ERROR,000001000001010,00000100000
33,00000100001,000001000011001,0000,0000,false,-1,NO_ERROR,000001000011001,00000100001
34,00000100010,000001000101100,0000,0000,false,-1,NO_ERROR,000001000101100,00000100010
35,00000100011,000001000111111,0000,0000,false,-1,NO_ERROR,000001000111111,00000100011
36,00000100100,000001001000110,0000,0000,false,-1,NO_ERROR,000001001000110,00000100100
37,00000100101,000001001010101,0000,0000,false,-1,NO_ERROR,000001001010101,00000100101
38,00000100110,000001001100000,0000,0000,false,-1,NO_ERROR,000001001100000,00000100110
39,00000100111,000001001110011,0000,0000,false,-1,NO_ERROR,000001001110011,00000100111
40,00000101000,000001010000001,0000,0000,false,-1,NO_ERROR,000001010000001,00000101000
41,00000101001,000001010010010,0000,0000,false,-1,NO_ERROR,000001010010010,00000101001
42,00000101010,000001010100111,0000,0000,false,-1,NO_ERROR,000001010100111,00000101010
43,00000101011,000001010110100,0000,0000,false,-1,NO_ERROR,000001010110100,00000101011
44,00000101100,000001011001101,0000,0000,false,-1,NO_ERROR,000001011001101,00000101100
45,00000101101,000001011011110,0000,0000,false,-1,NO_ERROR,000001011011110,00000101101
46,00000101110,000001011101011,0000,0000,false,-1,NO_ERROR,000001011101011,00000101110
47,00000101111,000001011111000,0000,0000,false,-1,NO_ERROR,000001011111000,00000101111
48,00000110000,000001100001111,0000,0000,false,-1,NO_ERROR,000001100001111,00000110000
49,00000110001,000001100011100,0000,0000,false,-1,NO_ERROR,000001100011100,00000110001
50,00000110010,000001100101001,0000,0000,false,-1,NO_ERROR,000001100101001,00000110010
51,00000110011,000001100111010,0000,0000,false,-1,NO_ERROR,000001100111010,00000110011
52,00000110100,000001101000011,0000,0000,false,-1,NO_ERROR,000001101000011,00000110100
53,00000110101,000001101010000,0000,0000,false,-1,NO_ERROR,000001101010000,00000110101
54,00000110110,000001101100101,0000,0000,false,-1,NO_ERROR,000001101100101,00000110110
55,00000110111,000001101110110,0000,0000,false,-1,NO_ERROR,000001101110110,00000110111
