caseId,HRows,HColumns,HuColumns,HpRows,HpColumns,rankH,rankHp,status
LDPC_BG2_K300_N480,96,480,384,96,96,96,96,PASS
LDPC_BG2_K300_N560,112,560,448,112,112,112,112,PASS
LDPC_BG2_K300_N640,320,640,320,320,320,320,320,PASS
