caseId,payloadRange,fillerRange,parityRange,status
LDPC_BG2_K300_N480,0:299,300:383,384:479,PASS
LDPC_BG2_K300_N560,0:299,300:447,448:559,PASS
LDPC_BG2_K300_N640,0:299,300:319,320:639,PASS
