caseId,legendLabel,styleId,waveformSnrIndex,waveformSnrDb,actualRate,derivedEbn0Db,sigma2,rawY,plotY,isZeroObserved,plotSurrogateUsed,plotSurrogateFormula,plotRenderRule,stopReason,sourceCsv,sourceRowId
K200_S15,分块200,STYLE_1,0,0,0.70175438596491224,-1.4721513131945216,1,0.21326673326673326,0.21326673326673326,false,false,NONE,DRAW,TARGET_FRAME_ERRORS_REACHED,results/stage08_multipath_formal_common_snr_results.csv,K200_S15:0
K200_S15,分块200,STYLE_1,1,0.5,0.70175438596491224,-0.97215131319452164,0.89125093813374556,0.19997500000000001,0.19997500000000001,false,false,NONE,DRAW,TARGET_FRAME_ERRORS_REACHED,results/stage08_multipath_formal_common_snr_results.csv,K200_S15:1
K200_S15,分块200,STYLE_1,2,1,0.70175438596491224,-0.47215131319452164,0.79432823472428149,0.18620500000000001,0.18620500000000001,false,false,NONE,DRAW,TARGET_FRAME_ERRORS_REACHED,results/stage08_multipath_formal_common_snr_results.csv,K200_S15:2
K200_S15,分块200,STYLE_1,3,1.5,0.70175438596491224,0.027848686805478362,0.70794578438413791,0.17136000000000001,0.17136000000000001,false,false,NONE,DRAW,TARGET_FRAME_ERRORS_REACHED,results/stage08_multipath_formal_common_snr_results.csv,K200_S15:3
K200_S15,分块200,STYLE_1,4,2,0.70175438596491224,0.52784868680547836,0.63095734448019325,0.157085,0.157085,false,false,NONE,DRAW,TARGET_FRAME_ERRORS_REACHED,results/stage08_multipath_formal_common_snr_results.csv,K200_S15:4
K200_S15,分块200,STYLE_1,5,2.5,0.70175438596491224,1.0278486868054784,0.56234132519034907,0.14080500000000001,0.14080500000000001,false,false,NONE,DRAW,TARGET_FRAME_ERRORS_REACHED,results/stage08_multipath_formal_common_snr_results.csv,K200_S15:5
K200_S15,分块200,STYLE_1,6,3,0.70175438596491224,1.5278486868054784,0.50118723362727235,0.12626999999999999,0.12626999999999999,false,false,NONE,DRAW,TARGET_FRAME_ERRORS_REACHED,results/stage08_multipath_formal_common_snr_results.csv,K200_S15:6
K200_S15,分块200,STYLE_1,7,3.5,0.70175438596491224,2.0278486868054784,0.44668359215096315,0.113525,0.113525,false,false,NONE,DRAW,TARGET_FRAME_ERRORS_REACHED,results/stage08_multipath_formal_common_snr_results.csv,K200_S15:7
K200_S15,分块200,STYLE_1,8,4,0.70175438596491224,2.5278486868054784,0.39810717055349726,0.095469999999999999,0.095469999999999999,false,false,NONE,DRAW,TARGET_FRAME_ERRORS_REACHED,results/stage08_multipath_formal_common_snr_results.csv,K200_S15:8
K200_S15,分块200,STYLE_1,9,4.5,0.70175438596491224,3.0278486868054784,0.35481338923357547,0.082729999999999998,0.082729999999999998,false,false,NONE,DRAW,TARGET_FRAME_ERRORS_REACHED,results/stage08_multipath_formal_common_snr_results.csv,K200_S15:9
K200_S15,分块200,STYLE_1,10,5,0.70175438596491224,3.5278486868054784,0.31622776601683794,0.069419999999999996,0.069419999999999996,false,false,NONE,DRAW,TARGET_FRAME_ERRORS_REACHED,results/stage08_multipath_formal_common_snr_results.csv,K200_S15:10
K200_S15,分块200,STYLE_1,11,5.5,0.70175438596491224,4.0278486868054788,0.28183829312644537,0.058520000000000003,0.058520000000000003,false,false,NONE,DRAW,TARGET_FRAME_ERRORS_REACHED,results/stage08_multipath_formal_common_snr_results.csv,K200_S15:11
K200_S15,分块200,STYLE_1,12,6,0.70175438596491224,4.5278486868054788,0.25118864315095801,0.047980000000000002,0.047980000000000002,false,false,NONE,DRAW,TARGET_FRAME_ERRORS_REACHED,results/stage08_multipath_formal_common_snr_results.csv,K200_S15:12
