schemeId,rate,decisionMode,quantMode,quantBits,clipMax,tracebackMode,dtb,window,slide,organization,snrDb,frames,BER,FER,berCiLow,berCiHigh,ferCiLow,ferCiHigh,normalizedGoodput,firstOutputDelaySymbols,avgDecisionDelaySymbols,p95DecisionDelaySymbols,fullFrameLastDecisionSymbol,avgDecodeTimeUs,p95DecodeTimeUs,inputMemoryBytes,survivorMemoryBytes,pathMetricMemoryBytes,totalMemoryBytes,ACSCount,tracebackOperations,sourceStage,sourceCsv,sourceRowId,sourceHash
R23_CONTINUOUS_TRUNCATED_D112,R23,Soft Float,Float,Float,N/A,CONTINUOUS_TRUNCATED_D112,112,0,300,Continuous300,1.0,2149,0.003030867069955,0.0939972080037226,0.0028996142004077,0.0031680423067554,0.0823732000944493,0.1070701317169446,0.5921586875792662,166.0,138.58666666666667,167,458,373.0476966030709,467.7,N/A,21504,1536,23040.0,84172032,46934160,Stage13,stage13_sliding_window_viterbi/results/stage13_final_comparison.csv,STAGE13-REFERENCE-R23-1,a3a2d63dad2dfa997c1707510a3a7162dc03d0337e9a92e18e66b16ea2bf42c7
R23_CONTINUOUS_TRUNCATED_D84,R23,Soft Float,Float,Float,N/A,CONTINUOUS_TRUNCATED_D84,84,0,300,Continuous300,1.0,2149,0.0031409958120055,0.0981852024197301,0.0030073343837563,0.0032805782951067,0.0863120884816125,0.1114922863254231,0.5894214363269737,124.0,109.42,125,458,360.9483480688686,454.8,N/A,16128,1536,17664.0,84172032,40255068,Stage13,stage13_sliding_window_viterbi/results/stage13_final_comparison.csv,STAGE13-REFERENCE-R23-1,a3a2d63dad2dfa997c1707510a3a7162dc03d0337e9a92e18e66b16ea2bf42c7
R23_SLIDING_BALANCED,R23,Soft Float,Float,Float,N/A,SLIDING_BALANCED,98,128,25,Continuous300,1.0,2149,0.0030339692880409,0.0935318752908329,0.0029026479733975,0.0031712129329684,0.0819359948487754,0.1065783321853249,0.5924628266072987,183.0,137.66666666666666,181,458,1120.5875290832976,1409.6,N/A,24576,1536,26112.0,309451702,2342410,Stage13,stage13_sliding_window_viterbi/results/stage13_final_comparison.csv,CC-C-R23-S-W128-S25-D98,a3a2d63dad2dfa997c1707510a3a7162dc03d0337e9a92e18e66b16ea2bf42c7
R23_SLIDING_BALANCED_B_CONT_50x6,R23,Soft Float,Float,Float,N/A,True sliding-window,98,128,25,B_CONT_50x6,1.0,2268,0.0031407995296884,0.0890652557319223,0.0030106210335401,0.0032765884120279,0.0780268168947869,0.1014933944461942,0.5953821857961292,223.0,173.0,256,458,1943.480335097004,3254.8,N/A,N/A,N/A,26112.0,326587464,2472120,Stage14,stage14_block_continuous_comparison/results/stage14_online_slot_formal_results.csv,CC-O-R23-B_CONT_50x6,62cccc049bd05c8b7adc65465fa590b84e5e7f8784bfc6d404890243d3ce70e1
R23_SLIDING_LATENCY_FIRST,R23,Soft Float,Float,Float,N/A,SLIDING_LATENCY_FIRST,84,128,25,Continuous300,1.0,2149,0.0030805025593299,0.0944625407166123,0.0029481587716199,0.0032187681227882,0.0828104967143509,0.1075618398743364,0.5918545485512337,162.0,123.66666666666669,160,458,1142.2620288506291,1417.5,N/A,24576,1536,26112.0,309451702,2101722,Stage13,stage13_sliding_window_viterbi/results/stage13_final_comparison.csv,CC-C-R23-S-W128-S25-D84,a3a2d63dad2dfa997c1707510a3a7162dc03d0337e9a92e18e66b16ea2bf42c7
R23_SLIDING_PERFORMANCE_FIRST,R23,Soft Float,Float,Float,N/A,SLIDING_PERFORMANCE_FIRST,98,128,25,Continuous300,1.0,2149,0.0030339692880409,0.0935318752908329,0.0029026479733975,0.0031712129329684,0.0819359948487754,0.1065783321853249,0.5924628266072987,183.0,137.66666666666666,181,458,1120.5875290832976,1409.6,N/A,24576,1536,26112.0,309451702,2342410,Stage13,stage13_sliding_window_viterbi/results/stage13_final_comparison.csv,CC-C-R23-S-W128-S25-D98,a3a2d63dad2dfa997c1707510a3a7162dc03d0337e9a92e18e66b16ea2bf42c7
R34_BLOCK_FULL_TRACEBACK,R34,Soft Float,Float,Float,N/A,BLOCK_FULL_TRACEBACK,306,306,300,Block300,2.0,2793,0.0027783745076978,0.0716075904045828,0.0026679262675615,0.0028933818781413,0.0626222549916256,0.0817697188712676,0.6826414776436891,406.0,207.0,386,407,332.1439312567132,420.2,N/A,58752,1536,60288.0,109396224,854658,Stage13,stage13_sliding_window_viterbi/results/stage13_final_comparison.csv,STAGE13-REFERENCE-R34-2,a3a2d63dad2dfa997c1707510a3a7162dc03d0337e9a92e18e66b16ea2bf42c7
R34_BLOCK_STAGE14,R34,Soft Float,Float,Float,N/A,Full traceback,306,306,300,A_BLOCK_300,2.0,2758,0.0029199903311578,0.0725163161711385,0.0028060113243366,0.0030385850100174,0.0634205698842027,0.0828012407598934,0.6819732969329864,406.0,207.0,386,407,522.6193255982596,847.1,N/A,N/A,N/A,59776.0,108025344,843948,Stage14,stage14_block_continuous_comparison/results/stage14_online_slot_formal_results.csv,CC-O-R34-A_BLOCK_300,62cccc049bd05c8b7adc65465fa590b84e5e7f8784bfc6d404890243d3ce70e1
R34_CONTINUOUS_TRUNCATED_D112,R34,Soft Float,Float,Float,N/A,CONTINUOUS_TRUNCATED_D112,112,0,300,Continuous300,2.0,2793,0.0028105979233798,0.0730397422126745,0.0026994998147986,0.002926254866805,0.063965086778922,0.0832872565821313,0.6815884248436216,148.0,123.15,148,407,401.6175438596502,489.9,N/A,21504,1536,23040.0,109396224,60999120,Stage13,stage13_sliding_window_viterbi/results/stage13_final_comparison.csv,STAGE13-REFERENCE-R34-2,a3a2d63dad2dfa997c1707510a3a7162dc03d0337e9a92e18e66b16ea2bf42c7
R34_CONTINUOUS_TRUNCATED_D84,R34,Soft Float,Float,Float,N/A,CONTINUOUS_TRUNCATED_D84,84,0,300,Continuous300,2.0,2793,0.0029013008712256,0.0798424633011099,0.0027883933998699,0.0030187663457508,0.0703577024439778,0.0904813960333354,0.6765864240433015,110.0,97.2333333333333,111,407,389.91611170784194,484.8,N/A,16128,1536,17664.0,109396224,52318476,Stage13,stage13_sliding_window_viterbi/results/stage13_final_comparison.csv,STAGE13-REFERENCE-R34-2,a3a2d63dad2dfa997c1707510a3a7162dc03d0337e9a92e18e66b16ea2bf42c7
R34_SLIDING_BALANCED,R34,Soft Float,Float,Float,N/A,SLIDING_BALANCED,126,160,25,Continuous300,2.0,2793,0.0027783745076978,0.0716075904045828,0.0026679262675615,0.0028933818781413,0.0626222549916256,0.0817697188712676,0.6826414776436891,200.0,145.5,199,407,1096.3638023630513,1377.1,N/A,30720,1536,32256.0,397181358,2966166,Stage13,stage13_sliding_window_viterbi/results/stage13_final_comparison.csv,CC-C-R34-S-W160-S25-D126,a3a2d63dad2dfa997c1707510a3a7162dc03d0337e9a92e18e66b16ea2bf42c7
R34_SLIDING_BALANCED_B_CONT_50x6,R34,Soft Float,Float,Float,N/A,True sliding-window,126,160,25,B_CONT_50x6,2.0,2758,0.0029405366207396,0.0732414793328498,0.0028261504782715,0.0030595382444621,0.0641004299479621,0.0835696897535656,0.6814400887258457,265.0,171.16666666666666,262,407,1701.4259245830317,2458.2,N/A,N/A,N/A,32256.0,392204148,2928996,Stage14,stage14_block_continuous_comparison/results/stage14_online_slot_formal_results.csv,CC-O-R34-B_CONT_50x6,62cccc049bd05c8b7adc65465fa590b84e5e7f8784bfc6d404890243d3ce70e1
R34_SLIDING_LATENCY_FIRST,R34,Soft Float,Float,Float,N/A,SLIDING_LATENCY_FIRST,98,128,25,Continuous300,2.0,2793,0.0028094044635398,0.0723236663086287,0.0026983303570012,0.0029250374158654,0.0632935351454313,0.0825286234665419,0.6821149512436553,162.0,122.33333333333331,161,407,1081.4575008950956,1374.8,N/A,24576,1536,26112.0,402186414,3044370,Stage13,stage13_sliding_window_viterbi/results/stage13_final_comparison.csv,CC-C-R34-S-W128-S25-D98,a3a2d63dad2dfa997c1707510a3a7162dc03d0337e9a92e18e66b16ea2bf42c7
R34_SLIDING_PERFORMANCE_FIRST,R34,Soft Float,Float,Float,N/A,SLIDING_PERFORMANCE_FIRST,126,160,25,Continuous300,2.0,2793,0.0027783745076978,0.0716075904045828,0.0026679262675615,0.0028933818781413,0.0626222549916256,0.0817697188712676,0.6826414776436891,200.0,145.5,199,407,1096.3638023630513,1377.1,N/A,30720,1536,32256.0,397181358,2966166,Stage13,stage13_sliding_window_viterbi/results/stage13_final_comparison.csv,CC-C-R34-S-W160-S25-D126,a3a2d63dad2dfa997c1707510a3a7162dc03d0337e9a92e18e66b16ea2bf42c7
