decisionMode,rate,organization,firstOutputDelaySymbols,avgDecisionDelaySymbols,p95DecisionDelaySymbols,peakRxBufferSymbols,totalMemoryBytes,avgDecodeTimeUs
Hard,R12,A_BLOCK_300,610.0,311.0,580.0,612.0,59776.0,339.0457839999994
Hard,R12,B_CONT_50x6,298.0,231.0,342.0,362.0,26112.0,1560.1596680000057
Hard,R12,C_CONT_100x3,398.0,258.0,430.0,462.0,26112.0,1541.14053600002
Hard,R12,D_CONT_150x2,298.0,285.0,530.0,562.0,26112.0,1540.589626000003
Hard,R23,A_BLOCK_300,457.0,233.0,435.0,459.0,59776.0,331.66100000000006
Hard,R23,B_CONT_50x6,223.0,173.0,256.0,272.0,26112.0,1544.5127999999966
Hard,R23,C_CONT_100x3,298.0,193.25,322.0,347.0,26112.0,1537.3071000000016
Hard,R23,D_CONT_150x2,223.0,213.5,397.0,422.0,26112.0,1535.6069000000018
Hard,R34,A_BLOCK_300,406.0,207.0,386.0,408.0,59776.0,537.8281079999978
Hard,R34,B_CONT_50x6,265.0,171.16666666666666,262.0,275.0,32256.0,2475.0375040000044
Hard,R34,C_CONT_100x3,265.0,183.5,320.0,342.0,32256.0,2438.9257439999915
Hard,R34,D_CONT_150x2,406.0,207.0,386.0,408.0,32256.0,2524.824799999996
Soft Float,R12,A_BLOCK_300,610.0,311.0,580.0,612.0,59776.0,491.565153609833
Soft Float,R12,B_CONT_50x6,298.0,231.0,342.0,362.0,26112.0,1730.8635765488907
Soft Float,R12,C_CONT_100x3,398.0,258.0,430.0,462.0,26112.0,1722.5932437275983
Soft Float,R12,D_CONT_150x2,298.0,285.0,530.0,562.0,26112.0,1719.2478264208935
Soft Float,R23,A_BLOCK_300,457.0,233.0,435.0,459.0,59776.0,534.0420380000014
Soft Float,R23,B_CONT_50x6,223.0,173.0,256.0,272.0,26112.0,1828.871793999995
Soft Float,R23,C_CONT_100x3,298.0,193.25,322.0,347.0,26112.0,1811.9299000000017
Soft Float,R23,D_CONT_150x2,223.0,213.5,397.0,422.0,26112.0,1810.654491999992
Soft Float,R34,A_BLOCK_300,406.0,207.0,386.0,408.0,59776.0,513.3811000000003
Soft Float,R34,B_CONT_50x6,265.0,171.16666666666666,262.0,275.0,32256.0,1682.4743999999998
Soft Float,R34,C_CONT_100x3,265.0,183.5,320.0,342.0,32256.0,1662.081299999997
Soft Float,R34,D_CONT_150x2,406.0,207.0,386.0,408.0,32256.0,1670.7734999999996
