rateCase,windowBits,firstOutputDelaySymbols,experimentId,metric,slideBits,p95DecisionDelaySymbols,dtb,relativeFerIncreaseVsBlock
R12,96.0,170.0,CONTROL_W,firstOutputDelaySymbols,,,,
R12,128.0,170.0,CONTROL_W,firstOutputDelaySymbols,,,,
R12,160.0,170.0,CONTROL_W,firstOutputDelaySymbols,,,,
R12,192.0,170.0,CONTROL_W,firstOutputDelaySymbols,,,,
R23,96.0,127.0,CONTROL_W,firstOutputDelaySymbols,,,,
R23,128.0,127.0,CONTROL_W,firstOutputDelaySymbols,,,,
R23,160.0,127.0,CONTROL_W,firstOutputDelaySymbols,,,,
R23,192.0,127.0,CONTROL_W,firstOutputDelaySymbols,,,,
R34,96.0,113.0,CONTROL_W,firstOutputDelaySymbols,,,,
R34,128.0,113.0,CONTROL_W,firstOutputDelaySymbols,,,,
R34,160.0,113.0,CONTROL_W,firstOutputDelaySymbols,,,,
R34,192.0,113.0,CONTROL_W,firstOutputDelaySymbols,,,,
R12,,,CONTROL_S,p95DecisionDelaySymbols,8.0,276.0,,
R12,,,CONTROL_S,p95DecisionDelaySymbols,16.0,260.0,,
R12,,,CONTROL_S,p95DecisionDelaySymbols,25.0,280.0,,
R12,,,CONTROL_S,p95DecisionDelaySymbols,50.0,280.0,,
R23,,,CONTROL_S,p95DecisionDelaySymbols,8.0,207.0,,
R23,,,CONTROL_S,p95DecisionDelaySymbols,16.0,195.0,,
R23,,,CONTROL_S,p95DecisionDelaySymbols,25.0,210.0,,
R23,,,CONTROL_S,p95DecisionDelaySymbols,50.0,210.0,,
R34,,,CONTROL_S,p95DecisionDelaySymbols,8.0,184.0,,
R34,,,CONTROL_S,p95DecisionDelaySymbols,16.0,173.0,,
R34,,,CONTROL_S,p95DecisionDelaySymbols,25.0,186.0,,
R34,,,CONTROL_S,p95DecisionDelaySymbols,50.0,186.0,,
R12,,,CONTROL_D,relativeFerIncreaseVsBlock,,,35.0,0.0
R12,,,CONTROL_D,relativeFerIncreaseVsBlock,,,49.0,0.0
R12,,,CONTROL_D,relativeFerIncreaseVsBlock,,,70.0,0.0
R12,,,CONTROL_D,relativeFerIncreaseVsBlock,,,84.0,0.0
R12,,,CONTROL_D,relativeFerIncreaseVsBlock,,,98.0,0.0
R12,,,CONTROL_D,relativeFerIncreaseVsBlock,,,112.0,0.0
R23,,,CONTROL_D,relativeFerIncreaseVsBlock,,,35.0,0.0
R23,,,CONTROL_D,relativeFerIncreaseVsBlock,,,49.0,0.0
R23,,,CONTROL_D,relativeFerIncreaseVsBlock,,,70.0,0.0
R23,,,CONTROL_D,relativeFerIncreaseVsBlock,,,84.0,0.0
R23,,,CONTROL_D,relativeFerIncreaseVsBlock,,,98.0,0.0
R23,,,CONTROL_D,relativeFerIncreaseVsBlock,,,112.0,0.0
R34,,,CONTROL_D,relativeFerIncreaseVsBlock,,,35.0,0.0
R34,,,CONTROL_D,relativeFerIncreaseVsBlock,,,49.0,0.0
R34,,,CONTROL_D,relativeFerIncreaseVsBlock,,,70.0,0.0
R34,,,CONTROL_D,relativeFerIncreaseVsBlock,,,84.0,0.0
R34,,,CONTROL_D,relativeFerIncreaseVsBlock,,,98.0,0.0
R34,,,CONTROL_D,relativeFerIncreaseVsBlock,,,112.0,0.0
