rateCase,targetFerLevel,targetFer,snrDb,esN0Db,ebN0Db,actualRate,sigmaSquared,mode,dtb,frames,bitErrors,frameErrors,BER,FER,berCiLow,berCiHigh,ferCiLow,ferCiHigh,decodedBitMismatchVsBlock,decodedFrameMismatchVsBlock,relativeBerIncreaseVsBlock,relativeFerIncreaseVsBlock,survivorMemoryBytes,pathMetricMemoryBytes,totalDecoderMemoryBytes,tracebackOperations,ACSCount,firstDecisionDelaySymbols,avgDecisionDelaySymbols,p95DecisionDelaySymbols,avgDecodeTimeUs,medianDecodeTimeUs,p95DecodeTimeUs,maxDecodeTimeUs,payloadSeed,noiseSeed,frameIndex,caseId,sourceNoiseId,sourceStage09RowId,sourceObservedFer,stopReason,timingBatchCount
R12,FER_010,0.1,-0.5999999999999999,-0.5999999999999999,2.496301674258988,0.4901960784313725,0.5740768107484413,CONTINUOUS_TRUNCATED_VITERBI,35,2542,1718,302,0.0022528193023865,0.1188040912667191,0.0021488896160314,0.0023617635852957,0.1067976027435599,0.1319609643756445,587,158,0.2494545454545455,0.5100000000000001,6720,1024,7744,24199840,99565056,34,32.64666666666667,34,330.82922895358047,291.7,449.7,1764.3,2026072001,2026072901,0-2541,CC-B-R12-S-FER_010,STAGE10-1010,dense-018,0.081,TARGET_ERRORS_REACHED,5
R12,FER_010,0.1,-0.5999999999999999,-0.5999999999999999,2.496301674258988,0.4901960784313725,0.5740768107484413,CONTINUOUS_TRUNCATED_VITERBI,49,2542,1405,211,0.001842381327039,0.0830055074744295,0.0017486108266217,0.001941170559003,0.0728993603341602,0.0943700732534112,80,24,0.0218181818181818,0.055,9408,1024,10432,32135964,99565056,48,44.99,48,336.6189614476788,295.7,457.3,973.3,2026072001,2026072901,0-2541,CC-B-R12-S-FER_010,STAGE10-1010,dense-018,0.081,TARGET_ERRORS_REACHED,5
R12,FER_010,0.1,-0.5999999999999999,-0.5999999999999999,2.496301674258988,0.4901960784313725,0.5740768107484413,CONTINUOUS_TRUNCATED_VITERBI,70,2542,1376,200,0.0018043535274062,0.0786782061369,0.0017115795342521,0.0019021466352212,0.0688362388482832,0.0897916511255743,1,1,0.0007272727272726,0.0,13440,1024,14464,42171780,99565056,69,62.28,69,346.1232494099125,305.5,468.2,1332.3,2026072001,2026072901,0-2541,CC-B-R12-S-FER_010,STAGE10-1010,dense-018,0.081,TARGET_ERRORS_REACHED,5
R12,FER_010,0.1,-0.5999999999999999,-0.5999999999999999,2.496301674258988,0.4901960784313725,0.5740768107484413,CONTINUOUS_TRUNCATED_VITERBI,84,2542,1375,200,0.0018030422239706,0.0786782061369,0.0017103027803782,0.0019008007954348,0.0688362388482832,0.0897916511255743,0,0,0.0,0.0,16128,1024,17152,47616744,99565056,83,72.98999999999998,83,354.10247836349254,310.5,475.9,8113.1,2026072001,2026072901,0-2541,CC-B-R12-S-FER_010,STAGE10-1010,dense-018,0.081,TARGET_ERRORS_REACHED,5
R12,FER_010,0.1,-0.5999999999999999,-0.5999999999999999,2.496301674258988,0.4901960784313725,0.5740768107484413,CONTINUOUS_TRUNCATED_VITERBI,98,2542,1375,200,0.0018030422239706,0.0786782061369,0.0017103027803782,0.0019008007954348,0.0688362388482832,0.0897916511255743,0,0,0.0,0.0,18816,1024,19840,52065244,99565056,97,83.04666666666665,97,358.5526750590084,314.8,479.4,9015.2,2026072001,2026072901,0-2541,CC-B-R12-S-FER_010,STAGE10-1010,dense-018,0.081,TARGET_ERRORS_REACHED,5
R12,FER_010,0.1,-0.5999999999999999,-0.5999999999999999,2.496301674258988,0.4901960784313725,0.5740768107484413,CONTINUOUS_TRUNCATED_VITERBI,112,2542,1375,200,0.0018030422239706,0.0786782061369,0.0017103027803782,0.0019008007954348,0.0688362388482832,0.0897916511255743,0,0,0.0,0.0,21504,1024,22528,55517280,99565056,111,92.45,111,359.79634146341414,319.3,480.5,971.8,2026072001,2026072901,0-2541,CC-B-R12-S-FER_010,STAGE10-1010,dense-018,0.081,TARGET_ERRORS_REACHED,5
R23,FER_010,0.1,1.0,1.0,2.846914308175988,0.65359477124183,0.3971641173621407,CONTINUOUS_TRUNCATED_VITERBI,35,2152,4268,553,0.0066109045848822,0.2569702602230483,0.0064161419790353,0.0068115386982107,0.2389529923458929,0.2758536295788048,3031,463,1.0391782130912564,1.765,6720,1024,7744,20487040,84289536,34,32.64666666666667,34,318.1058550185876,281.0,438.6,1232.0,2026072001,2026072901,0-2151,CC-B-R23-S-FER_010,STAGE10-2010,dense-068,0.0932,TARGET_ERRORS_REACHED,5
R23,FER_010,0.1,1.0,1.0,2.846914308175988,0.65359477124183,0.3971641173621407,CONTINUOUS_TRUNCATED_VITERBI,49,2152,2876,329,0.0044547707558859,0.1528810408921933,0.0042952468825753,0.0046201917954452,0.1382958980411176,0.1687032349947318,1235,197,0.3741041567128522,0.6450000000000001,9408,1024,10432,27205584,84289536,48,44.99,48,320.7169144981414,283.2,438.3,1019.9,2026072001,2026072901,0-2151,CC-B-R23-S-FER_010,STAGE10-2010,dense-068,0.0932,TARGET_ERRORS_REACHED,5
R23,FER_010,0.1,1.0,1.0,2.846914308175988,0.65359477124183,0.3971641173621407,CONTINUOUS_TRUNCATED_VITERBI,70,2152,2346,224,0.0036338289962825,0.104089219330855,0.0034899761707055,0.00378358875761,0.0918847430891649,0.1177046295300369,337,46,0.1208791208791208,0.12,13440,1024,14464,35701680,84289536,69,62.28,69,329.5296933085498,292.6,444.3,1085.5,2026072001,2026072901,0-2151,CC-B-R23-S-FER_010,STAGE10-2010,dense-068,0.0932,TARGET_ERRORS_REACHED,5
R23,FER_010,0.1,1.0,1.0,2.846914308175988,0.65359477124183,0.3971641173621407,CONTINUOUS_TRUNCATED_VITERBI,84,2152,2202,214,0.0034107806691449,0.0994423791821561,0.0032714882586854,0.0035559826697102,0.087503714494599,0.112808538084922,143,25,0.0520783564261825,0.07,16128,1024,17152,40311264,84289536,83,72.98999999999998,83,335.4753717472116,297.6,450.7,873.5,2026072001,2026072901,0-2151,CC-B-R23-S-FER_010,STAGE10-2010,dense-068,0.0932,TARGET_ERRORS_REACHED,5
