schemeId,rate,decisionMode,quantMode,quantBits,clipMax,tracebackMode,dtb,window,slide,organization,snrDb,frames,BER,FER,berCiLow,berCiHigh,ferCiLow,ferCiHigh,normalizedGoodput,firstOutputDelaySymbols,avgDecisionDelaySymbols,p95DecisionDelaySymbols,fullFrameLastDecisionSymbol,avgDecodeTimeUs,p95DecodeTimeUs,inputMemoryBytes,survivorMemoryBytes,pathMetricMemoryBytes,totalMemoryBytes,ACSCount,tracebackOperations,sourceStage,sourceCsv,sourceRowId,sourceHash
R12_BLOCK_FULL_TRACEBACK,R12,Soft Float,Float,Float,N/A,BLOCK_FULL_TRACEBACK,306,306,300,Block300,-0.5,2974,0.0015220802510647,0.0672494956287827,0.0014433063053097,0.001605146674195,0.0587949596001132,0.0768205405550314,0.45723063939765546,610.0,311.0,580,611,484.9600537995963,653.3,N/A,58752,1536,60288.0,116485632,910044,Stage13,stage13_sliding_window_viterbi/results/stage13_final_comparison.csv,STAGE13-REFERENCE-R12--0.5,a3a2d63dad2dfa997c1707510a3a7162dc03d0337e9a92e18e66b16ea2bf42c7
R12_BLOCK_STAGE14,R12,Soft Float,Float,Float,N/A,Full traceback,306,306,300,A_BLOCK_300,-0.5,3368,0.0013420427553444,0.0593824228028503,0.0012725308676431,0.0014153463428191,0.0518914376638513,0.0678773782050709,0.4610870476456616,610.0,311.0,580,611,416.8630344418051,542.7,N/A,N/A,N/A,59776.0,131917824,1030608,Stage14,stage14_block_continuous_comparison/results/stage14_online_slot_formal_results.csv,CC-O-R12-A_BLOCK_300,62cccc049bd05c8b7adc65465fa590b84e5e7f8784bfc6d404890243d3ce70e1
R12_CONTINUOUS_TRUNCATED_D112,R12,Soft Float,Float,Float,N/A,CONTINUOUS_TRUNCATED_D112,112,0,300,Continuous300,-0.5,2974,0.0015220802510647,0.0672494956287827,0.0014433063053097,0.001605146674195,0.0587949596001132,0.0768205405550314,0.45723063939765546,222.0,184.9,222,611,593.051748486886,825.4,N/A,21504,1536,23040.0,116485632,64952160,Stage13,stage13_sliding_window_viterbi/results/stage13_final_comparison.csv,STAGE13-REFERENCE-R12--0.5,a3a2d63dad2dfa997c1707510a3a7162dc03d0337e9a92e18e66b16ea2bf42c7
R12_CONTINUOUS_TRUNCATED_D84,R12,Soft Float,Float,Float,N/A,CONTINUOUS_TRUNCATED_D84,84,0,300,Continuous300,-0.5,2974,0.0015220802510647,0.0672494956287827,0.0014433063053097,0.001605146674195,0.0587949596001132,0.0768205405550314,0.45723063939765546,166.0,145.98,166,611,571.7184599865502,788.9,N/A,16128,1536,17664.0,116485632,55708968,Stage13,stage13_sliding_window_viterbi/results/stage13_final_comparison.csv,STAGE13-REFERENCE-R12--0.5,a3a2d63dad2dfa997c1707510a3a7162dc03d0337e9a92e18e66b16ea2bf42c7
R12_CONTROL_D_W160_S16_D112,R12,Soft Float,Float,Float,N/A,True sliding-window Viterbi,112,160,16,Continuous300,-0.5,2974,0.0015220802510647,0.0672494956287827,0.0014433063053097,0.001605146674195,0.0587949596001132,0.0768205405550314,0.4572306393976554,254.0,197.9333333333333,260,611,2325.1843644922683,2658.1,N/A,30720,1536,32256.0,662744004,4240924,Stage13FullWSD,stage13_sliding_window_viterbi/results/stage13_full_wsd_formal_results.csv,CC-C-R12-S-W160-S16-D112,4b06d6fa229b3b5864a17699740870582895a9fcec8505b47bea35b7b8b49d4e
R12_CONTROL_D_W160_S16_D35,R12,Soft Float,Float,Float,N/A,True sliding-window Viterbi,35,160,16,Continuous300,-0.5,2974,0.0015814839722035,0.0716207128446536,0.0015011493568723,0.0016661105533744,0.0628953985270243,0.0814512581922098,0.4550878858604639,100.0,115.8,260,611,2332.2556489576323,2682.6,N/A,30720,1536,32256.0,662744004,1950944,Stage13FullWSD,stage13_sliding_window_viterbi/results/stage13_full_wsd_formal_results.csv,CC-C-R12-S-W160-S16-D35,4b06d6fa229b3b5864a17699740870582895a9fcec8505b47bea35b7b8b49d4e
R12_CONTROL_D_W160_S16_D49,R12,Soft Float,Float,Float,N/A,True sliding-window Viterbi,49,160,16,Continuous300,-0.5,2974,0.0015377718000448,0.0682582380632145,0.0014585826742879,0.0016212532680542,0.0597402863598115,0.0778900960793537,0.4567361578121496,128.0,130.73333333333332,260,611,2325.4857094821828,2666.0,N/A,30720,1536,32256.0,662744004,2367304,Stage13FullWSD,stage13_sliding_window_viterbi/results/stage13_full_wsd_formal_results.csv,CC-C-R12-S-W160-S16-D49,4b06d6fa229b3b5864a17699740870582895a9fcec8505b47bea35b7b8b49d4e
R12_CONTROL_D_W160_S16_D70,R12,Soft Float,Float,Float,N/A,True sliding-window Viterbi,70,160,16,Continuous300,-0.5,2974,0.0015220802510647,0.0672494956287827,0.0014433063053097,0.001605146674195,0.0587949596001132,0.0768205405550314,0.4572306393976554,170.0,153.13333333333333,260,611,2327.1030934768014,2664.0,N/A,30720,1536,32256.0,662744004,2991844,Stage13FullWSD,stage13_sliding_window_viterbi/results/stage13_full_wsd_formal_results.csv,CC-C-R12-S-W160-S16-D70,4b06d6fa229b3b5864a17699740870582895a9fcec8505b47bea35b7b8b49d4e
R12_CONTROL_D_W160_S16_D84,R12,Soft Float,Float,Float,N/A,True sliding-window Viterbi,84,160,16,Continuous300,-0.5,2974,0.0015220802510647,0.0672494956287827,0.0014433063053097,0.001605146674195,0.0587949596001132,0.0768205405550314,0.4572306393976554,198.0,168.06666666666666,260,611,2332.3902151983834,2689.0,N/A,30720,1536,32256.0,662744004,3408204,Stage13FullWSD,stage13_sliding_window_viterbi/results/stage13_full_wsd_formal_results.csv,CC-C-R12-S-W160-S16-D84,4b06d6fa229b3b5864a17699740870582895a9fcec8505b47bea35b7b8b49d4e
R12_CONTROL_D_W160_S16_D98,R12,Soft Float,Float,Float,N/A,True sliding-window Viterbi,98,160,16,Continuous300,-0.5,2974,0.0015220802510647,0.0672494956287827,0.0014433063053097,0.001605146674195,0.0587949596001132,0.0768205405550314,0.4572306393976554,226.0,183.0,260,611,2323.550134498991,2657.7,N/A,30720,1536,32256.0,662744004,3824564,Stage13FullWSD,stage13_sliding_window_viterbi/results/stage13_full_wsd_formal_results.csv,CC-C-R12-S-W160-S16-D98,4b06d6fa229b3b5864a17699740870582895a9fcec8505b47bea35b7b8b49d4e
