schemeId,rate,decisionMode,quantMode,quantBits,tracebackMode,dtb,window,slide,organization,snrDb,actualRate,frames,bitErrors,frameErrors,BER,FER,berCiLow,berCiHigh,ferCiLow,ferCiHigh,normalizedGoodput,firstOutputDelaySymbols,avgDecisionDelaySymbols,p95DecisionDelaySymbols,fullFrameLastDecisionSymbol,avgDecodeTimeUs,p95DecodeTimeUs,inputMemoryBytes,survivorMemoryBytes,pathMetricMemoryBytes,totalMemoryBytes,peakRxBufferSymbols,ACSCount,tracebackOperations,windowTriggerCount,sourceStage,sourceCsv,sourceRowId,sourceHash
R12_BLOCK_SOFT_FLOAT,R12,Soft Float,Float,Float,Full traceback,306,306,300,A_BLOCK_300,-1.2,0.4901960784313725,5000,10708,1196,0.0071386666666666,0.2392,0.0070051959192349,0.0072746618163218,0.2275786657472823,0.2512217675872595,0.3729411764705882,,,,,488.56560000000206,903.6,,,,,,,,,Stage09,stage09_awgn_formal/results/stage09_two_level_merged_point_results.csv,dense-015,0efd6914aca0415c0e7f7a888f8eb749d699f9f7e4f08625678746dc161fae25
R12_BLOCK_SOFT_FLOAT,R12,Soft Float,Float,Float,Full traceback,306,306,300,A_BLOCK_300,-1.0,0.4901960784313725,5000,7334,887,0.0048893333333333,0.1774,0.0047789688501582,0.0050022337396642,0.1670603334500655,0.1882349878448853,0.403235294117647,,,,,490.639219999999,900.8,,,,,,,,,Stage09,stage09_awgn_formal/results/stage09_two_level_merged_point_results.csv,dense-016,0efd6914aca0415c0e7f7a888f8eb749d699f9f7e4f08625678746dc161fae25
R12_BLOCK_SOFT_FLOAT,R12,Soft Float,Float,Float,Full traceback,306,306,300,A_BLOCK_300,-0.8,0.4901960784313725,5000,4347,597,0.002898,0.1194,0.0028132393929461,0.0029853067296835,0.1107030633544749,0.1286813113661025,0.4316666666666667,,,,,514.3593199999996,967.3,,,,,,,,,Stage09,stage09_awgn_formal/results/stage09_two_level_merged_point_results.csv,dense-017,0efd6914aca0415c0e7f7a888f8eb749d699f9f7e4f08625678746dc161fae25
R12_BLOCK_SOFT_FLOAT,R12,Soft Float,Float,Float,Full traceback,306,306,300,A_BLOCK_300,-0.5999999999999999,0.4901960784313725,5000,2742,405,0.001828,0.081,0.001760905370705,0.0018976462323918,0.0737552654060444,0.0888880688239134,0.4504901960784313,,,,,513.5323400000011,1025.8,,,,,,,,,Stage09,stage09_awgn_formal/results/stage09_two_level_merged_point_results.csv,dense-018,0efd6914aca0415c0e7f7a888f8eb749d699f9f7e4f08625678746dc161fae25
R12_BLOCK_SOFT_FLOAT,R12,Soft Float,Float,Float,Full traceback,306,306,300,A_BLOCK_300,-0.5,0.4901960784313725,2846,1317,200,0.0015425158116654,0.0702740688685874,0.001461485105623,0.0016280318662303,0.0614509252357302,0.0802557151707889,0.4557480054565747,,,,,344.7110330288123,560.5,,,,,,,,,Stage09,stage09_awgn_formal/results/stage09_two_level_merged_point_results.csv,coarse-019,0efd6914aca0415c0e7f7a888f8eb749d699f9f7e4f08625678746dc161fae25
R12_BLOCK_SOFT_FLOAT,R12,Soft Float,Float,Float,Full traceback,306,306,300,A_BLOCK_300,-0.4,0.4901960784313725,5000,1712,269,0.0011413333333333,0.0538,0.0010885626558202,0.0011966591310032,0.0478817469838921,0.0604033502318768,0.4638235294117646,,,,,552.948699999999,1058.5,,,,,,,,,Stage09,stage09_awgn_formal/results/stage09_two_level_merged_point_results.csv,dense-019,0efd6914aca0415c0e7f7a888f8eb749d699f9f7e4f08625678746dc161fae25
R12_BLOCK_SOFT_FLOAT,R12,Soft Float,Float,Float,Full traceback,306,306,300,A_BLOCK_300,-0.2,0.4901960784313725,6069,1190,200,0.0006535947712418,0.0329543582138737,0.0006175105809393,0.0006917860792526,0.0287502327465612,0.0377493558824357,0.4740419812677089,,,,,545.2519195913663,1040.6,,,,,,,,,Stage09,stage09_awgn_formal/results/stage09_two_level_merged_point_results.csv,dense-020,0efd6914aca0415c0e7f7a888f8eb749d699f9f7e4f08625678746dc161fae25
R12_BLOCK_SOFT_FLOAT,R12,Soft Float,Float,Float,Full traceback,306,306,300,A_BLOCK_300,0.0,0.4901960784313725,9672,1035,200,0.000356699751861,0.020678246484698,0.0003356240067984,0.0003790984612342,0.0180267076461482,0.0237103816333111,0.4800596830957362,,,,,520.3104321753527,966.2,,,,,,,,,Stage09,stage09_awgn_formal/results/stage09_two_level_merged_point_results.csv,dense-021,0efd6914aca0415c0e7f7a888f8eb749d699f9f7e4f08625678746dc161fae25
R12_BLOCK_SOFT_FLOAT,R12,Soft Float,Float,Float,Full traceback,306,306,300,A_BLOCK_300,0.5,0.4901960784313725,40863,894,200,7.292660842326798e-05,0.0048944032498837,6.830046247250655e-05,7.786606938010514e-05,0.0042627208220758,0.0056191649416581,0.4877968611520177,,,,,423.7379634388048,680.3,,,,,,,,,Stage09,stage09_awgn_formal/results/stage09_two_level_merged_point_results.csv,coarse-023,0efd6914aca0415c0e7f7a888f8eb749d699f9f7e4f08625678746dc161fae25
R12_BLOCK_SOFT_FLOAT,R12,Soft Float,Float,Float,Full traceback,306,306,300,A_BLOCK_300,1.0,0.4901960784313725,50000,190,45,1.2666666666666668e-05,0.0008999999999999,1.09890951555925e-05,1.4600328879072532e-05,0.0006727321294463,0.0012039528628052,0.4897549019607843,,,,,435.6753279999993,699.9,,,,,,,,,Stage09,stage09_awgn_formal/results/stage09_two_level_merged_point_results.csv,coarse-025,0efd6914aca0415c0e7f7a888f8eb749d699f9f7e4f08625678746dc161fae25
