metric,algorithm,targetPointIndex,comparison,confidenceLevel,referenceConfidence,candidateConfidence,valid
BER,BP,0,N560 relative to N480,HIGH,HIGH,HIGH,true
BER,BP,0,N640 relative to N480,LOW,HIGH,LOW,true
BER,BP,0,N640 relative to N560,LOW,HIGH,LOW,true
BER,BP,1,N560 relative to N480,HIGH,HIGH,HIGH,true
BER,BP,1,N640 relative to N480,HIGH,HIGH,HIGH,true
BER,BP,1,N640 relative to N560,HIGH,HIGH,HIGH,true
BER,BP,2,N560 relative to N480,HIGH,HIGH,HIGH,true
BER,BP,2,N640 relative to N480,HIGH,HIGH,HIGH,true
BER,BP,2,N640 relative to N560,HIGH,HIGH,HIGH,true
BER,BP,3,N560 relative to N480,HIGH,HIGH,HIGH,true
BER,BP,3,N640 relative to N480,HIGH,HIGH,HIGH,true
BER,BP,3,N640 relative to N560,HIGH,HIGH,HIGH,true
BER,BP,4,N560 relative to N480,HIGH,HIGH,HIGH,true
BER,BP,4,N640 relative to N480,HIGH,HIGH,HIGH,true
BER,BP,4,N640 relative to N560,HIGH,HIGH,HIGH,true
BER,BP,5,N560 relative to N480,HIGH,HIGH,HIGH,true
BER,BP,5,N640 relative to N480,HIGH,HIGH,HIGH,true
BER,BP,5,N640 relative to N560,HIGH,HIGH,HIGH,true
BER,BP,6,N560 relative to N480,HIGH,HIGH,HIGH,true
BER,BP,6,N640 relative to N480,MEDIUM,HIGH,MEDIUM,true
BER,BP,6,N640 relative to N560,MEDIUM,HIGH,MEDIUM,true
BER,BP,7,N560 relative to N480,HIGH,HIGH,HIGH,true
BER,BP,7,N640 relative to N480,HIGH,HIGH,HIGH,true
BER,BP,7,N640 relative to N560,HIGH,HIGH,HIGH,true
BER,BP,8,N560 relative to N480,HIGH,HIGH,HIGH,true
BER,BP,8,N640 relative to N480,HIGH,HIGH,HIGH,true
BER,BP,8,N640 relative to N560,HIGH,HIGH,HIGH,true
BER,BP,9,N560 relative to N480,MEDIUM,MEDIUM,HIGH,true
BER,BP,9,N640 relative to N480,MEDIUM,MEDIUM,HIGH,true
BER,BP,9,N640 relative to N560,HIGH,HIGH,HIGH,true
BER,BP,10,N560 relative to N480,HIGH,HIGH,HIGH,true
BER,BP,10,N640 relative to N480,MEDIUM,HIGH,MEDIUM,true
BER,BP,10,N640 relative to N560,MEDIUM,HIGH,MEDIUM,true
BER,BP,11,N560 relative to N480,HIGH,HIGH,HIGH,true
BER,BP,11,N640 relative to N480,HIGH,HIGH,HIGH,true
BER,BP,11,N640 relative to N560,HIGH,HIGH,HIGH,true
BER,BP,12,N560 relative to N480,MEDIUM,MEDIUM,HIGH,true
BER,BP,12,N640 relative to N480,MEDIUM,MEDIUM,HIGH,true
BER,BP,12,N640 relative to N560,HIGH,HIGH,HIGH,true
BER,BP,13,N560 relative to N480,HIGH,HIGH,HIGH,true
BER,BP,13,N640 relative to N480,HIGH,HIGH,HIGH,true
BER,BP,13,N640 relative to N560,HIGH,HIGH,HIGH,true
BER,BP,14,N560 relative to N480,MEDIUM,HIGH,MEDIUM,true
BER,BP,14,N640 relative to N480,HIGH,HIGH,HIGH,true
BER,BP,14,N640 relative to N560,MEDIUM,MEDIUM,HIGH,true
BER,BP,15,N560 relative to N480,HIGH,HIGH,HIGH,true
BER,BP,15,N640 relative to N480,HIGH,HIGH,HIGH,true
BER,BP,15,N640 relative to N560,HIGH,HIGH,HIGH,true
BER,BP,16,N560 relative to N480,HIGH,HIGH,HIGH,true
BER,BP,16,N640 relative to N480,HIGH,HIGH,HIGH,true
BER,BP,16,N640 relative to N560,HIGH,HIGH,HIGH,true
BER,BP,17,N560 relative to N480,HIGH,HIGH,HIGH,true
BER,BP,17,N640 relative to N480,HIGH,HIGH,HIGH,true
BER,BP,17,N640 relative to N560,HIGH,HIGH,HIGH,true
BER,BP,18,N560 relative to N480,MEDIUM,MEDIUM,HIGH,true
BER,BP,18,N640 relative to N480,MEDIUM,MEDIUM,HIGH,true
BER,BP,18,N640 relative to N560,HIGH,HIGH,HIGH,true
BER,BP,19,N560 relative to N480,MEDIUM,HIGH,MEDIUM,true
BER,BP,19,N640 relative to N480,MEDIUM,HIGH,MEDIUM,true
BER,BP,19,N640 relative to N560,MEDIUM,MEDIUM,MEDIUM,true
BER,BP,20,N560 relative to N480,LOW,LOW,MEDIUM,true
BER,BP,20,N640 relative to N480,LOW,LOW,MEDIUM,true
BER,BP,20,N640 relative to N560,MEDIUM,MEDIUM,MEDIUM,true
BER,BP,21,N560 relative to N480,MEDIUM,MEDIUM,MEDIUM,true
BER,BP,21,N640 relative to N480,MEDIUM,MEDIUM,MEDIUM,true
BER,BP,21,N640 relative to N560,MEDIUM,MEDIUM,MEDIUM,true
BER,BP,22,N560 relative to N480,MEDIUM,MEDIUM,MEDIUM,true
BER,BP,22,N640 relative to N480,MEDIUM,MEDIUM,MEDIUM,true
BER,BP,22,N640 relative to N560,MEDIUM,MEDIUM,MEDIUM,true
