metric,algorithm,targetPointIndex,targetErrorRate,referenceLength,candidateLength,referenceRequiredEbN0Db,candidateRequiredEbN0Db,relativeCodingGainDb,gainDirection,confidenceLevel,interpretation
FER,NMS,0,1.0,480,560,3.041199826559248,2.71066772286538,0.330532103693868,REFERENCE_MINUS_CANDIDATE_EBN0,LOW,POSITIVE_CANDIDATE_REQUIRES_LOWER_EBN0
FER,NMS,0,1.0,480,640,3.041199826559248,-0.7094128073577526,3.7506126339170005,REFERENCE_MINUS_CANDIDATE_EBN0,LOW,POSITIVE_CANDIDATE_REQUIRES_LOWER_EBN0
FER,NMS,0,1.0,560,640,2.71066772286538,-0.7094128073577526,3.4200805302231325,REFERENCE_MINUS_CANDIDATE_EBN0,LOW,POSITIVE_CANDIDATE_REQUIRES_LOWER_EBN0
FER,NMS,1,0.6669444078072024,480,560,4.957945936362996,5.594014931872373,-0.636068995509377,REFERENCE_MINUS_CANDIDATE_EBN0,HIGH,CURRENT_RESOLUTION_NO_CLEAR_CANDIDATE_ADVANTAGE
FER,NMS,1,0.6669444078072024,480,640,4.957945936362996,1.2600577344614383,3.6978882019015575,REFERENCE_MINUS_CANDIDATE_EBN0,MEDIUM,POSITIVE_CANDIDATE_REQUIRES_LOWER_EBN0
FER,NMS,1,0.6669444078072024,560,640,5.594014931872373,1.2600577344614383,4.3339571974109345,REFERENCE_MINUS_CANDIDATE_EBN0,MEDIUM,POSITIVE_CANDIDATE_REQUIRES_LOWER_EBN0
FER,NMS,2,0.4448148431053,480,560,5.443897697875361,6.135610884028686,-0.6917131861533248,REFERENCE_MINUS_CANDIDATE_EBN0,HIGH,CURRENT_RESOLUTION_NO_CLEAR_CANDIDATE_ADVANTAGE
FER,NMS,2,0.4448148431053,480,640,5.443897697875361,1.4947313330070013,3.9491663648683595,REFERENCE_MINUS_CANDIDATE_EBN0,HIGH,POSITIVE_CANDIDATE_REQUIRES_LOWER_EBN0
FER,NMS,2,0.4448148431053,560,640,6.135610884028686,1.4947313330070013,4.640879551021684,REFERENCE_MINUS_CANDIDATE_EBN0,HIGH,POSITIVE_CANDIDATE_REQUIRES_LOWER_EBN0
FER,NMS,3,0.296666772118718,480,560,5.85111841853542,6.532372170388019,-0.6812537518525987,REFERENCE_MINUS_CANDIDATE_EBN0,HIGH,CURRENT_RESOLUTION_NO_CLEAR_CANDIDATE_ADVANTAGE
