actualLength,algorithm,esN0Db,frames,bitErrors,frameErrors,BER,FER,berUpper95,ferUpper95,plotTreatment
480,DIRECT_LAYERED_NMS,9.0,50000,0,0,0.0,0.0,1.9971546494357284e-07,5.991285062456608e-05,ZERO_ERROR_CENSORED_NOT_CONNECTED
480,DIRECT_LAYERED_SPA_BP,9.0,50000,0,0,0.0,0.0,1.9971546494357284e-07,5.991285062456608e-05,ZERO_ERROR_CENSORED_NOT_CONNECTED
480,DIRECT_LAYERED_NMS,9.5,50000,0,0,0.0,0.0,1.9971546494357284e-07,5.991285062456608e-05,ZERO_ERROR_CENSORED_NOT_CONNECTED
480,DIRECT_LAYERED_SPA_BP,9.5,50000,0,0,0.0,0.0,1.9971546494357284e-07,5.991285062456608e-05,ZERO_ERROR_CENSORED_NOT_CONNECTED
480,DIRECT_LAYERED_NMS,10.0,50000,0,0,0.0,0.0,1.9971546494357284e-07,5.991285062456608e-05,ZERO_ERROR_CENSORED_NOT_CONNECTED
480,DIRECT_LAYERED_SPA_BP,10.0,50000,0,0,0.0,0.0,1.9971546494357284e-07,5.991285062456608e-05,ZERO_ERROR_CENSORED_NOT_CONNECTED
560,DIRECT_LAYERED_NMS,8.5,50000,0,0,0.0,0.0,1.9971546494357284e-07,5.991285062456608e-05,ZERO_ERROR_CENSORED_NOT_CONNECTED
560,DIRECT_LAYERED_SPA_BP,8.5,50000,0,0,0.0,0.0,1.9971546494357284e-07,5.991285062456608e-05,ZERO_ERROR_CENSORED_NOT_CONNECTED
560,DIRECT_LAYERED_NMS,9.0,50000,0,0,0.0,0.0,1.9971546494357284e-07,5.991285062456608e-05,ZERO_ERROR_CENSORED_NOT_CONNECTED
560,DIRECT_LAYERED_SPA_BP,9.0,50000,0,0,0.0,0.0,1.9971546494357284e-07,5.991285062456608e-05,ZERO_ERROR_CENSORED_NOT_CONNECTED
560,DIRECT_LAYERED_NMS,9.5,50000,0,0,0.0,0.0,1.9971546494357284e-07,5.991285062456608e-05,ZERO_ERROR_CENSORED_NOT_CONNECTED
560,DIRECT_LAYERED_SPA_BP,9.5,50000,0,0,0.0,0.0,1.9971546494357284e-07,5.991285062456608e-05,ZERO_ERROR_CENSORED_NOT_CONNECTED
560,DIRECT_LAYERED_NMS,10.0,50000,0,0,0.0,0.0,1.9971546494357284e-07,5.991285062456608e-05,ZERO_ERROR_CENSORED_NOT_CONNECTED
560,DIRECT_LAYERED_SPA_BP,10.0,50000,0,0,0.0,0.0,1.9971546494357284e-07,5.991285062456608e-05,ZERO_ERROR_CENSORED_NOT_CONNECTED
640,DIRECT_LAYERED_NMS,1.0,50000,0,0,0.0,0.0,1.9971546494357284e-07,5.991285062456608e-05,ZERO_ERROR_CENSORED_NOT_CONNECTED
640,DIRECT_LAYERED_SPA_BP,1.0,50000,0,0,0.0,0.0,1.9971546494357284e-07,5.991285062456608e-05,ZERO_ERROR_CENSORED_NOT_CONNECTED
640,DIRECT_LAYERED_NMS,1.5,50000,0,0,0.0,0.0,1.9971546494357284e-07,5.991285062456608e-05,ZERO_ERROR_CENSORED_NOT_CONNECTED
640,DIRECT_LAYERED_SPA_BP,1.5,50000,0,0,0.0,0.0,1.9971546494357284e-07,5.991285062456608e-05,ZERO_ERROR_CENSORED_NOT_CONNECTED
640,DIRECT_LAYERED_NMS,2.0,50000,0,0,0.0,0.0,1.9971546494357284e-07,5.991285062456608e-05,ZERO_ERROR_CENSORED_NOT_CONNECTED
640,DIRECT_LAYERED_SPA_BP,2.0,50000,0,0,0.0,0.0,1.9971546494357284e-07,5.991285062456608e-05,ZERO_ERROR_CENSORED_NOT_CONNECTED
640,DIRECT_LAYERED_NMS,2.5,50000,0,0,0.0,0.0,1.9971546494357284e-07,5.991285062456608e-05,ZERO_ERROR_CENSORED_NOT_CONNECTED
640,DIRECT_LAYERED_SPA_BP,2.5,50000,0,0,0.0,0.0,1.9971546494357284e-07,5.991285062456608e-05,ZERO_ERROR_CENSORED_NOT_CONNECTED
640,DIRECT_LAYERED_NMS,3.0,50000,0,0,0.0,0.0,1.9971546494357284e-07,5.991285062456608e-05,ZERO_ERROR_CENSORED_NOT_CONNECTED
640,DIRECT_LAYERED_SPA_BP,3.0,50000,0,0,0.0,0.0,1.9971546494357284e-07,5.991285062456608e-05,ZERO_ERROR_CENSORED_NOT_CONNECTED
640,DIRECT_LAYERED_NMS,3.5,50000,0,0,0.0,0.0,1.9971546494357284e-07,5.991285062456608e-05,ZERO_ERROR_CENSORED_NOT_CONNECTED
640,DIRECT_LAYERED_SPA_BP,3.5,50000,0,0,0.0,0.0,1.9971546494357284e-07,5.991285062456608e-05,ZERO_ERROR_CENSORED_NOT_CONNECTED
640,DIRECT_LAYERED_NMS,4.0,50000,0,0,0.0,0.0,1.9971546494357284e-07,5.991285062456608e-05,ZERO_ERROR_CENSORED_NOT_CONNECTED
640,DIRECT_LAYERED_SPA_BP,4.0,50000,0,0,0.0,0.0,1.9971546494357284e-07,5.991285062456608e-05,ZERO_ERROR_CENSORED_NOT_CONNECTED
640,DIRECT_LAYERED_NMS,4.5,50000,0,0,0.0,0.0,1.9971546494357284e-07,5.991285062456608e-05,ZERO_ERROR_CENSORED_NOT_CONNECTED
640,DIRECT_LAYERED_SPA_BP,4.5,50000,0,0,0.0,0.0,1.9971546494357284e-07,5.991285062456608e-05,ZERO_ERROR_CENSORED_NOT_CONNECTED
640,DIRECT_LAYERED_NMS,5.0,50000,0,0,0.0,0.0,1.9971546494357284e-07,5.991285062456608e-05,ZERO_ERROR_CENSORED_NOT_CONNECTED
640,DIRECT_LAYERED_SPA_BP,5.0,50000,0,0,0.0,0.0,1.9971546494357284e-07,5.991285062456608e-05,ZERO_ERROR_CENSORED_NOT_CONNECTED
640,DIRECT_LAYERED_NMS,5.5,50000,0,0,0.0,0.0,1.9971546494357284e-07,5.991285062456608e-05,ZERO_ERROR_CENSORED_NOT_CONNECTED
640,DIRECT_LAYERED_SPA_BP,5.5,50000,0,0,0.0,0.0,1.9971546494357284e-07,5.991285062456608e-05,ZERO_ERROR_CENSORED_NOT_CONNECTED
640,DIRECT_LAYERED_NMS,6.0,50000,0,0,0.0,0.0,1.9971546494357284e-07,5.991285062456608e-05,ZERO_ERROR_CENSORED_NOT_CONNECTED
640,DIRECT_LAYERED_SPA_BP,6.0,50000,0,0,0.0,0.0,1.9971546494357284e-07,5.991285062456608e-05,ZERO_ERROR_CENSORED_NOT_CONNECTED
640,DIRECT_LAYERED_NMS,6.5,50000,0,0,0.0,0.0,1.9971546494357284e-07,5.991285062456608e-05,ZERO_ERROR_CENSORED_NOT_CONNECTED
640,DIRECT_LAYERED_SPA_BP,6.5,50000,0,0,0.0,0.0,1.9971546494357284e-07,5.991285062456608e-05,ZERO_ERROR_CENSORED_NOT_CONNECTED
640,DIRECT_LAYERED_NMS,7.0,50000,0,0,0.0,0.0,1.9971546494357284e-07,5.991285062456608e-05,ZERO_ERROR_CENSORED_NOT_CONNECTED
640,DIRECT_LAYERED_SPA_BP,7.0,50000,0,0,0.0,0.0,1.9971546494357284e-07,5.991285062456608e-05,ZERO_ERROR_CENSORED_NOT_CONNECTED
640,DIRECT_LAYERED_NMS,7.5,50000,0,0,0.0,0.0,1.9971546494357284e-07,5.991285062456608e-05,ZERO_ERROR_CENSORED_NOT_CONNECTED
640,DIRECT_LAYERED_SPA_BP,7.5,50000,0,0,0.0,0.0,1.9971546494357284e-07,5.991285062456608e-05,ZERO_ERROR_CENSORED_NOT_CONNECTED
640,DIRECT_LAYERED_NMS,8.0,50000,0,0,0.0,0.0,1.9971546494357284e-07,5.991285062456608e-05,ZERO_ERROR_CENSORED_NOT_CONNECTED
640,DIRECT_LAYERED_SPA_BP,8.0,50000,0,0,0.0,0.0,1.9971546494357284e-07,5.991285062456608e-05,ZERO_ERROR_CENSORED_NOT_CONNECTED
640,DIRECT_LAYERED_NMS,8.5,50000,0,0,0.0,0.0,1.9971546494357284e-07,5.991285062456608e-05,ZERO_ERROR_CENSORED_NOT_CONNECTED
640,DIRECT_LAYERED_SPA_BP,8.5,50000,0,0,0.0,0.0,1.9971546494357284e-07,5.991285062456608e-05,ZERO_ERROR_CENSORED_NOT_CONNECTED
640,DIRECT_LAYERED_NMS,9.0,50000,0,0,0.0,0.0,1.9971546494357284e-07,5.991285062456608e-05,ZERO_ERROR_CENSORED_NOT_CONNECTED
640,DIRECT_LAYERED_SPA_BP,9.0,50000,0,0,0.0,0.0,1.9971546494357284e-07,5.991285062456608e-05,ZERO_ERROR_CENSORED_NOT_CONNECTED
640,DIRECT_LAYERED_NMS,9.5,50000,0,0,0.0,0.0,1.9971546494357284e-07,5.991285062456608e-05,ZERO_ERROR_CENSORED_NOT_CONNECTED
640,DIRECT_LAYERED_SPA_BP,9.5,50000,0,0,0.0,0.0,1.9971546494357284e-07,5.991285062456608e-05,ZERO_ERROR_CENSORED_NOT_CONNECTED
640,DIRECT_LAYERED_NMS,10.0,50000,0,0,0.0,0.0,1.9971546494357284e-07,5.991285062456608e-05,ZERO_ERROR_CENSORED_NOT_CONNECTED
640,DIRECT_LAYERED_SPA_BP,10.0,50000,0,0,0.0,0.0,1.9971546494357284e-07,5.991285062456608e-05,ZERO_ERROR_CENSORED_NOT_CONNECTED
