candidateId,targetLength,actualLength,actualRate,Zc,kb,nb,mb,informationCapacity,payloadLength,fillerLength,parityLength,rankH,rankHp,formalAlpha
LDPC_BG2_K300_N480,480,480,0.625,48,8,10,2,384,300,84,96,96,96,0.95
LDPC_BG2_K300_N560,576,560,0.5357142857142857,56,8,10,2,448,300,148,112,112,112,0.95
LDPC_BG2_K300_N640,640,640,0.46875,40,8,16,8,320,300,20,320,320,320,0.8
