figureId,series,category,rawValue,plotValue,isPlotted,isZero,zeroErrorUpperBound95
cc_04_complexity,ACS/帧,BLOCK_FLOAT_SOFT,39168,39168,true,false,
cc_04_complexity,ACS/帧,BLOCK_HARD,39168,39168,true,false,
cc_04_complexity,ACS/帧,B_CONT_50x6_FLOAT_SOFT,143998,143998,true,false,
cc_04_complexity,ACS/帧,B_CONT_50x6_HARD,143998,143998,true,false,
cc_04_complexity,ACS/帧,C_CONT_100x3_FLOAT_SOFT,143998,143998,true,false,
cc_04_complexity,ACS/帧,C_CONT_100x3_HARD,143998,143998,true,false,
cc_04_complexity,ACS/帧,D_CONT_150x2_FLOAT_SOFT,143998,143998,true,false,
cc_04_complexity,ACS/帧,D_CONT_150x2_HARD,143998,143998,true,false,
cc_04_complexity,回溯操作/帧,BLOCK_FLOAT_SOFT,306,306,true,false,
cc_04_complexity,回溯操作/帧,BLOCK_HARD,306,306,true,false,
cc_04_complexity,回溯操作/帧,B_CONT_50x6_FLOAT_SOFT,866,866,true,false,
cc_04_complexity,回溯操作/帧,B_CONT_50x6_HARD,866,866,true,false,
cc_04_complexity,回溯操作/帧,C_CONT_100x3_FLOAT_SOFT,866,866,true,false,
cc_04_complexity,回溯操作/帧,C_CONT_100x3_HARD,866,866,true,false,
cc_04_complexity,回溯操作/帧,D_CONT_150x2_FLOAT_SOFT,866,866,true,false,
cc_04_complexity,回溯操作/帧,D_CONT_150x2_HARD,866,866,true,false,
