rateCase,snrDb,esN0Db,ebN0Db,actualRate,sigmaSquared,quantMode,quantBits,clipMax,quantStep,frames,bitErrors,frameErrors,BER,FER,berCiLow,berCiHigh,ferCiLow,ferCiHigh,avgDecodeTimeUs,medianDecodeTimeUs,p95DecodeTimeUs,maxDecodeTimeUs,inputMemoryBytes,pathMetricMemoryBytes,survivorMemoryBytes,totalDecoderMemoryBytes,trueClipCount,trueClipRatePercent,edgeBinCount,edgeBinRatePercent,integerOverflowCount,pathMetricSaturationCount,relativeBerIncreaseVsFloat,relativeFerIncreaseVsFloat,payloadSeed,noiseSeed,frameIndex,caseId,sourceNoiseId,gridLayer,stopReason,timingBatchCount
R12,-5,-5,-1.9036983257410123,0.49019607843137253,1.5811388300841895,Q3,3,1.5,0.5,1000,122362,1000,0.40787333333333331,1,0.40611596288186919,0.40963306309322872,0.99617324151444497,1,323.17700000000008,289,433.10000000000002,1813.3,230,512,58752,59494,225232,36.802614379084964,279798,45.718627450980392,0,0,0.038620853563304233,0,2026072001,2026072902,0-999,CC-B-R12-S-Q3,STAGE11-1200,coarse,TARGET_ERRORS_REACHED,5
R12,-4.5,-4.5,-1.4036983257410123,0.49019607843137253,1.4091914656322269,Q3,3,1.5,0.5,1000,109813,1000,0.36604333333333333,1,0.36432127218828803,0.36776882502790931,0.99617324151444497,1,326.29220000000015,292.39999999999998,420.69999999999999,1070.5,230,512,58752,59494,216299,35.342973856209149,272344,44.500653594771244,0,0,0.056778266434421097,0,2026072001,2026072902,0-999,CC-B-R12-S-Q3,STAGE11-1200,coarse,TARGET_ERRORS_REACHED,5
R12,-4,-4,-0.90369832574101228,0.49019607843137253,1.2559432157547903,Q3,3,1.5,0.5,1000,93258,1000,0.31086000000000003,1,0.30920618939755656,0.31251865436389542,0.99617324151444497,1,324.14049999999997,284.39999999999998,432,1000.6,230,512,58752,59494,207936,33.976470588235294,265365,43.360294117647058,0,0,0.083425305249950815,0,2026072001,2026072902,0-999,CC-B-R12-S-Q3,STAGE11-1200,coarse,TARGET_ERRORS_REACHED,5
R12,-3.5,-3.5,-0.40369832574101228,0.49019607843137253,1.1193605692841697,Q3,3,1.5,0.5,1000,71673,998,0.23891000000000001,0.998,0.23738746136275152,0.24043922499485387,0.99273719213650791,0.99945135641187932,322.74170000000004,288.69999999999999,419.19999999999999,664.39999999999998,230,512,58752,59494,199825,32.651143790849673,258677,42.267483660130722,0,0,0.10442862426035501,0,2026072001,2026072902,0-999,CC-B-R12-S-Q3,STAGE11-1200,coarse,TARGET_ERRORS_REACHED,5
R12,-3,-3,0.096301674258987724,0.49019607843137253,0.99763115748443987,Q3,3,1.5,0.5,1000,49525,981,0.16508333333333333,0.98099999999999998,0.16375912622318334,0.16641611745754492,0.97051554408768681,0.98780311424920908,351.04220000000009,370.30000000000001,435.69999999999999,1049.0999999999999,230,512,58752,59494,191876,31.352287581699347,252534,41.26372549019608,0,0,0.1597817432438762,0.01552795031055902,2026072001,2026072902,0-999,CC-B-R12-S-Q3,STAGE11-1200,coarse,TARGET_ERRORS_REACHED,5
R12,-2.5,-2.5,0.59630167425898772,0.49019607843137253,0.88913970501946138,Q3,3,1.5,0.5,1000,30056,924,0.10018666666666666,0.92400000000000004,0.099117374307120046,0.10126619800481097,0.90590435687595172,0.93885055192829769,354.92269999999968,370.69999999999999,457,2535.5,230,512,58752,59494,184255,30.107026143790851,246655,40.303104575163395,0,0,0.24414272704694095,0.066974595842956175,2026072001,2026072902,0-999,CC-B-R12-S-Q3,STAGE11-1200,coarse,TARGET_ERRORS_REACHED,5
R12,-2,-2,1.0963016742589877,0.49019607843137253,0.79244659623055669,Q3,3,1.5,0.5,1000,15083,752,0.050276666666666664,0.752,0.049500476555546104,0.051064373921416488,0.72430355802502444,0.77776775569825574,348.94600000000003,362.10000000000002,438.30000000000001,1125.7,230,512,58752,59494,176633,28.861601307189542,241345,39.435457516339866,0,0,0.31167927645882232,0.12406576980568006,2026072001,2026072902,0-999,CC-B-R12-S-Q3,STAGE11-1200,coarse,TARGET_ERRORS_REACHED,5
R12,-1.5,-1.5,1.5963016742589877,0.49019607843137253,0.70626877231137719,Q3,3,1.5,0.5,1000,6515,510,0.021716666666666665,0.51000000000000001,0.021201183797772798,0.022244398083583715,0.47903749580454597,0.54088596902574282,357.88990000000024,373,453.89999999999998,1267,230,512,58752,59494,169144,27.637908496732027,236200,38.594771241830067,0,0,0.406216274552126,0.29770992366412213,2026072001,2026072902,0-999,CC-B-R12-S-Q3,STAGE11-1200,coarse,TARGET_ERRORS_REACHED,5
R12,-1,-1,2.0963016742589877,0.49019607843137253,0.62946270589708364,Q3,3,1.5,0.5,1123,2654,283,0.0078777085188483226,0.25200356188780054,0.0075847441726197354,0.0081818954590923698,0.22748537731539764,0.27821261095090799,365.22288512911842,373.10000000000002,441.30000000000001,3293.3000000000002,230,512,58752,59494,181460,26.402784325365648,259580,37.769396865305936,0,0,0.46710889994472066,0.41500000000000009,2026072001,2026072902,0-1122,CC-B-R12-S-Q3,STAGE11-1200,coarse,TARGET_ERRORS_REACHED,5
R12,-0.5,-0.5,2.5963016742589877,0.49019607843137253,0.56100922715098167,Q3,3,1.5,0.5,2830,2210,309,0.0026030624263839812,0.10918727915194346,0.0024969045212463502,0.0027137214415517983,0.098222255301353423,0.12121184779045255,358.86508833922318,374,427.5,1283.8,230,512,58752,59494,437957,25.286784914201252,641991,37.067311023349269,0,0,0.61078717201166177,0.54499999999999982,2026072001,2026072902,0-2829,CC-B-R12-S-Q3,STAGE11-1200,coarse,TARGET_ERRORS_REACHED,5
