quantMode,quantBits,worstSnrLossDb,meanDecodeTimeUs,maxTotalMemoryBytes,performanceFirst,balanced,memoryFirst,latencyFirst
Q3,3,0.44155515105551313,426.4266628918886,59494,Q8,Q8,Q4,Q8
Q4,4,0.10278065560984917,407.3096939443966,59570,Q8,Q8,Q4,Q8
Q5,5,0.05745680536183284,393.2976547990634,59647,Q8,Q8,Q4,Q8
Q6,6,0.07061385686474686,389.44457140701377,59723,Q8,Q8,Q4,Q8
Q7,7,0.010672574165030646,386.0829521747488,59800,Q8,Q8,Q4,Q8
Q8,8,0.008129576081355783,385.4318904678144,59876,Q8,Q8,Q4,Q8
