scheme,comparisonGroup,EsN0Db,burstRatioRequested,burstPositionType,configurationCount,payloadChecksumCount,noiseChecksumCount,burstStartChecksumCount,frameSequenceHashCount,payloadChecksum,noiseChecksum,burstStartChecksum,frameSequenceHash,status,notes
BCH,BCH_EsN0_-4.5_burst_0.050000000000000003_MIDDLE,-4.5,0.050000000000000003,MIDDLE,4,1,1,1,1,a5161cb90e181024a22b332ee00f0ba448920691fe4029d32fb70ab1aa8ab47a,ad4df377423473f0f6832ab789f2744e7b56f3e5f2398a4924302a0bd26d052f,eecbe5c6e2faa2eaa90c72f480c4da70b630bad6e21f1096df1832da225a9b34,c76dd6f3c17103439dfb85094b25f725c8a46fabf6288b0b9e6743774739eb3e,PASS,"All four interleaver configurations share payload, noise, burst start and frame sequence."
BCH,BCH_EsN0_-4.5_burst_0.050000000000000003_QUARTER,-4.5,0.050000000000000003,QUARTER,4,1,1,1,1,a5161cb90e181024a22b332ee00f0ba448920691fe4029d32fb70ab1aa8ab47a,ad4df377423473f0f6832ab789f2744e7b56f3e5f2398a4924302a0bd26d052f,6c2047f02728e589aa4cc9f7ea764577324ca4879307753db30c1b1d4701fb08,c76dd6f3c17103439dfb85094b25f725c8a46fabf6288b0b9e6743774739eb3e,PASS,"All four interleaver configurations share payload, noise, burst start and frame sequence."
BCH,BCH_EsN0_-4.5_burst_0.050000000000000003_RANDOM,-4.5,0.050000000000000003,RANDOM,4,1,1,1,1,a5161cb90e181024a22b332ee00f0ba448920691fe4029d32fb70ab1aa8ab47a,ad4df377423473f0f6832ab789f2744e7b56f3e5f2398a4924302a0bd26d052f,c3c4212eb868db0e0af807d21e860a441ec5c887dc2473dce4e48ae84cc9b9de,c76dd6f3c17103439dfb85094b25f725c8a46fabf6288b0b9e6743774739eb3e,PASS,"All four interleaver configurations share payload, noise, burst start and frame sequence."
BCH,BCH_EsN0_-4.5_burst_0.050000000000000003_TAIL,-4.5,0.050000000000000003,TAIL,4,1,1,1,1,a5161cb90e181024a22b332ee00f0ba448920691fe4029d32fb70ab1aa8ab47a,ad4df377423473f0f6832ab789f2744e7b56f3e5f2398a4924302a0bd26d052f,c390134458f0c8f52072cf2e375b1a4c88b3f34d30221896997dc2b984035c9d,c76dd6f3c17103439dfb85094b25f725c8a46fabf6288b0b9e6743774739eb3e,PASS,"All four interleaver configurations share payload, noise, burst start and frame sequence."
BCH,BCH_EsN0_-4.5_burst_0.050000000000000003_THREE_QUARTER,-4.5,0.050000000000000003,THREE_QUARTER,4,1,1,1,1,a5161cb90e181024a22b332ee00f0ba448920691fe4029d32fb70ab1aa8ab47a,ad4df377423473f0f6832ab789f2744e7b56f3e5f2398a4924302a0bd26d052f,adcaeb146f8849a0b0b76009d43bdcb10b82f8d7d357e21a665ffddafe5f0c90,c76dd6f3c17103439dfb85094b25f725c8a46fabf6288b0b9e6743774739eb3e,PASS,"All four interleaver configurations share payload, noise, burst start and frame sequence."
BCH,BCH_EsN0_-4.5_burst_0.10000000000000001_HEAD,-4.5,0.10000000000000001,HEAD,4,1,1,1,1,a5161cb90e181024a22b332ee00f0ba448920691fe4029d32fb70ab1aa8ab47a,ad4df377423473f0f6832ab789f2744e7b56f3e5f2398a4924302a0bd26d052f,c0d9da1fa82d0fcd8ead7d95361036afbb66360e3ddbd3b62e877a318d2e7300,c76dd6f3c17103439dfb85094b25f725c8a46fabf6288b0b9e6743774739eb3e,PASS,"All four interleaver configurations share payload, noise, burst start and frame sequence."
BCH,BCH_EsN0_-4.5_burst_0.10000000000000001_MIDDLE,-4.5,0.10000000000000001,MIDDLE,4,1,1,1,1,a5161cb90e181024a22b332ee00f0ba448920691fe4029d32fb70ab1aa8ab47a,ad4df377423473f0f6832ab789f2744e7b56f3e5f2398a4924302a0bd26d052f,7d4c6e35daa2ff6d0990de4339551453c5cb57bb0f12e2f32aba9e6f5abe3abf,c76dd6f3c17103439dfb85094b25f725c8a46fabf6288b0b9e6743774739eb3e,PASS,"All four interleaver configurations share payload, noise, burst start and frame sequence."
BCH,BCH_EsN0_-4.5_burst_0.10000000000000001_QUARTER,-4.5,0.10000000000000001,QUARTER,4,1,1,1,1,a5161cb90e181024a22b332ee00f0ba448920691fe4029d32fb70ab1aa8ab47a,ad4df377423473f0f6832ab789f2744e7b56f3e5f2398a4924302a0bd26d052f,40895591b69e5351625ed98be6c29e9c9bbdad64208c89187e60f62cd8a1a3c5,c76dd6f3c17103439dfb85094b25f725c8a46fabf6288b0b9e6743774739eb3e,PASS,"All four interleaver configurations share payload, noise, burst start and frame sequence."
BCH,BCH_EsN0_-4.5_burst_0.10000000000000001_RANDOM,-4.5,0.10000000000000001,RANDOM,4,1,1,1,1,a5161cb90e181024a22b332ee00f0ba448920691fe4029d32fb70ab1aa8ab47a,ad4df377423473f0f6832ab789f2744e7b56f3e5f2398a4924302a0bd26d052f,9acdf24f600dcf39468fde9c4dd0aae7c6e6af8db6b308ee7b7e7eccb0827d99,c76dd6f3c17103439dfb85094b25f725c8a46fabf6288b0b9e6743774739eb3e,PASS,"All four interleaver configurations share payload, noise, burst start and frame sequence."
BCH,BCH_EsN0_-4.5_burst_0.10000000000000001_TAIL,-4.5,0.10000000000000001,TAIL,4,1,1,1,1,a5161cb90e181024a22b332ee00f0ba448920691fe4029d32fb70ab1aa8ab47a,ad4df377423473f0f6832ab789f2744e7b56f3e5f2398a4924302a0bd26d052f,200d497cfbeccea8e8b689e65ed36ae1725394120f7262502b6b29c77d328082,c76dd6f3c17103439dfb85094b25f725c8a46fabf6288b0b9e6743774739eb3e,PASS,"All four interleaver configurations share payload, noise, burst start and frame sequence."
