scheme,configuration,payloadBits,transmittedBits,actualRate,decoder,interleaver,channel,selectedEsN0Db,FER,BER,decodeCpuNsPerFrame,role
CC,CC_NO_BURST_AWGN,300,612,0.49019607843137253,TERMINATED_FLOAT_SOFT_VITERBI,NONE,NO_BURST_AWGN,0.5,0.0048944032498837581,7.2926608423267997e-05,428650.00524313963,无交织、无突发、近码率AWGN参考
LDPC,LDPC_BG2_K300_N640_DIRECT_LAYERED_NMS_A0P80,300,640,0.46875,DIRECT_LAYERED_NMS_ALPHA_0P80_MAXITER32,NONE,NO_BURST_AWGN,0.5,6e-05,1e-06,93743.16207522614,无交织、无突发、近码率AWGN参考
