stageId,caseId,displayName,legendLabel,styleId,payloadLength,motherN,motherK,motherT,blockCount,encodedLength,actualRate,ebn0Index,ebn0Db,snrLinear,snrDb,sigma2,masterSeed,totalFrames,totalPayloadBits,payloadErrorBits,payloadErrorFrames,decoderFailureFrames,miscorrectionFrames,undetectedErrorFrames,trueSuccessFrames,ber,fer,encodeTimeTotalNs,decodeTimeTotalNs,encodeTimeMeanNs,decodeTimeMeanNs,decodeTimeP50Ns,decodeTimeP95Ns,decodeTimeP99Ns,decodeTimeMaxNs,noiseChecksum,stopReason
stage05_awgn_trial,K200_S15,BCH15分块200,分块200,STYLE_1,200,15,11,1,19,285,0.70175438596491224,0,4.5,3.9556251666869522,5.9721513131945212,0.25280453982892254,2026072705,500,100000,967,290,0,290,0,210,0.0096699999999999998,0.57999999999999996,1777100,3848500,3554,7697,6600,10700,15700,57200,10493946542479514606,SMOKE_FIXED_FRAMES
stage05_awgn_trial,K200_S15,BCH15分块200,分块200,STYLE_1,200,15,11,1,19,285,0.70175438596491224,1,6.5,6.2692433986100093,7.9721513131945212,0.15950888112299419,2026072705,500,100000,83,34,0,34,0,466,0.00083000000000000001,0.068000000000000005,1901300,3821600,3802,7643,6100,10400,13800,44700,11538486044985889065,SMOKE_FIXED_FRAMES
stage05_awgn_trial,K200_S15,BCH15分块200,分块200,STYLE_1,200,15,11,1,19,285,0.70175438596491224,2,8.5,9.9360811843387769,9.9721513131945212,0.10064330005437125,2026072705,500,100000,0,0,0,0,0,500,0,0,1544100,3134400,3088,6268,5600,9500,10500,47900,2171007816737240845,SMOKE_FIXED_FRAMES
stage05_awgn_trial,K200_M255K207,BCH255整块200,255整块200,STYLE_2,200,255,207,6,1,248,0.80645161290322576,0,3.5,3.6108405460779669,5.5760831050174611,0.27694382713359716,2026072705,500,100000,2012,283,283,0,0,217,0.020119999999999999,0.56599999999999995,2171400,9530600,4342,19061,17000,23400,40500,185100,2691576424070846719,SMOKE_FIXED_FRAMES
stage05_awgn_trial,K200_M255K207,BCH255整块200,255整块200,STYLE_2,200,255,207,6,1,248,0.80645161290322576,1,4.7000000000000002,4.760014881719977,6.7760831050174612,0.21008337680630557,2026072705,500,100000,251,41,41,0,0,459,0.0025100000000000001,0.082000000000000003,1901300,8053400,3802,16106,15500,23200,38700,70800,7739025103095940740,SMOKE_FIXED_FRAMES
stage05_awgn_trial,K200_M255K207,BCH255整块200,255整块200,STYLE_2,200,255,207,6,1,248,0.80645161290322576,2,6,6.421083396024148,8.0760831050174602,0.155736958753594,2026072705,500,100000,0,0,0,0,0,500,0,0,1891100,6607200,3782,13214,12300,18700,29200,78500,6630428805415681224,SMOKE_FIXED_FRAMES
stage05_awgn_trial,K200_M511K421,BCH421整块200,421整块200,STYLE_3,200,511,421,10,1,290,0.68965517241379315,0,3,2.7520859516812135,4.3966199342900634,0.36336074437977239,2026072705,500,100000,4342,421,421,0,0,79,0.04342,0.84199999999999997,2186400,23205000,4372,46410,45100,55100,75000,140100,5541219767345461539,SMOKE_FIXED_FRAMES
stage05_awgn_trial,K200_M511K421,BCH421整块200,421整块200,STYLE_3,200,511,421,10,1,290,0.68965517241379315,1,4.5,3.8874247327785572,5.8966199342900634,0.25723970719434219,2026072705,500,100000,396,48,48,0,0,452,0.00396,0.096000000000000002,2315900,19842000,4631,39684,38700,53800,82900,122700,1294178478279202275,SMOKE_FIXED_FRAMES
stage05_awgn_trial,K200_M511K421,BCH421整块200,421整块200,STYLE_3,200,511,421,10,1,290,0.68965517241379315,2,6,5.4911333869447896,7.3966199342900634,0.18211176628444456,2026072705,500,100000,0,0,0,0,0,500,0,0,2145500,13832200,4291,27664,26100,38000,45000,205100,9767760550454170027,SMOKE_FIXED_FRAMES
stage05_awgn_trial,K200_M511K385,BCH385整块200,385整块200,STYLE_4,200,511,385,14,1,326,0.61349693251533743,0,2.5,2.1819379264281262,3.388423912600234,0.45830818003013446,2026072705,500,100000,6960,483,483,0,0,17,0.069599999999999995,0.96599999999999997,2697700,35339700,5395,70679,65300,87500,118800,435400,13417350076011904615,SMOKE_FIXED_FRAMES
stage05_awgn_trial,K200_M511K385,BCH385整块200,385整块200,STYLE_4,200,511,385,14,1,326,0.61349693251533743,1,4,3.0820692411160491,4.888423912600234,0.32445734400110027,2026072705,500,100000,1532,149,149,0,0,351,0.01532,0.29799999999999999,2648700,33366600,5297,66733,63600,84400,100300,430700,10781129533341189920,SMOKE_FIXED_FRAMES
stage05_awgn_trial,K200_M511K385,BCH385整块200,385整块200,STYLE_4,200,511,385,14,1,326,0.61349693251533743,2,5.5,4.3535385182033801,6.388423912600234,0.22969820889805298,2026072705,500,100000,0,0,0,0,0,500,0,0,2574100,24742400,5148,49484,47000,72900,85100,113800,18020294265399970591,SMOKE_FIXED_FRAMES
stage05_awgn_trial,K300_S15,BCH15分块300,分块300,STYLE_1,300,15,11,1,28,420,0.7142857142857143,0,5,4.5175395145262565,6.5490195998574317,0.22135943621178655,2026072705,500,150000,792,255,0,255,0,245,0.00528,0.51000000000000001,2392600,5590700,4785,11181,9600,16100,23500,56500,4981285133780933023,SMOKE_FIXED_FRAMES
stage05_awgn_trial,K300_S15,BCH15分块300,分块300,STYLE_1,300,15,11,1,28,420,0.7142857142857143,1,7,7.1598176232467452,8.5490195998574325,0.1396683620478216,2026072705,500,150000,35,14,0,14,0,486,0.00023333333333333333,0.028000000000000001,2143900,4730900,4287,9461,8600,12700,16900,131700,10724039135085188376,SMOKE_FIXED_FRAMES
stage05_awgn_trial,K300_S15,BCH15分块300,分块300,STYLE_1,300,15,11,1,28,420,0.7142857142857143,2,9,11.347546210346881,10.549019599857433,0.088124778825591693,2026072705,500,150000,0,0,0,0,0,500,0,0,2361100,4901200,4722,9802,8400,14100,18700,97800,9664821106809730825,SMOKE_FIXED_FRAMES
stage05_awgn_trial,K300_M255K207,BCH255双块300,255双块300,STYLE_2,300,255,207,6,2,396,0.75757575757575757,0,3.5,3.3920017251035444,5.3045606445813132,0.2948111708196357,2026072705,500,150000,3025,361,361,0,0,139,0.020166666666666666,0.72199999999999998,5163000,32360800,10326,64721,41400,56900,143100,10979500,16212198682780897596,SMOKE_FIXED_FRAMES
stage05_awgn_trial,K300_M255K207,BCH255双块300,255双块300,STYLE_2,300,255,207,6,2,396,0.75757575757575757,1,5,4.7913297881339085,6.8045606445813132,0.20871032557111302,2026072705,500,150000,145,27,27,0,0,473,0.00096666666666666667,0.053999999999999999,4430900,19301700,8861,38603,33700,46100,133000,1393200,8730276128689741156,SMOKE_FIXED_FRAMES
stage05_awgn_trial,K300_M255K207,BCH255双块300,255双块300,STYLE_2,300,255,207,6,2,396,0.75757575757575757,2,6.5,6.7679332144085329,8.3045606445813132,0.1477555951455104,2026072705,500,150000,0,0,0,0,0,500,0,0,4141200,15480200,8282,30960,28500,41100,73800,473700,15860138349321114044,SMOKE_FIXED_FRAMES
stage05_awgn_trial,K300_M511K421,BCH421整块300,421整块300,STYLE_3,300,511,421,10,1,390,0.76923076923076927,0,4,3.8644406638608926,5.8708664335714449,0.25876966085977321,2026072705,500,150000,1897,188,188,0,0,312,0.012646666666666667,0.376,4398100,29321700,8796,58643,52300,75600,221900,554700,435837686106130809,SMOKE_FIXED_FRAMES
stage05_awgn_trial,K300_M511K421,BCH421整块300,421整块300,STYLE_3,300,511,421,10,1,390,0.76923076923076927,1,4.7999999999999998,4.6460795698492561,6.6708664335714438,0.21523522896368419,2026072705,500,150000,175,19,19,0,0,481,0.0011666666666666668,0.037999999999999999,3261100,23015900,6522,46031,43400,67300,83900,205100,11216749713818207778,SMOKE_FIXED_FRAMES
stage05_awgn_trial,K300_M511K421,BCH421整块300,421整块300,STYLE_3,300,511,421,10,1,390,0.76923076923076927,2,5.5,5.4586675266703928,7.3708664335714449,0.18319489053218946,2026072705,500,150000,7,1,1,0,0,499,4.6666666666666665e-05,0.002,2772500,18212700,5545,36425,35100,49100,62300,71900,5020917877277881175,SMOKE_FIXED_FRAMES
stage05_awgn_trial,K300_M511K385,BCH385整块300,385整块300,STYLE_4,300,511,385,14,1,426,0.70422535211267601,0,3,2.8102286126322245,4.4874165128092471,0.35584293587536336,2026072705,500,150000,6568,454,454,0,0,46,0.043786666666666668,0.90800000000000003,3224700,37376800,6449,74753,70900,88800,120100,155200,14596636192973789960,SMOKE_FIXED_FRAMES
stage05_awgn_trial,K300_M511K385,BCH385整块300,385整块300,STYLE_4,300,511,385,14,1,426,0.70422535211267601,1,4.5,3.9695534243161319,5.9874165128092471,0.25191750635583859,2026072705,500,150000,362,31,31,0,0,469,0.0024133333333333333,0.062,3059500,32205600,6119,64411,62300,86000,157900,363200,941207009436828114,SMOKE_FIXED_FRAMES
stage05_awgn_trial,K300_M511K385,BCH385整块300,385整块300,STYLE_4,300,511,385,14,1,426,0.70422535211267601,2,6,5.6071432472323552,7.4874165128092471,0.17834393663718021,2026072705,500,150000,0,0,0,0,0,500,0,0,2907000,23238200,5814,46476,44400,60500,72300,379800,12587918864402497600,SMOKE_FIXED_FRAMES
