organization,rateCase,snrDb,relativeOffset,bitErrors,bits,BER,berCiLow,berCiHigh,gridLayer
B_CONT_50x6,R12,-2,-10,0,5,0,0,0.434482,dense
B_CONT_50x6,R12,-2,-9,0,5,0,0,0.434482,dense
B_CONT_50x6,R12,-2,-8,0,5,0,0,0.434482,dense
B_CONT_50x6,R12,-2,-7,0,5,0,0,0.434482,dense
B_CONT_50x6,R12,-2,-6,0,5,0,0,0.434482,dense
B_CONT_50x6,R12,-2,-5,0,5,0,0,0.434482,dense
B_CONT_50x6,R12,-2,-4,0,5,0,0,0.434482,dense
B_CONT_50x6,R12,-2,-3,0,5,0,0,0.434482,dense
B_CONT_50x6,R12,-2,-2,0,5,0,0,0.434482,dense
B_CONT_50x6,R12,-2,-1,0,5,0,0,0.434482,dense
B_CONT_50x6,R12,-2,0,0,5,0,0,0.434482,dense
B_CONT_50x6,R12,-2,1,0,5,0,0,0.434482,dense
B_CONT_50x6,R12,-2,2,0,5,0,0,0.434482,dense
B_CONT_50x6,R12,-2,3,0,5,0,0,0.434482,dense
B_CONT_50x6,R12,-2,4,0,5,0,0,0.434482,dense
B_CONT_50x6,R12,-2,5,0,5,0,0,0.434482,dense
B_CONT_50x6,R12,-2,6,0,5,0,0,0.434482,dense
B_CONT_50x6,R12,-2,7,0,5,0,0,0.434482,dense
B_CONT_50x6,R12,-2,8,0,5,0,0,0.434482,dense
B_CONT_50x6,R12,-2,9,0,5,0,0,0.434482,dense
C_CONT_100x3,R12,-2,-10,0,2,0,0,0.65762,dense
C_CONT_100x3,R12,-2,-9,0,2,0,0,0.65762,dense
C_CONT_100x3,R12,-2,-8,0,2,0,0,0.65762,dense
C_CONT_100x3,R12,-2,-7,0,2,0,0,0.65762,dense
C_CONT_100x3,R12,-2,-6,0,2,0,0,0.65762,dense
C_CONT_100x3,R12,-2,-5,0,2,0,0,0.65762,dense
C_CONT_100x3,R12,-2,-4,0,2,0,0,0.65762,dense
C_CONT_100x3,R12,-2,-3,0,2,0,0,0.65762,dense
C_CONT_100x3,R12,-2,-2,0,2,0,0,0.65762,dense
C_CONT_100x3,R12,-2,-1,0,2,0,0,0.65762,dense
C_CONT_100x3,R12,-2,0,0,2,0,0,0.65762,dense
C_CONT_100x3,R12,-2,1,0,2,0,0,0.65762,dense
C_CONT_100x3,R12,-2,2,0,2,0,0,0.65762,dense
C_CONT_100x3,R12,-2,3,0,2,0,0,0.65762,dense
C_CONT_100x3,R12,-2,4,0,2,0,0,0.65762,dense
C_CONT_100x3,R12,-2,5,0,2,0,0,0.65762,dense
C_CONT_100x3,R12,-2,6,0,2,0,0,0.65762,dense
C_CONT_100x3,R12,-2,7,0,2,0,0,0.65762,dense
C_CONT_100x3,R12,-2,8,0,2,0,0,0.65762,dense
C_CONT_100x3,R12,-2,9,0,2,0,0,0.65762,dense
D_CONT_150x2,R12,-2,-10,0,1,0,0,0.793451,dense
D_CONT_150x2,R12,-2,-9,0,1,0,0,0.793451,dense
D_CONT_150x2,R12,-2,-8,0,1,0,0,0.793451,dense
D_CONT_150x2,R12,-2,-7,0,1,0,0,0.793451,dense
D_CONT_150x2,R12,-2,-6,0,1,0,0,0.793451,dense
D_CONT_150x2,R12,-2,-5,0,1,0,0,0.793451,dense
D_CONT_150x2,R12,-2,-4,0,1,0,0,0.793451,dense
D_CONT_150x2,R12,-2,-3,0,1,0,0,0.793451,dense
D_CONT_150x2,R12,-2,-2,0,1,0,0,0.793451,dense
D_CONT_150x2,R12,-2,-1,0,1,0,0,0.793451,dense
D_CONT_150x2,R12,-2,0,0,1,0,0,0.793451,dense
D_CONT_150x2,R12,-2,1,0,1,0,0,0.793451,dense
D_CONT_150x2,R12,-2,2,0,1,0,0,0.793451,dense
D_CONT_150x2,R12,-2,3,0,1,0,0,0.793451,dense
D_CONT_150x2,R12,-2,4,0,1,0,0,0.793451,dense
D_CONT_150x2,R12,-2,5,0,1,0,0,0.793451,dense
D_CONT_150x2,R12,-2,6,0,1,0,0,0.793451,dense
D_CONT_150x2,R12,-2,7,0,1,0,0,0.793451,dense
D_CONT_150x2,R12,-2,8,0,1,0,0,0.793451,dense
D_CONT_150x2,R12,-2,9,0,1,0,0,0.793451,dense
