organization,rateCase,snrDb,esN0Db,ebN0Db,actualRate,sigmaSquared,slotBits,slotCount,frames,bitErrors,frameErrors,BER,FER,berCiLow,berCiHigh,ferCiLow,ferCiHigh,boundaryBER,nonBoundaryBER,boundaryToNonBoundaryRatio,firstOutputDelaySymbols,avgDecisionDelaySymbols,medianDecisionDelaySymbols,p95DecisionDelaySymbols,maxDecisionDelaySymbols,fullFrameLastDecisionSymbol,steadyOutputIntervalMean,steadyOutputIntervalP95,outputBatchCount,slotTriggerCount,windowTriggerCount,peakRxBufferSymbols,avgRxBufferSymbols,avgDecodeTimeUs,p95DecodeTimeUs,normalizedGoodput,transmittedBits,totalMemoryBytes,ACSCount,tracebackOperations,schemeExecutionDigest,payloadSeed,noiseSeed,frameIndex,caseId,sourceNoiseId,boundaryStatus,gridLayer,stopReason
A_BLOCK_300,R12,-2,-2,1.0963016742589877,0.49019607843137253,0.79244659623055669,300,1,1,0,0,0,0,0,0.012642971224546036,0,0.79345068562276255,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,610,311,310,580,610,611,0,0,1,1,0,612,612,273.19999999999999,273.19999999999999,0.49019607843137253,612,59776,39168,306,13018336684683964808,2026072001,2026072904,0-0,CC-O-R12-A_BLOCK_300,STAGE14-1200,NOT_APPLICABLE,dense,MAX_FRAMES_REACHED
B_CONT_50x6,R12,-2,-2,1.0963016742589877,0.49019607843137253,0.79244659623055669,50,6,1,0,0,0,0,0,0.012642971224546036,0,0.79345068562276255,0,0,0,198,187.26666666666668,200,268,290,611,103,112,15,5,15,292,234.66666666666666,1073.7,1073.7,0.49019607843137253,612,19968,181886,1286,104351314468508657,2026072001,2026072904,0-0,CC-O-R12-B_CONT_50x6,STAGE14-1200,APPLICABLE,dense,MAX_FRAMES_REACHED
C_CONT_100x3,R12,-2,-2,1.0963016742589877,0.49019607843137253,0.79244659623055669,100,3,1,0,0,0,0,0,0.012642971224546036,0,0.79345068562276255,0,0,0,198,221.18666666666667,226,362,386,611,206,212,15,3,15,388,318.66666666666669,1052,1052,0.49019607843137253,612,19968,181886,1286,4519244460618871703,2026072001,2026072904,0-0,CC-O-R12-C_CONT_100x3,STAGE14-1200,APPLICABLE,dense,MAX_FRAMES_REACHED
D_CONT_150x2,R12,-2,-2,1.0963016742589877,0.49019607843137253,0.79244659623055669,150,2,1,0,0,0,0,0,0.012642971224546036,0,0.79345068562276255,0,0,0,298,244.44,240,452,482,611,312,312,15,2,15,484,392,1045.4000000000001,1045.4000000000001,0.49019607843137253,612,19968,181886,1286,13919096795646304341,2026072001,2026072904,0-0,CC-O-R12-D_CONT_150x2,STAGE14-1200,APPLICABLE,dense,MAX_FRAMES_REACHED
