scheme,rateCase,snrDb,relativeOffset,bitErrors,bits,BER
B_CONT_50x6,R12,0,-10,1,5000,0.0002
B_CONT_50x6,R12,0,-9,1,5000,0.0002
B_CONT_50x6,R12,0,-8,1,5000,0.0002
B_CONT_50x6,R12,0,-7,1,5000,0.0002
B_CONT_50x6,R12,0,-6,1,5000,0.0002
B_CONT_50x6,R12,0,-5,1,5000,0.0002
B_CONT_50x6,R12,0,-4,2,5000,0.0004
B_CONT_50x6,R12,0,-3,0,5000,0
B_CONT_50x6,R12,0,-2,1,5000,0.0002
B_CONT_50x6,R12,0,-1,2,5000,0.0004
B_CONT_50x6,R12,0,0,2,5000,0.0004
B_CONT_50x6,R12,0,1,2,5000,0.0004
B_CONT_50x6,R12,0,2,0,5000,0
B_CONT_50x6,R12,0,3,0,5000,0
B_CONT_50x6,R12,0,4,1,5000,0.0002
B_CONT_50x6,R12,0,5,1,5000,0.0002
B_CONT_50x6,R12,0,6,1,5000,0.0002
B_CONT_50x6,R12,0,7,1,5000,0.0002
B_CONT_50x6,R12,0,8,2,5000,0.0004
B_CONT_50x6,R12,0,9,1,5000,0.0002
C_CONT_100x3,R12,0,-10,1,2000,0.0005
C_CONT_100x3,R12,0,-9,1,2000,0.0005
C_CONT_100x3,R12,0,-8,1,2000,0.0005
C_CONT_100x3,R12,0,-7,1,2000,0.0005
C_CONT_100x3,R12,0,-6,1,2000,0.0005
C_CONT_100x3,R12,0,-5,0,2000,0
C_CONT_100x3,R12,0,-4,1,2000,0.0005
C_CONT_100x3,R12,0,-3,0,2000,0
C_CONT_100x3,R12,0,-2,1,2000,0.0005
C_CONT_100x3,R12,0,-1,1,2000,0.0005
C_CONT_100x3,R12,0,0,1,2000,0.0005
C_CONT_100x3,R12,0,1,1,2000,0.0005
C_CONT_100x3,R12,0,2,0,2000,0
C_CONT_100x3,R12,0,3,0,2000,0
C_CONT_100x3,R12,0,4,0,2000,0
C_CONT_100x3,R12,0,5,0,2000,0
C_CONT_100x3,R12,0,6,0,2000,0
C_CONT_100x3,R12,0,7,0,2000,0
C_CONT_100x3,R12,0,8,0,2000,0
C_CONT_100x3,R12,0,9,0,2000,0
D_CONT_150x2,R12,0,-10,0,1000,0
D_CONT_150x2,R12,0,-9,0,1000,0
D_CONT_150x2,R12,0,-8,0,1000,0
D_CONT_150x2,R12,0,-7,0,1000,0
D_CONT_150x2,R12,0,-6,0,1000,0
D_CONT_150x2,R12,0,-5,1,1000,0.001
