scheme,rateCase,snrDb,slotBits,slotCount,frames,bitErrors,frameErrors,BER,FER,boundaryBitErrors,boundaryBits,boundaryBER,nonBoundaryBER,headBER,middleBER,tailBER,firstOutputDelaySymbols,avgDecisionDelaySymbols,p95DecisionDelaySymbols,maxDecisionDelaySymbols,fullFrameCompletionSymbols,steadyOutputIntervalSymbols,avgDecodeTimeUs,p95DecodeTimeUs,maxDecodeTimeUs,normalizedGoodput,transmittedBits,tailOverheadBits,repeatedTailBitsAvoided,windowBufferBytes,survivorMemoryBytes,ACSCount,tracebackOperations,schemeExecutionDigest
A_BLOCK_300,R12,0,300,1,1000,102,16,0.00034000000000000002,0.016,0,0,0,0.00034000000000000002,0.00022857142857142857,0.00031250000000000001,0.0005142857142857143,611,461.5,596,611,611,611,295.20420000000001,402.39999999999998,1048.4000000000001,0.48235294117647054,612,6,0,0,58752,39168000,306000,9450510713562636091
B_CONT_50x6,R12,0,50,6,1000,102,16,0.00034000000000000002,0.016,22,100000,0.00022000000000000001,0.00040000000000000002,0.00022857142857142857,0.00031250000000000001,0.0005142857142857143,191,296.5,381,391,611,50,323.01180000000005,441.80000000000001,1139.5,0.48235294117647054,612,6,30,1536,18432,38526000,1170000,13303870852352802547
C_CONT_100x3,R12,0,100,3,1000,102,16,0.00034000000000000002,0.016,10,40000,0.00025000000000000001,0.00035384615384615386,0.00022857142857142857,0.00031250000000000001,0.0005142857142857143,191,296.5,381,391,611,100,321.83799999999962,444,1491.5999999999999,0.48235294117647054,612,6,12,1536,18432,38526000,1170000,4962450968295018243
D_CONT_150x2,R12,0,150,2,1000,102,16,0.00034000000000000002,0.016,10,20000,0.00050000000000000001,0.00032857142857142856,0.00022857142857142857,0.00031250000000000001,0.0005142857142857143,191,296.5,381,391,611,150,329.2122999999998,441.19999999999999,6762.1000000000004,0.48235294117647054,612,6,6,1536,18432,38526000,1170000,5596651542708682903
A_BLOCK_300,R23,1,300,1,1000,1042,88,0.0034733333333333335,0.087999999999999995,0,0,0,0.0034733333333333335,0.0033285714285714286,0.0039562499999999997,0.0025142857142857141,458,308.5,443,458,458,458,276.6859,386,850.60000000000002,0.59607843137254901,459,6,0,0,58752,39168000,306000,10513179892356530307
B_CONT_50x6,R23,1,50,6,1000,1057,89,0.0035233333333333332,0.088999999999999996,415,100000,0.00415,0.0032100000000000002,0.0035285714285714287,0.0039624999999999999,0.0025142857142857141,143,184.91666666666666,231,243,458,50,286.6267000000002,404,956.79999999999995,0.59542483660130718,459,6,30,1536,18432,38526000,1170000,13357948337771691811
C_CONT_100x3,R23,1,100,3,1000,1057,89,0.0035233333333333332,0.088999999999999996,161,40000,0.0040249999999999999,0.0034461538461538462,0.0035285714285714287,0.0039624999999999999,0.0025142857142857141,143,184.91666666666666,231,243,458,100,280.62629999999996,387.30000000000001,591.89999999999998,0.59542483660130718,459,6,12,1536,18432,38526000,1170000,16495298772491065035
D_CONT_150x2,R23,1,150,2,1000,1057,89,0.0035233333333333332,0.088999999999999996,80,20000,0.0040000000000000001,0.0034892857142857143,0.0035285714285714287,0.0039624999999999999,0.0025142857142857141,143,184.91666666666666,231,243,458,150,279.06469999999973,386.80000000000001,571.60000000000002,0.59542483660130718,459,6,6,1536,18432,38526000,1170000,8492177088723950243
