phase,caseId,snrDb,esN0Db,ebN0Db,actualRate,sigmaSquared,N_transmitted,frameStart,frameEndExclusive,framesProcessed,frameSequenceDigest,payloadBitErrors,payloadErrorFrames,BER,FER,payloadSuccessRate,avgEncodeTime_us,maxEncodeTime_us,avgDecodeTime_us,p95DecodeTime_us,maxDecodeTime_us,rawDecodeThroughput_Mbps,successfulDecodeThroughput_Mbps,normalizedGoodput,stopReason,berCiLow,berCiHigh,ferCiLow,ferCiHigh,berZeroErrorUpper95,ferZeroErrorUpper95,gridLayer,sourceRun,sourceCommit,runDate,minFrames,targetFrameErrors,maxFrames,checkpointIntervalFrames,payloadSeed,noiseSeed,frameIndex,sourceNoiseId,rowId,mergedRowId
formal,CC-B-R12-H,-2.5,-2.5,0.59630167425898772,0.49019607843137253,0.88913970501946138,612,0,1000,1000,11397846946697916867,90754,1000,0.30251333333333336,1,0,4.7675999999999998,105.09999999999999,282.03270000000037,455.5,1561.5999999999999,1.0637064425508092,0,0,TARGET_ERRORS_REACHED,0.3008721512759601,0.3041595729052634,0.996173241514445,1.0,,,coarse_20260729,runtime/revision_20260729_coarse/unit_005.csv,6cda1f14f29a8cbe42ad3dcdc8a443ab35368b58,2026-07-29,1000,200,50000,1000,2026072001,2026072001,0-999,STAGE09-1200,coarse-010,merged-005
formal,CC-B-R12-S,-2.5,-2.5,0.59630167425898772,0.49019607843137253,0.88913970501946138,612,0,1000,1000,11397846946697916867,24497,896,0.081656666666666669,0.89600000000000002,0.10399999999999998,4.7675999999999998,105.09999999999999,336.80869999999976,549.10000000000002,1347.0999999999999,0.89071333371139227,0.092634186705984778,0.050980392156862731,TARGET_ERRORS_REACHED,0.08068210587930856,0.082641940974759,0.8755402353777084,0.9134289719017319,,,coarse_20260729,runtime/revision_20260729_coarse/unit_005.csv,6cda1f14f29a8cbe42ad3dcdc8a443ab35368b58,2026-07-29,1000,200,50000,1000,2026072001,2026072001,0-999,STAGE09-1200,coarse-011,merged-044
formal,CC-B-R12-H,-2,-2,1.0963016742589877,0.49019607843137253,0.79244659623055669,612,0,1000,1000,11397846946697916867,71699,998,0.23899666666666666,0.998,0.0020000000000000018,4.6238999999999937,104.5,294.90860000000015,498.80000000000001,2028.4000000000001,1.01726433206763,0.0020345286641352618,0.00098039215686274595,TARGET_ERRORS_REACHED,0.23747393708037148,0.2405260803910861,0.9927371921365079,0.9994513564118793,,,coarse_20260729,runtime/revision_20260729_coarse/unit_006.csv,6cda1f14f29a8cbe42ad3dcdc8a443ab35368b58,2026-07-29,1000,200,50000,1000,2026072001,2026072001,0-999,STAGE09-1200,coarse-012,merged-006
formal,CC-B-R12-S,-2,-2,1.0963016742589877,0.49019607843137253,0.79244659623055669,612,0,1000,1000,11397846946697916867,11304,671,0.037679999999999998,0.67100000000000004,0.32899999999999996,4.6238999999999937,104.5,355.27660000000003,555.10000000000002,1657.5,0.84441249437762012,0.27781171065023696,0.16127450980392155,TARGET_ERRORS_REACHED,0.037004497672733304,0.038367342063940386,0.6412729638759754,0.6994182847219649,,,coarse_20260729,runtime/revision_20260729_coarse/unit_006.csv,6cda1f14f29a8cbe42ad3dcdc8a443ab35368b58,2026-07-29,1000,200,50000,1000,2026072001,2026072001,0-999,STAGE09-1200,coarse-013,
formal,CC-B-R12-H,-1.5,-1.5,1.5963016742589877,0.49019607843137253,0.70626877231137719,612,0,1000,1000,11397846946697916867,51065,988,0.17021666666666666,0.98799999999999999,0.012000000000000011,4.7273999999999958,113.09999999999999,289.5902999999999,455.89999999999998,1871.2,1.035946300687558,0.012431355608250707,0.0058823529411764757,TARGET_ERRORS_REACHED,0.16887605067950492,0.1715657282063159,0.9791427315245017,0.9931223521935965,,,coarse_20260729,runtime/revision_20260729_coarse/unit_007.csv,6cda1f14f29a8cbe42ad3dcdc8a443ab35368b58,2026-07-29,1000,200,50000,1000,2026072001,2026072001,0-999,STAGE09-1200,coarse-014,merged-007
formal,CC-B-R12-S,-1.5,-1.5,1.5963016742589877,0.49019607843137253,0.70626877231137719,612,0,1000,1000,11397846946697916867,4286,371,0.014286666666666666,0.371,0.629,4.7273999999999958,113.09999999999999,359.10640000000069,571.10000000000002,6342.8999999999996,0.83540699915122485,0.52547100246612044,0.30833333333333335,TARGET_ERRORS_REACHED,0.013868196084455624,0.014717576074724665,0.341606326344111,0.40138097734516226,,,coarse_20260729,runtime/revision_20260729_coarse/unit_007.csv,6cda1f14f29a8cbe42ad3dcdc8a443ab35368b58,2026-07-29,1000,200,50000,1000,2026072001,2026072001,0-999,STAGE09-1200,coarse-015,merged-048
formal,CC-B-R12-H,-1,-1,2.0963016742589877,0.49019607843137253,0.62946270589708364,612,0,1000,1000,11397846946697916867,33001,954,0.11000333333333333,0.95399999999999996,0.046000000000000041,6.0334000000000003,904.89999999999998,309.70490000000029,549.70000000000005,1671.7,0.96866404115659688,0.044558545893203495,0.022549019607843158,TARGET_ERRORS_REACHED,0.1088886672462852,0.1111279870000599,0.9391877960583809,0.9653375072367351,,,coarse_20260729,runtime/revision_20260729_coarse/unit_008.csv,6cda1f14f29a8cbe42ad3dcdc8a443ab35368b58,2026-07-29,1000,200,50000,1000,2026072001,2026072001,0-999,STAGE09-1200,coarse-016,merged-008
formal,CC-B-R12-S,-1,-1,2.0963016742589877,0.49019607843137253,0.62946270589708364,612,0,1129,1129,989346021655226513,1750,200,0.0051668142899320936,0.17714791851195749,0.82285208148804245,5.8368467670504875,904.89999999999998,378.50903454384405,706.10000000000002,1795.4000000000001,0.79258345936588193,0.65217894929220921,0.40335886347453059,TARGET_ERRORS_REACHED,0.004930912753649399,0.005413940271132985,0.15598305768634718,0.2005023584115943,,,coarse_20260729,runtime/revision_20260729_coarse/unit_008.csv,6cda1f14f29a8cbe42ad3dcdc8a443ab35368b58,2026-07-29,1000,200,50000,1000,2026072001,2026072001,0-1128,STAGE09-1200,coarse-017,
formal,CC-B-R12-H,-0.5,-0.5,2.5963016742589877,0.49019607843137253,0.56100922715098167,612,0,1000,1000,11397846946697916867,19126,845,0.063753333333333329,0.84499999999999997,0.15500000000000003,5.3262000000000018,356.19999999999999,297.11540000000008,505,1866.0999999999999,1.009708685581427,0.15650484626512121,0.075980392156862753,TARGET_ERRORS_REACHED,0.06288466028600427,0.06463317839497736,0.821253161260159,0.866106375384808,,,coarse_20260729,runtime/revision_20260729_coarse/unit_009.csv,6cda1f14f29a8cbe42ad3dcdc8a443ab35368b58,2026-07-29,1000,200,50000,1000,2026072001,2026072001,0-999,STAGE09-1200,coarse-018,merged-009
formal,CC-B-R12-S,-0.5,-0.5,2.5963016742589877,0.49019607843137253,0.56100922715098167,612,0,2846,2846,750413348327289540,1317,200,0.0015425158116654954,0.070274068868587489,0.92972593113141255,4.9719606465214232,356.19999999999999,344.71103302881232,560.5,2023.3,0.87029416309667351,0.80913505114328821,0.45574800545657473,TARGET_ERRORS_REACHED,0.0014614851056230758,0.0016280318662303687,0.061450925235730265,0.0802557151707889,,,coarse_20260729,runtime/revision_20260729_coarse/unit_009.csv,6cda1f14f29a8cbe42ad3dcdc8a443ab35368b58,2026-07-29,1000,200,50000,1000,2026072001,2026072001,0-2845,STAGE09-1200,coarse-019,merged-054
formal,CC-B-R12-H,0,0,3.0963016742589877,0.49019607843137253,0.5,612,0,1000,1000,11397846946697916867,9189,640,0.030630000000000001,0.64000000000000001,0.35999999999999999,5.2996000000000034,234.30000000000001,304.95769999999993,538.5,1561.4000000000001,0.98374299124108056,0.35414747684678899,0.1764705882352941,TARGET_ERRORS_REACHED,0.030019381633745484,0.0312526386491809,0.609766237395941,0.6691622702281036,,,coarse_20260729,runtime/revision_20260729_coarse/unit_010.csv,6cda1f14f29a8cbe42ad3dcdc8a443ab35368b58,2026-07-29,1000,200,50000,1000,2026072001,2026072001,0-999,STAGE09-1200,coarse-020,
formal,CC-B-R12-S,0,0,3.0963016742589877,0.49019607843137253,0.5,612,0,9672,9672,7898659074623232899,1035,200,0.00035669975186104221,0.020678246484698098,0.97932175351530193,5.0032154673283395,796,363.34720843672534,537.79999999999995,3116.9000000000001,0.8256565429268824,0.80858341342053663,0.48005968309573621,TARGET_ERRORS_REACHED,0.00033562400679843147,0.0003790984612342971,0.018026707646148256,0.023710381633311163,,,coarse_20260729,runtime/revision_20260729_coarse/unit_010.csv,6cda1f14f29a8cbe42ad3dcdc8a443ab35368b58,2026-07-29,1000,200,50000,1000,2026072001,2026072001,0-9671,STAGE09-1200,coarse-021,
formal,CC-B-R12-H,0.5,0.5,3.5963016742589877,0.49019607843137253,0.44562546906687278,612,0,1000,1000,11397846946697916867,4012,379,0.013373333333333333,0.379,0.621,4.9543999999999961,134.59999999999999,303.63789999999989,509.5,2252.1999999999998,0.98801895283823304,0.61355976971254267,0.30441176470588233,TARGET_ERRORS_REACHED,0.012968480189623018,0.013790648692807028,0.34944843375830026,0.4094776417952041,,,coarse_20260729,runtime/revision_20260729_coarse/unit_011.csv,6cda1f14f29a8cbe42ad3dcdc8a443ab35368b58,2026-07-29,1000,200,50000,1000,2026072001,2026072001,0-999,STAGE09-1200,coarse-022,merged-013
