caseId,targetFer,comparison,snrDifferenceDb,status,leftStatus,rightStatus
K200_S15,0.10000000000000001,BURST_PENALTY,,NOT_COMPARABLE,NOT_REACHED,INTERPOLATED
K200_S15,0.10000000000000001,INTERLEAVER_RECOVERY,,NOT_COMPARABLE,NOT_REACHED,INTERPOLATED
K200_S15,0.01,BURST_PENALTY,,NOT_COMPARABLE,NOT_REACHED,INTERPOLATED
K200_S15,0.01,INTERLEAVER_RECOVERY,,NOT_COMPARABLE,NOT_REACHED,INTERPOLATED
K200_M255K207,0.10000000000000001,BURST_PENALTY,,NOT_COMPARABLE,NOT_REACHED,INTERPOLATED
K200_M255K207,0.10000000000000001,INTERLEAVER_RECOVERY,,NOT_COMPARABLE,NOT_REACHED,NOT_REACHED
K200_M255K207,0.01,BURST_PENALTY,,NOT_COMPARABLE,NOT_REACHED,INTERPOLATED
K200_M255K207,0.01,INTERLEAVER_RECOVERY,,NOT_COMPARABLE,NOT_REACHED,NOT_REACHED
K200_M511K421,0.10000000000000001,BURST_PENALTY,,NOT_COMPARABLE,NOT_REACHED,INTERPOLATED
K200_M511K421,0.10000000000000001,INTERLEAVER_RECOVERY,,NOT_COMPARABLE,NOT_REACHED,NOT_REACHED
K200_M511K421,0.01,BURST_PENALTY,,NOT_COMPARABLE,NOT_REACHED,INTERPOLATED
K200_M511K421,0.01,INTERLEAVER_RECOVERY,,NOT_COMPARABLE,NOT_REACHED,NOT_REACHED
K200_M511K385,0.10000000000000001,BURST_PENALTY,3.2574646319725011,AVAILABLE,INTERPOLATED,INTERPOLATED
K200_M511K385,0.10000000000000001,INTERLEAVER_RECOVERY,-0.04321516491877464,AVAILABLE,INTERPOLATED,INTERPOLATED
K200_M511K385,0.01,BURST_PENALTY,3.5329739834966238,AVAILABLE,INTERPOLATED,INTERPOLATED
K200_M511K385,0.01,INTERLEAVER_RECOVERY,-0.011952841305496342,AVAILABLE,INTERPOLATED,INTERPOLATED
K300_S15,0.10000000000000001,BURST_PENALTY,,NOT_COMPARABLE,NOT_REACHED,INTERPOLATED
K300_S15,0.10000000000000001,INTERLEAVER_RECOVERY,,NOT_COMPARABLE,NOT_REACHED,INTERPOLATED
K300_S15,0.01,BURST_PENALTY,,NOT_COMPARABLE,NOT_REACHED,INTERPOLATED
K300_S15,0.01,INTERLEAVER_RECOVERY,,NOT_COMPARABLE,NOT_REACHED,INTERPOLATED
K300_M255K207,0.10000000000000001,BURST_PENALTY,,NOT_COMPARABLE,NOT_REACHED,INTERPOLATED
K300_M255K207,0.10000000000000001,INTERLEAVER_RECOVERY,,NOT_COMPARABLE,NOT_REACHED,INTERPOLATED
K300_M255K207,0.01,BURST_PENALTY,,NOT_COMPARABLE,NOT_REACHED,INTERPOLATED
K300_M255K207,0.01,INTERLEAVER_RECOVERY,,NOT_COMPARABLE,NOT_REACHED,INTERPOLATED
K300_M511K421,0.10000000000000001,BURST_PENALTY,2.4278617205571256,AVAILABLE,INTERPOLATED,INTERPOLATED
K300_M511K421,0.10000000000000001,INTERLEAVER_RECOVERY,-0.010429953833647865,AVAILABLE,INTERPOLATED,INTERPOLATED
K300_M511K421,0.01,BURST_PENALTY,2.6648512762272301,AVAILABLE,INTERPOLATED,INTERPOLATED
K300_M511K421,0.01,INTERLEAVER_RECOVERY,0.015716341887148211,AVAILABLE,INTERPOLATED,INTERPOLATED
K300_M511K385,0.10000000000000001,BURST_PENALTY,1.5483373154202908,AVAILABLE,INTERPOLATED,INTERPOLATED
K300_M511K385,0.10000000000000001,INTERLEAVER_RECOVERY,-0.0085770916312588596,AVAILABLE,INTERPOLATED,INTERPOLATED
K300_M511K385,0.01,BURST_PENALTY,1.603077625429334,AVAILABLE,INTERPOLATED,INTERPOLATED
K300_M511K385,0.01,INTERLEAVER_RECOVERY,0.011977520476373904,AVAILABLE,INTERPOLATED,INTERPOLATED
