caseId,payloadLength,recommendedInterleaverMode,recommendedDepth,awgnBurstFer1e1RecoveryDb,awgnBurstStatus,scope
K200_S15,200,ROW_COLUMN,16,,NOT_COMPARABLE,BURST_AND_AWGN_PLUS_BURST_ONLY
K200_M255K207,200,ROW_COLUMN,4,,NOT_COMPARABLE,BURST_AND_AWGN_PLUS_BURST_ONLY
K200_M511K421,200,ROW_COLUMN,16,,NOT_COMPARABLE,BURST_AND_AWGN_PLUS_BURST_ONLY
K200_M511K385,200,ROW_COLUMN,16,-0.04321516491877464,AVAILABLE,BURST_AND_AWGN_PLUS_BURST_ONLY
K300_S15,300,ROW_COLUMN,16,,NOT_COMPARABLE,BURST_AND_AWGN_PLUS_BURST_ONLY
K300_M255K207,300,ROW_COLUMN,4,,NOT_COMPARABLE,BURST_AND_AWGN_PLUS_BURST_ONLY
K300_M511K421,300,ROW_COLUMN,16,-0.010429953833647865,AVAILABLE,BURST_AND_AWGN_PLUS_BURST_ONLY
K300_M511K385,300,PSEUDORANDOM,16,-0.0085770916312588596,AVAILABLE,BURST_AND_AWGN_PLUS_BURST_ONLY
