caseId,configurationId,snrIndex,targetSnrDb,cppDerivedEbN0Db,matlabDerivedEbN0Db,absoluteDifference,passed
K200_S15,NONE_L0,0,0,1.53814864344529,1.53814864344529,0,1
K200_S15,NONE_L0,1,0.5,2.03814864344529,2.03814864344529,0,1
K200_S15,NONE_L0,2,1,2.53814864344529,2.53814864344529,0,1
K200_S15,NONE_L0,3,1.5,3.03814864344529,3.03814864344529,0,1
K200_S15,NONE_L0,4,2,3.53814864344529,3.53814864344529,0,1
K200_S15,NONE_L0,5,2.5,4.03814864344529,4.03814864344529,0,1
K200_S15,NONE_L0,6,3,4.53814864344529,4.53814864344529,0,1
K200_S15,NONE_L0,7,3.5,5.03814864344529,5.03814864344529,0,1
K200_S15,NONE_L0,8,4,5.53814864344529,5.53814864344529,0,1
K200_S15,NONE_L0,9,4.5,6.03814864344529,6.03814864344529,0,1
K200_S15,NONE_L0,10,5,6.53814864344529,6.53814864344529,0,1
K200_S15,NONE_L0,11,5.5,7.03814864344529,7.03814864344529,0,1
K200_S15,NONE_L0,12,6,7.53814864344529,7.53814864344529,0,1
K200_S15,NONE_L0,13,6.5,8.03814864344529,8.03814864344529,0,1
K200_S15,NONE_L0,14,7,8.53814864344529,8.53814864344529,0,1
K200_S15,NONE_L0,15,7.5,9.03814864344529,9.03814864344529,0,1
K200_S15,NONE_L0,16,8,9.53814864344529,9.53814864344529,0,1
K200_S15,NONE_L0,17,8.5,10.0381486434453,10.0381486434453,0,1
K200_S15,NONE_L0,18,9,10.5381486434453,10.5381486434453,0,1
K200_S15,NONE_L0,19,9.5,11.0381486434453,11.0381486434453,0,1
K200_S15,NONE_L0,20,10,11.5381486434453,11.5381486434453,0,1
K200_S15,NONE_L0,21,10.5,12.0381486434453,12.0381486434453,0,1
K200_S15,NONE_L0,22,11,12.5381486434453,12.5381486434453,0,1
K200_S15,NONE_L0,23,11.5,13.0381486434453,13.0381486434453,0,1
K200_S15,NONE_L0,24,12,13.5381486434453,13.5381486434453,0,1
K200_S15,NONE_L0,25,12.5,14.0381486434453,14.0381486434453,0,1
K200_S15,NONE_L0,26,13,14.5381486434453,14.5381486434453,0,1
K200_S15,NONE_L0,27,13.5,15.0381486434453,15.0381486434453,0,1
K200_S15,NONE_L0,28,14,15.5381486434453,15.5381486434453,0,1
K200_S15,NONE_L0,29,14.5,16.0381486434453,16.0381486434453,0,1
K200_S15,NONE_L0,30,15,16.5381486434453,16.5381486434453,0,1
K200_S15,NONE_L0,31,15.5,17.0381486434453,17.0381486434453,0,1
K200_S15,NONE_L0,32,16,17.5381486434453,17.5381486434453,0,1
K200_S15,NONE_L0,33,16.5,18.0381486434453,18.0381486434453,0,1
K200_S15,NONE_L0,34,17,18.5381486434453,18.5381486434453,0,1
K200_S15,NONE_L0,35,17.5,19.0381486434453,19.0381486434453,0,1
K200_S15,NONE_L0,36,18,19.5381486434453,19.5381486434453,0,1
K200_S15,NONE_LREP,0,0,1.53814864344529,1.53814864344529,0,1
K200_S15,NONE_LREP,1,0.5,2.03814864344529,2.03814864344529,0,1
K200_S15,NONE_LREP,2,1,2.53814864344529,2.53814864344529,0,1
K200_S15,NONE_LREP,3,1.5,3.03814864344529,3.03814864344529,0,1
K200_S15,NONE_LREP,4,2,3.53814864344529,3.53814864344529,0,1
K200_S15,NONE_LREP,5,2.5,4.03814864344529,4.03814864344529,0,1
K200_S15,NONE_LREP,6,3,4.53814864344529,4.53814864344529,0,1
K200_S15,NONE_LREP,7,3.5,5.03814864344529,5.03814864344529,0,1
K200_S15,NONE_LREP,8,4,5.53814864344529,5.53814864344529,0,1
K200_S15,NONE_LREP,9,4.5,6.03814864344529,6.03814864344529,0,1
K200_S15,NONE_LREP,10,5,6.53814864344529,6.53814864344529,0,1
K200_S15,NONE_LREP,11,5.5,7.03814864344529,7.03814864344529,0,1
K200_S15,NONE_LREP,12,6,7.53814864344529,7.53814864344529,0,1
K200_S15,NONE_LREP,13,6.5,8.03814864344529,8.03814864344529,0,1
K200_S15,NONE_LREP,14,7,8.53814864344529,8.53814864344529,0,1
K200_S15,NONE_LREP,15,7.5,9.03814864344529,9.03814864344529,0,1
K200_S15,NONE_LREP,16,8,9.53814864344529,9.53814864344529,0,1
K200_S15,NONE_LREP,17,8.5,10.0381486434453,10.0381486434453,0,1
K200_S15,NONE_LREP,18,9,10.5381486434453,10.5381486434453,0,1
K200_S15,NONE_LREP,19,9.5,11.0381486434453,11.0381486434453,0,1
K200_S15,NONE_LREP,20,10,11.5381486434453,11.5381486434453,0,1
K200_S15,NONE_LREP,21,10.5,12.0381486434453,12.0381486434453,0,1
K200_S15,NONE_LREP,22,11,12.5381486434453,12.5381486434453,0,1
K200_S15,NONE_LREP,23,11.5,13.0381486434453,13.0381486434453,0,1
K200_S15,NONE_LREP,24,12,13.5381486434453,13.5381486434453,0,1
K200_S15,NONE_LREP,25,12.5,14.0381486434453,14.0381486434453,0,1
K200_S15,NONE_LREP,26,13,14.5381486434453,14.5381486434453,0,1
K200_S15,NONE_LREP,27,13.5,15.0381486434453,15.0381486434453,0,1
K200_S15,NONE_LREP,28,14,15.5381486434453,15.5381486434453,0,1
K200_S15,NONE_LREP,29,14.5,16.0381486434453,16.0381486434453,0,1
K200_S15,NONE_LREP,30,15,16.5381486434453,16.5381486434453,0,1
K200_S15,NONE_LREP,31,15.5,17.0381486434453,17.0381486434453,0,1
K200_S15,NONE_LREP,32,16,17.5381486434453,17.5381486434453,0,1
K200_S15,NONE_LREP,33,16.5,18.0381486434453,18.0381486434453,0,1
K200_S15,NONE_LREP,34,17,18.5381486434453,18.5381486434453,0,1
K200_S15,NONE_LREP,35,17.5,19.0381486434453,19.0381486434453,0,1
K200_S15,NONE_LREP,36,18,19.5381486434453,19.5381486434453,0,1
K200_S15,BEST_LREP,0,0,1.53814864344529,1.53814864344529,0,1
K200_S15,BEST_LREP,1,0.5,2.03814864344529,2.03814864344529,0,1
K200_S15,BEST_LREP,2,1,2.53814864344529,2.53814864344529,0,1
