payloadLength,representativeBurstLengthBits,selectionRule,sameLengthForAllFourCases,caseFerJson,sourceFile
200,12,SMALLEST_UNIFIED_L_WITH_ANY_NONE_FER_IN_0.1_TO_0.8,true,"{""K200_M255K207"": ""0.83299999999999996"", ""K200_M511K385"": ""0"", ""K200_M511K421"": ""0.70999999999999996"", ""K200_S15"": ""0.98999999999999999""}",stage14_burst_formal_raw_results.csv
300,8,SMALLEST_UNIFIED_L_WITH_ANY_NONE_FER_IN_0.1_TO_0.8,true,"{""K300_M255K207"": ""0.748"", ""K300_M511K385"": ""0"", ""K300_M511K421"": ""0"", ""K300_S15"": ""0.995""}",stage14_burst_formal_raw_results.csv
