caseId,bestInterleaverMode,bestInterleaverDepth,ferGeometricMean,miscorrectionMean,toleranceL1e1,meanInterleaverOverheadNs,selectionRule,sourceFile
K200_S15,ROW_COLUMN,16,0.00026826957952797234,0.2857142857142857,15,1336.5714285714287,"FER_GEOMEAN,MISCORRECTION,TOLERANCE,LATENCY,DEPTH",stage15_interleaving_formal_depth_results.csv
K200_M255K207,ROW_COLUMN,4,0.037275937203149395,0,5,1528.5714285714287,"FER_GEOMEAN,MISCORRECTION,TOLERANCE,LATENCY,DEPTH",stage15_interleaving_formal_depth_results.csv
K200_M511K421,ROW_COLUMN,16,0.0013894954943731372,0,10,1967.5714285714287,"FER_GEOMEAN,MISCORRECTION,TOLERANCE,LATENCY,DEPTH",stage15_interleaving_formal_depth_results.csv
K200_M511K385,ROW_COLUMN,16,0.0013894954943731372,0,10,2124,"FER_GEOMEAN,MISCORRECTION,TOLERANCE,LATENCY,DEPTH",stage15_interleaving_formal_depth_results.csv
K300_S15,ROW_COLUMN,16,0.00026826957952797234,0.2857142857142857,15,3775.8571428571427,"FER_GEOMEAN,MISCORRECTION,TOLERANCE,LATENCY,DEPTH",stage15_interleaving_formal_depth_results.csv
K300_M255K207,ROW_COLUMN,4,0.0013894954943731372,0,10,3311.2857142857142,"FER_GEOMEAN,MISCORRECTION,TOLERANCE,LATENCY,DEPTH",stage15_interleaving_formal_depth_results.csv
K300_M511K421,ROW_COLUMN,16,0.0013894954943731372,0,10,2432.2857142857142,"FER_GEOMEAN,MISCORRECTION,TOLERANCE,LATENCY,DEPTH",stage15_interleaving_formal_depth_results.csv
K300_M511K385,PSEUDORANDOM,16,0.0013894954943731372,0,10,2431.7142857142858,"FER_GEOMEAN,MISCORRECTION,TOLERANCE,LATENCY,DEPTH",stage15_interleaving_formal_depth_results.csv
