caseId,configurationId,targetFer,targetSnrDb,status,interpolationDomain,extrapolated
K200_S15,NONE_L0,0.10000000000000001,4.6380727379222249,INTERPOLATED,LOG10_FER_WITHIN_OBSERVED_BRACKET,false
K200_S15,NONE_L0,0.01,6.0558562924452524,INTERPOLATED,LOG10_FER_WITHIN_OBSERVED_BRACKET,false
K200_S15,NONE_LREP,0.10000000000000001,,NOT_REACHED,NONE,false
K200_S15,NONE_LREP,0.01,,NOT_REACHED,NONE,false
K200_S15,BEST_LREP,0.10000000000000001,7.1378862122675617,INTERPOLATED,LOG10_FER_WITHIN_OBSERVED_BRACKET,false
K200_S15,BEST_LREP,0.01,8.6869302510860287,INTERPOLATED,LOG10_FER_WITHIN_OBSERVED_BRACKET,false
K200_M255K207,NONE_L0,0.10000000000000001,3.6158664300115295,INTERPOLATED,LOG10_FER_WITHIN_OBSERVED_BRACKET,false
K200_M255K207,NONE_L0,0.01,4.3835029180311524,INTERPOLATED,LOG10_FER_WITHIN_OBSERVED_BRACKET,false
K200_M255K207,NONE_LREP,0.10000000000000001,,NOT_REACHED,NONE,false
K200_M255K207,NONE_LREP,0.01,,NOT_REACHED,NONE,false
K200_M255K207,BEST_LREP,0.10000000000000001,,NOT_REACHED,NONE,false
K200_M255K207,BEST_LREP,0.01,,NOT_REACHED,NONE,false
K200_M511K421,NONE_L0,0.10000000000000001,2.8580334914492185,INTERPOLATED,LOG10_FER_WITHIN_OBSERVED_BRACKET,false
K200_M511K421,NONE_L0,0.01,3.5747517428635978,INTERPOLATED,LOG10_FER_WITHIN_OBSERVED_BRACKET,false
K200_M511K421,NONE_LREP,0.10000000000000001,,NOT_REACHED,NONE,false
K200_M511K421,NONE_LREP,0.01,,NOT_REACHED,NONE,false
K200_M511K421,BEST_LREP,0.10000000000000001,,NOT_REACHED,NONE,false
K200_M511K421,BEST_LREP,0.01,,NOT_REACHED,NONE,false
K200_M511K385,NONE_L0,0.10000000000000001,2.3123520703781311,INTERPOLATED,LOG10_FER_WITHIN_OBSERVED_BRACKET,false
K200_M511K385,NONE_L0,0.01,2.9875108512811916,INTERPOLATED,LOG10_FER_WITHIN_OBSERVED_BRACKET,false
K200_M511K385,NONE_LREP,0.10000000000000001,5.5698167023506322,INTERPOLATED,LOG10_FER_WITHIN_OBSERVED_BRACKET,false
K200_M511K385,NONE_LREP,0.01,6.5204848347778155,INTERPOLATED,LOG10_FER_WITHIN_OBSERVED_BRACKET,false
K200_M511K385,BEST_LREP,0.10000000000000001,5.6130318672694068,INTERPOLATED,LOG10_FER_WITHIN_OBSERVED_BRACKET,false
K200_M511K385,BEST_LREP,0.01,6.5324376760833118,INTERPOLATED,LOG10_FER_WITHIN_OBSERVED_BRACKET,false
K300_S15,NONE_L0,0.10000000000000001,4.9444847210793936,INTERPOLATED,LOG10_FER_WITHIN_OBSERVED_BRACKET,false
K300_S15,NONE_L0,0.01,6.1430609638155262,INTERPOLATED,LOG10_FER_WITHIN_OBSERVED_BRACKET,false
K300_S15,NONE_LREP,0.10000000000000001,,NOT_REACHED,NONE,false
K300_S15,NONE_LREP,0.01,,NOT_REACHED,NONE,false
K300_S15,BEST_LREP,0.10000000000000001,6.8622140372392177,INTERPOLATED,LOG10_FER_WITHIN_OBSERVED_BRACKET,false
K300_S15,BEST_LREP,0.01,8.4599313513071106,INTERPOLATED,LOG10_FER_WITHIN_OBSERVED_BRACKET,false
K300_M255K207,NONE_L0,0.10000000000000001,3.5102144401690203,INTERPOLATED,LOG10_FER_WITHIN_OBSERVED_BRACKET,false
K300_M255K207,NONE_L0,0.01,4.2631919018740803,INTERPOLATED,LOG10_FER_WITHIN_OBSERVED_BRACKET,false
K300_M255K207,NONE_LREP,0.10000000000000001,,NOT_REACHED,NONE,false
K300_M255K207,NONE_LREP,0.01,,NOT_REACHED,NONE,false
K300_M255K207,BEST_LREP,0.10000000000000001,5.3710032826164387,INTERPOLATED,LOG10_FER_WITHIN_OBSERVED_BRACKET,false
K300_M255K207,BEST_LREP,0.01,6.2900389252658675,INTERPOLATED,LOG10_FER_WITHIN_OBSERVED_BRACKET,false
K300_M511K421,NONE_L0,0.10000000000000001,3.3608510248620695,INTERPOLATED,LOG10_FER_WITHIN_OBSERVED_BRACKET,false
K300_M511K421,NONE_L0,0.01,4.0114212814575616,INTERPOLATED,LOG10_FER_WITHIN_OBSERVED_BRACKET,false
K300_M511K421,NONE_LREP,0.10000000000000001,5.7887127454191951,INTERPOLATED,LOG10_FER_WITHIN_OBSERVED_BRACKET,false
K300_M511K421,NONE_LREP,0.01,6.6762725576847917,INTERPOLATED,LOG10_FER_WITHIN_OBSERVED_BRACKET,false
K300_M511K421,BEST_LREP,0.10000000000000001,5.799142699252843,INTERPOLATED,LOG10_FER_WITHIN_OBSERVED_BRACKET,false
K300_M511K421,BEST_LREP,0.01,6.6605562157976435,INTERPOLATED,LOG10_FER_WITHIN_OBSERVED_BRACKET,false
K300_M511K385,NONE_L0,0.10000000000000001,2.8505382450888339,INTERPOLATED,LOG10_FER_WITHIN_OBSERVED_BRACKET,false
K300_M511K385,NONE_L0,0.01,3.4538935981273182,INTERPOLATED,LOG10_FER_WITHIN_OBSERVED_BRACKET,false
K300_M511K385,NONE_LREP,0.10000000000000001,4.3988755605091248,INTERPOLATED,LOG10_FER_WITHIN_OBSERVED_BRACKET,false
K300_M511K385,NONE_LREP,0.01,5.0569712235566522,INTERPOLATED,LOG10_FER_WITHIN_OBSERVED_BRACKET,false
K300_M511K385,BEST_LREP,0.10000000000000001,4.4074526521403836,INTERPOLATED,LOG10_FER_WITHIN_OBSERVED_BRACKET,false
K300_M511K385,BEST_LREP,0.01,5.0449937030802783,INTERPOLATED,LOG10_FER_WITHIN_OBSERVED_BRACKET,false
