caseName,category,value
BCH-S200,MAX_FRAMES_REACHED,3
BCH-B200,MAX_FRAMES_REACHED,3
BCH-S300,MAX_FRAMES_REACHED,5
BCH-B300,MAX_FRAMES_REACHED,2
BCH-S200,TARGET_FRAME_ERRORS_REACHED,18
BCH-B200,TARGET_FRAME_ERRORS_REACHED,11
BCH-S300,TARGET_FRAME_ERRORS_REACHED,16
BCH-B300,TARGET_FRAME_ERRORS_REACHED,7
