caseName,blockIndex,localPosition,globalPosition,payloadBits,originalEncodedBits,receivedBits,status,lookupHit,correctedPosition,correctedCodeword,decodedBlockMessage,recoveredPayload,correctedBlocks,paddedInformationWrongBlocks,originalPayloadWrongBlocks,fillerOnlyInformationMismatchBlocks,payloadRecovered,pass
BCH-S200,0,10,10,01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010000000001101,010101010110100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010000000001101,CORRECTED_SINGLE_ERROR,true,10,010101010100100,01010101010,01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,1,0,0,0,true,true
BCH-S200,0,11,11,01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010000000001101,010101010101100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010000000001101,CORRECTED_SINGLE_ERROR,true,11,010101010100100,01010101010,01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,1,0,0,0,true,true
BCH-S200,0,12,12,01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010000000001101,010101010100000101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010000000001101,CORRECTED_SINGLE_ERROR,true,12,010101010100100,01010101010,01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,1,0,0,0,true,true
BCH-S200,0,13,13,01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010000000001101,010101010100110101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010000000001101,CORRECTED_SINGLE_ERROR,true,13,010101010100100,01010101010,01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,1,0,0,0,true,true
BCH-S200,0,14,14,01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010000000001101,010101010100101101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010000000001101,CORRECTED_SINGLE_ERROR,true,14,010101010100100,01010101010,01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,1,0,0,0,true,true
BCH-S200,1,0,15,01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010000000001101,010101010100100001010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010000000001101,CORRECTED_SINGLE_ERROR,true,0,101010101011011,10101010101,01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,1,0,0,0,true,true
BCH-S200,1,1,16,01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010000000001101,010101010100100111010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010000000001101,CORRECTED_SINGLE_ERROR,true,1,101010101011011,10101010101,01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,1,0,0,0,true,true
BCH-S200,1,2,17,01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010000000001101,010101010100100100010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010000000001101,CORRECTED_SINGLE_ERROR,true,2,101010101011011,10101010101,01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,1,0,0,0,true,true
BCH-S200,1,3,18,01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010000000001101,010101010100100101110101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010000000001101,CORRECTED_SINGLE_ERROR,true,3,101010101011011,10101010101,01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,1,0,0,0,true,true
BCH-S200,1,4,19,01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010000000001101,010101010100100101000101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010101010100100101010101011011010000000001101,CORRECTED_SINGLE_ERROR,true,4,101010101011011,10101010101,01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101,1,0,0,0,true,true
