filename,caseName,ebn0Db,metric,rawValue,plottedValue,zeroHandlingPolicy
bch13_prescan_200bit_fer.png,BCH-S200,6.5,FER,0.0685,0.0685,RAW_POSITIVE
bch13_prescan_200bit_fer.png,BCH-S200,7,FER,0.024,0.024,RAW_POSITIVE
bch13_prescan_200bit_fer.png,BCH-S200,7.5,FER,0.009,0.009,RAW_POSITIVE
bch13_prescan_200bit_fer.png,BCH-S200,8,FER,0.0045,0.0045,RAW_POSITIVE
bch13_prescan_200bit_fer.png,BCH-S200,8.5,FER,0.0005,0.0005,RAW_POSITIVE
bch13_prescan_200bit_fer.png,BCH-S200,9,FER,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
bch13_prescan_200bit_fer.png,BCH-S200,9.5,FER,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
bch13_prescan_200bit_fer.png,BCH-S200,10,FER,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
bch13_prescan_200bit_fer.png,BCH-B200,0,FER,1.0,1.0,RAW_POSITIVE
bch13_prescan_200bit_fer.png,BCH-B200,0.5,FER,1.0,1.0,RAW_POSITIVE
bch13_prescan_200bit_fer.png,BCH-B200,1,FER,0.9995,0.9995,RAW_POSITIVE
bch13_prescan_200bit_fer.png,BCH-B200,1.5,FER,0.9945,0.9945,RAW_POSITIVE
bch13_prescan_200bit_fer.png,BCH-B200,2,FER,0.9795,0.9795,RAW_POSITIVE
bch13_prescan_200bit_fer.png,BCH-B200,2.5,FER,0.9325,0.9325,RAW_POSITIVE
bch13_prescan_200bit_fer.png,BCH-B200,3,FER,0.786,0.786,RAW_POSITIVE
bch13_prescan_200bit_fer.png,BCH-B200,3.5,FER,0.5725,0.5725,RAW_POSITIVE
bch13_prescan_200bit_fer.png,BCH-B200,4,FER,0.3175,0.3175,RAW_POSITIVE
bch13_prescan_200bit_fer.png,BCH-B200,4.5,FER,0.1365,0.1365,RAW_POSITIVE
bch13_prescan_200bit_fer.png,BCH-B200,5,FER,0.0345,0.0345,RAW_POSITIVE
bch13_prescan_200bit_fer.png,BCH-B200,5.5,FER,0.0045,0.0045,RAW_POSITIVE
bch13_prescan_200bit_fer.png,BCH-B200,6,FER,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
bch13_prescan_200bit_fer.png,BCH-B200,6.5,FER,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
bch13_prescan_200bit_fer.png,BCH-B200,7,FER,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
bch13_prescan_200bit_fer.png,BCH-B200,7.5,FER,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
bch13_prescan_200bit_fer.png,BCH-B200,8,FER,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
bch13_prescan_200bit_fer.png,BCH-B200,8.5,FER,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
bch13_prescan_200bit_fer.png,BCH-B200,9,FER,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
bch13_prescan_200bit_fer.png,BCH-B200,9.5,FER,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
bch13_prescan_200bit_fer.png,BCH-B200,10,FER,0.0,0.0015,RULE_OF_THREE_UPPER_BOUND_FOR_ZERO_OBSERVATION
bch13_prescan_300bit_ber.png,BCH-S300,0,BER,0.12515,0.12515,RAW_POSITIVE
bch13_prescan_300bit_ber.png,BCH-S300,0.5,BER,0.10793833333333333,0.10793833333333333,RAW_POSITIVE
bch13_prescan_300bit_ber.png,BCH-S300,1,BER,0.09074833333333333,0.09074833333333333,RAW_POSITIVE
bch13_prescan_300bit_ber.png,BCH-S300,1.5,BER,0.07320833333333333,0.07320833333333333,RAW_POSITIVE
bch13_prescan_300bit_ber.png,BCH-S300,2,BER,0.05726333333333333,0.05726333333333333,RAW_POSITIVE
bch13_prescan_300bit_ber.png,BCH-S300,2.5,BER,0.04353833333333333,0.04353833333333333,RAW_POSITIVE
bch13_prescan_300bit_ber.png,BCH-S300,3,BER,0.031398333333333334,0.031398333333333334,RAW_POSITIVE
bch13_prescan_300bit_ber.png,BCH-S300,3.5,BER,0.021523333333333332,0.021523333333333332,RAW_POSITIVE
bch13_prescan_300bit_ber.png,BCH-S300,4,BER,0.014588333333333333,0.014588333333333333,RAW_POSITIVE
